code,rwork_torchref,rfree_torchref,rwork_phenix,rfree_phenix,rwork_refmac,rfree_refmac,d_min,delta_rwork_phenix,delta_rfree_phenix,delta_rwork_refmac,delta_rfree_refmac
3W56,0.265500,0.307600,0.277400,0.314700,0.285200,0.333700,1.600016,-1.190000,-0.710000,-1.970000,-2.610000
4L9U,0.529600,0.536200,0.483400,0.547600,0.468200,0.523100,1.600038,4.620000,-1.140000,6.140000,1.310000
1AQZ,0.229800,0.271000,0.230400,0.265400,0.229300,0.264700,1.600110,-0.060000,0.560000,0.050000,0.630000
1X6O,0.276000,0.296100,0.289100,0.301900,0.291700,0.302700,1.600176,-1.310000,-0.580000,-1.570000,-0.660000
3HL0,0.320600,0.357200,0.332600,0.365100,0.326500,0.361300,1.601000,-1.200000,-0.790000,-0.590000,-0.410000
6W9K,0.251100,0.253100,0.267900,0.269500,0.255400,0.260500,1.604448,-1.680000,-1.640000,-0.430000,-0.740000
4K36,0.303900,0.341900,0.310500,0.344800,0.304600,0.338000,1.619001,-0.660000,-0.290000,-0.070000,0.390000
3M1T,0.356200,0.370000,0.369700,0.374900,0.366800,0.378100,1.620274,-1.350000,-0.490000,-1.060000,-0.810000
4CE5,0.235800,0.254500,0.241300,0.253900,0.241100,0.253900,1.630009,-0.550000,0.060000,-0.530000,0.060000
3FPR,0.268300,0.299100,0.297200,0.321600,0.264500,0.292400,1.630049,-2.890000,-2.250000,0.380000,0.670000
2PQV,0.265200,0.300700,0.276500,0.308100,0.272900,0.301900,1.634705,-1.130000,-0.740000,-0.770000,-0.120000
4KYQ,0.259200,0.326600,0.270400,0.329000,0.255700,0.304400,1.643029,-1.120000,-0.240000,0.350000,2.220000
6FJU,0.349300,0.369400,0.357000,0.378700,0.357600,0.380500,1.647491,-0.770000,-0.930000,-0.830000,-1.110000
3RLE,0.451800,0.494500,0.452800,0.487100,0.455900,0.494200,1.648703,-0.100000,0.740000,-0.410000,0.030000
1EZW,0.229200,0.243500,0.238100,0.243800,0.230200,0.243500,1.649843,-0.890000,-0.030000,-0.100000,0.000000
4UWX,0.289100,0.328800,0.331600,0.371400,0.306300,0.339800,1.650005,-4.250000,-4.260000,-1.720000,-1.100000
6SRB,0.283900,0.307800,0.293600,0.307600,0.304400,0.326200,1.650018,-0.970000,0.020000,-2.050000,-1.840000
2A9S,0.223300,0.240300,0.228700,0.239400,0.230500,0.243600,1.652399,-0.540000,0.090000,-0.720000,-0.330000
1W2Y,0.261500,0.292100,0.269600,0.294600,0.262300,0.286400,1.653174,-0.810000,-0.250000,-0.080000,0.570000
1O6D,0.262100,0.295500,0.266700,0.290400,0.263100,0.284300,1.662573,-0.460000,0.510000,-0.100000,1.120000
1ZKL,0.243300,0.266000,0.251300,0.265600,0.245200,0.266500,1.669472,-0.800000,0.040000,-0.190000,-0.050000
2WNH,0.237000,0.262000,0.244200,0.262900,0.241400,0.260300,1.682018,-0.720000,-0.090000,-0.440000,0.170000
2W9Y,0.273600,0.308300,0.279400,0.316100,0.283500,0.305500,1.682365,-0.580000,-0.780000,-0.990000,0.280000
3CBM,0.253300,0.285900,0.272400,0.305500,0.265600,0.298600,1.685541,-1.910000,-1.960000,-1.230000,-1.270000
3GF6,0.289800,0.342600,0.292200,0.335100,0.293100,0.342200,1.690009,-0.240000,0.750000,-0.330000,0.040000
3MQ2,0.299200,0.344400,0.303400,0.344300,0.294500,0.332300,1.690016,-0.420000,0.010000,0.470000,1.210000
6I50,0.216900,0.228500,0.222400,0.237400,0.218400,0.235300,1.690076,-0.550000,-0.890000,-0.150000,-0.680000
3ED4,0.287600,0.330200,0.293700,0.330700,0.290800,0.333800,1.696001,-0.610000,-0.050000,-0.320000,-0.360000
2ZON,0.234700,0.266500,0.239200,0.262600,0.236900,0.261600,1.696004,-0.450000,0.390000,-0.220000,0.490000
4DOV,0.330400,0.339800,0.342200,0.344700,0.329100,0.339300,1.696091,-1.180000,-0.490000,0.130000,0.050000
2RH3,0.231600,0.255200,0.231600,0.260800,0.233300,0.260700,1.697875,0.000000,-0.560000,-0.170000,-0.550000
1PXZ,0.218700,0.247300,0.226200,0.248900,0.223200,0.247100,1.698273,-0.750000,-0.160000,-0.450000,0.020000
3EFY,0.272100,0.304500,0.283200,0.309100,0.281300,0.310300,1.698319,-1.110000,-0.460000,-0.920000,-0.580000
5T0K,0.324500,0.373500,0.331400,0.378000,0.317000,0.368900,1.698405,-0.690000,-0.450000,0.750000,0.460000
1WDV,0.270800,0.306100,0.275200,0.306000,0.274200,0.301600,1.698600,-0.440000,0.010000,-0.340000,0.450000
6IIW,0.429700,0.430400,0.430600,0.416600,0.426500,0.426500,1.698696,-0.090000,1.380000,0.320000,0.390000
2PN0,0.364800,0.408200,0.370000,0.410800,0.362500,0.405100,1.699004,-0.520000,-0.260000,0.230000,0.310000
1BXE,0.307400,0.333900,0.326500,0.330800,0.309400,0.334200,1.699449,-1.910000,0.310000,-0.200000,-0.030000
3ADO,0.224900,0.254500,0.231200,0.251700,0.229000,0.254300,1.699452,-0.630000,0.280000,-0.410000,0.020000
3VFO,0.322600,0.358900,0.313700,0.335700,0.431600,0.449500,1.699943,0.890000,2.320000,-10.900000,-9.060000
2CCH,0.311000,0.344900,0.351000,0.374900,0.338000,0.363500,1.699979,-4.000000,-3.000000,-2.700000,-1.860000
4JHN,0.216400,0.250000,0.221900,0.250400,0.216000,0.245300,1.700004,-0.550000,-0.040000,0.040000,0.470000
3D1M,0.270600,0.289200,0.277900,0.300600,0.275700,0.299300,1.700011,-0.730000,-1.140000,-0.510000,-1.010000
3QNM,0.279800,0.308700,0.284500,0.305300,0.282800,0.316200,1.700013,-0.470000,0.340000,-0.300000,-0.750000
2FTX,0.285100,0.379500,0.302800,0.380900,0.292200,0.388900,1.700024,-1.770000,-0.140000,-0.710000,-0.940000
6RSN,0.264400,0.298500,0.275100,0.305300,0.277600,0.284800,1.700026,-1.070000,-0.680000,-1.320000,1.370000
5B5Q,0.246100,0.287100,0.247800,0.275900,0.251500,0.279600,1.700037,-0.170000,1.120000,-0.540000,0.750000
4OX3,0.272500,0.316200,0.277700,0.317200,0.280400,0.317200,1.700041,-0.520000,-0.100000,-0.790000,-0.100000
2R6R,0.256700,0.309900,0.259500,0.303100,0.260400,0.297800,1.700069,-0.280000,0.680000,-0.370000,1.210000
4CLF,0.304900,0.341200,0.320700,0.361200,0.326400,0.376300,1.700099,-1.580000,-2.000000,-2.150000,-3.510000
3U2A,0.331500,0.355200,0.342000,0.351400,0.335600,0.348700,1.700111,-1.050000,0.380000,-0.410000,0.650000
2FEX,0.296300,0.331600,0.298500,0.326600,0.293700,0.320300,1.700716,-0.220000,0.500000,0.260000,1.130000
2V62,0.249900,0.282400,0.256200,0.284100,0.250600,0.283200,1.700954,-0.630000,-0.170000,-0.070000,-0.080000
1QD9,0.274600,0.329600,0.253800,0.302800,0.278800,0.325200,1.701401,2.080000,2.680000,-0.420000,0.440000
6O6N,0.263300,0.300700,0.273200,0.302500,0.266700,0.294900,1.701629,-0.990000,-0.180000,-0.340000,0.580000
3PFY,0.343800,0.381800,0.364300,0.398800,0.348500,0.378400,1.702065,-2.050000,-1.700000,-0.470000,0.340000
2PY2,0.253600,0.292200,0.260500,0.295100,0.262800,0.297200,1.703674,-0.690000,-0.290000,-0.920000,-0.500000
1GHW,0.345800,0.407400,0.354700,0.414900,0.358300,0.406800,1.706890,-0.890000,-0.750000,-1.250000,0.060000
5UXG,0.243900,0.283400,0.247500,0.283300,0.247500,0.286000,1.720241,-0.360000,0.010000,-0.360000,-0.260000
3GMV,0.333100,0.379000,0.266000,0.308800,0.302400,0.346800,1.747812,6.710000,7.020000,3.070000,3.220000
4N39,0.314900,0.352400,0.346000,0.373400,0.334200,0.359900,1.748001,-3.110000,-2.100000,-1.930000,-0.750000
1J8B,0.363300,0.404800,0.379000,0.415800,0.395500,0.464400,1.748015,-1.570000,-1.100000,-3.220000,-5.960000
2W3X,0.238100,0.275800,0.250800,0.282000,0.241000,0.281500,1.748764,-1.270000,-0.620000,-0.290000,-0.570000
3WNV,0.257800,0.302900,0.265000,0.302700,0.267700,0.306400,1.750002,-0.720000,0.020000,-0.990000,-0.350000
4RQM,0.317800,0.333400,0.331100,0.339500,0.320500,0.329200,1.750004,-1.330000,-0.610000,-0.270000,0.420000
1GQ8,0.227900,0.248500,0.238500,0.251500,0.239900,0.257000,1.750021,-1.060000,-0.300000,-1.200000,-0.850000
2F1F,0.260200,0.288800,0.279800,0.311000,0.262600,0.292200,1.750030,-1.960000,-2.220000,-0.240000,-0.340000
2X26,0.420600,0.481400,0.410800,0.462400,0.425200,0.487200,1.750044,0.980000,1.900000,-0.460000,-0.580000
3DJD,0.256200,0.295100,0.262600,0.294500,0.259400,0.294500,1.750215,-0.640000,0.060000,-0.320000,0.060000
1XX1,0.244100,0.276100,0.249400,0.276600,0.246000,0.273600,1.750353,-0.530000,-0.050000,-0.190000,0.250000
3VST,0.222500,0.251700,0.231600,0.251300,0.227700,0.250700,1.750499,-0.910000,0.040000,-0.520000,0.100000
4QN8,0.284100,0.329500,0.288900,0.324100,0.285700,0.321400,1.750647,-0.480000,0.540000,-0.160000,0.810000
3IVB,0.394900,0.486800,0.436000,0.511600,0.409300,0.469200,1.751139,-4.110000,-2.480000,-1.440000,1.760000
4LZ2,0.281800,0.328200,0.289400,0.335900,0.285200,0.314700,1.760154,-0.760000,-0.770000,-0.340000,1.350000
4PV4,0.248900,0.279400,0.252500,0.276500,0.264800,0.288000,1.764006,-0.360000,0.290000,-1.590000,-0.860000
5VIA,0.267500,0.288200,0.271200,0.278200,0.273400,0.281600,1.764029,-0.370000,1.000000,-0.590000,0.660000
4HUJ,0.265800,0.316500,0.273200,0.309100,0.272600,0.308600,1.766539,-0.740000,0.740000,-0.680000,0.790000
6TCT,0.320600,0.356200,0.326600,0.369700,0.318500,0.363300,1.767038,-0.600000,-1.350000,0.210000,-0.710000
1O4V,0.201900,0.241200,0.211900,0.237300,0.204700,0.236200,1.770020,-1.000000,0.390000,-0.280000,0.500000
3IUG,0.256500,0.294100,0.266800,0.303500,0.257900,0.301200,1.770029,-1.030000,-0.940000,-0.140000,-0.710000
2DX6,0.289000,0.365700,0.282800,0.346700,0.286100,0.348200,1.778863,0.620000,1.900000,0.290000,1.750000
4XLG,0.262300,0.282600,0.275500,0.297300,0.264400,0.294900,1.780034,-1.320000,-1.470000,-0.210000,-1.230000
4O62,0.403100,0.440000,0.411900,0.448100,0.405300,0.429800,1.780107,-0.880000,-0.810000,-0.220000,1.020000
5XG9,0.276000,0.305900,0.280400,0.296800,0.280700,0.310200,1.782638,-0.440000,0.910000,-0.470000,-0.430000
1T3I,0.229500,0.266900,0.233300,0.262400,0.229300,0.262700,1.789405,-0.380000,0.450000,0.020000,0.420000
2OO2,0.235000,0.274500,0.241400,0.260600,0.229300,0.289600,1.794654,-0.640000,1.390000,0.570000,-1.510000
1J53,0.288200,0.317500,0.285500,0.313400,0.288900,0.310100,1.794693,0.270000,0.410000,-0.070000,0.740000
2DRY,0.316300,0.418500,0.321100,0.414100,0.318400,0.408900,1.795981,-0.480000,0.440000,-0.210000,0.960000
1RHC,0.218400,0.246000,0.226800,0.248800,0.217300,0.238200,1.797877,-0.840000,-0.280000,0.110000,0.780000
5WWW,0.358500,0.321800,0.369100,0.298600,0.370200,0.304100,1.797950,-1.060000,2.320000,-1.170000,1.770000
2QH9,0.276700,0.328800,0.284800,0.333400,0.277200,0.334000,1.798456,-0.810000,-0.460000,-0.050000,-0.520000
3VPB,0.266400,0.297500,0.274100,0.298700,0.279000,0.305700,1.798493,-0.770000,-0.120000,-1.260000,-0.820000
4RK2,0.437400,0.495400,0.432400,0.487000,0.426600,0.492500,1.798967,0.500000,0.840000,1.080000,0.290000
3EUS,0.257600,0.299300,0.266200,0.305200,0.253700,0.289100,1.799012,-0.860000,-0.590000,0.390000,1.020000
3RQ4,0.282300,0.325600,0.292500,0.326400,0.283700,0.328200,1.799024,-1.020000,-0.080000,-0.140000,-0.260000
6GXS,0.254500,0.291300,0.258000,0.287500,0.263900,0.295600,1.799947,-0.350000,0.380000,-0.940000,-0.430000
4F0F,0.299100,0.336800,0.312700,0.343800,0.301400,0.338600,1.799957,-1.360000,-0.700000,-0.230000,-0.180000
2YFA,0.337700,0.376600,0.339300,0.373500,0.368800,0.413200,1.799994,-0.160000,0.310000,-3.110000,-3.660000
1J5W,0.262600,0.319200,0.267300,0.315500,0.259100,0.316900,1.800001,-0.470000,0.370000,0.350000,0.230000
2PAV,0.270600,0.302100,0.276800,0.303900,0.279800,0.310200,1.800001,-0.620000,-0.180000,-0.920000,-0.810000
2XVS,0.351200,0.433300,0.349400,0.454200,0.363700,0.444900,1.800005,0.180000,-2.090000,-1.250000,-1.160000
4ZSF,0.424400,0.440800,0.422900,0.441500,0.414200,0.428300,1.800006,0.150000,-0.070000,1.020000,1.250000
4QKO,0.290600,0.338300,0.292200,0.334300,0.297200,0.341400,1.800006,-0.160000,0.400000,-0.660000,-0.310000
2CCM,0.245100,0.280800,0.249100,0.281700,0.245500,0.280100,1.800007,-0.400000,-0.090000,-0.040000,0.070000
3KGR,0.260700,0.316600,0.265300,0.312200,0.269900,0.314400,1.800008,-0.460000,0.440000,-0.920000,0.220000
3GLR,0.287600,0.326600,0.314100,0.339100,0.282000,0.320300,1.800012,-2.650000,-1.250000,0.560000,0.630000
1TGS,0.230000,0.283400,0.232700,0.286300,0.236900,0.289800,1.800015,-0.270000,-0.290000,-0.690000,-0.640000
3U1D,0.307500,0.353100,0.315600,0.351300,0.308100,0.351400,1.800016,-0.810000,0.180000,-0.060000,0.170000
3BCI,0.237100,0.296500,0.246400,0.283700,0.239400,0.280400,1.800020,-0.930000,1.280000,-0.230000,1.610000
2VEF,0.276600,0.322100,0.282100,0.316500,0.279600,0.321600,1.800020,-0.550000,0.560000,-0.300000,0.050000
1RJD,0.240500,0.269100,0.248400,0.270300,0.253300,0.273400,1.800033,-0.790000,-0.120000,-1.280000,-0.430000
2G9W,0.402000,0.416000,0.403700,0.444000,0.389700,0.412900,1.800051,-0.170000,-2.800000,1.230000,0.310000
2P38,0.305800,0.348100,0.315200,0.350900,0.304800,0.341900,1.800052,-0.940000,-0.280000,0.100000,0.620000
4DA2,0.250200,0.295000,0.257800,0.291700,0.258100,0.289800,1.800057,-0.760000,0.330000,-0.790000,0.520000
5HRJ,0.292200,0.330800,0.297100,0.350400,0.303600,0.341900,1.800059,-0.490000,-1.960000,-1.140000,-1.110000
3G6L,0.267800,0.314900,0.263000,0.298000,0.270000,0.307300,1.800069,0.480000,1.690000,-0.220000,0.760000
6CW5,0.315000,0.351700,0.324900,0.360800,0.316200,0.347100,1.800076,-0.990000,-0.910000,-0.120000,0.460000
3LS0,0.232100,0.239300,0.234400,0.233900,0.232600,0.242700,1.800145,-0.230000,0.540000,-0.050000,-0.340000
5T1G,0.288100,0.294700,0.302900,0.303400,0.299800,0.348600,1.800145,-1.480000,-0.870000,-1.170000,-5.390000
1UVQ,0.299700,0.329600,0.316600,0.346100,0.304500,0.337400,1.801435,-1.690000,-1.650000,-0.480000,-0.780000
6UB7,0.239100,0.257700,0.250700,0.263800,0.242900,0.255200,1.801869,-1.160000,-0.610000,-0.380000,0.250000
2EO4,0.271600,0.315300,0.284100,0.332400,0.269700,0.310700,1.801961,-1.250000,-1.710000,0.190000,0.460000
3M91,0.484100,0.466500,0.506200,0.535500,0.492000,0.498000,1.802052,-2.210000,-6.900000,-0.790000,-3.150000
2ZUL,0.261600,0.290500,0.254800,0.279900,0.254900,0.278600,1.802856,0.680000,1.060000,0.670000,1.190000
3SOL,0.293600,0.336000,0.298500,0.356700,0.293000,0.318400,1.804158,-0.490000,-2.070000,0.060000,1.760000
2QOS,0.296400,0.349400,0.302800,0.357000,0.306600,0.373600,1.805731,-0.640000,-0.760000,-1.020000,-2.420000
5OF9,0.284200,0.308600,0.289100,0.311800,0.282200,0.307400,1.806897,-0.490000,-0.320000,0.200000,0.120000
7D86,0.322100,0.350100,0.334900,0.362200,0.314800,0.333200,1.838036,-1.280000,-1.210000,0.730000,1.690000
7FHR,0.265700,0.313200,0.269300,0.316800,0.260700,0.303100,1.839707,-0.360000,-0.360000,0.500000,1.010000
4CH9,0.244000,0.264600,0.257300,0.271400,0.262100,0.273800,1.839999,-1.330000,-0.680000,-1.810000,-0.920000
3G85,0.288800,0.342100,0.293800,0.341400,0.288900,0.347500,1.843307,-0.500000,0.070000,-0.010000,-0.540000
2PJS,0.262200,0.314600,0.268600,0.321900,0.262400,0.310200,1.847826,-0.640000,-0.730000,-0.020000,0.440000
5XMZ,0.274200,0.328000,0.287100,0.339000,0.297600,0.340900,1.848046,-1.290000,-1.100000,-2.340000,-1.290000
5XVW,0.251200,0.281400,0.256100,0.286300,0.255700,0.287400,1.848861,-0.490000,-0.490000,-0.450000,-0.600000
2F2E,0.281800,0.322200,0.284400,0.310300,0.277000,0.302200,1.848980,-0.260000,1.190000,0.480000,2.000000
3NJE,0.270000,0.293000,0.290600,0.313000,0.280000,0.302100,1.849700,-2.060000,-2.000000,-1.000000,-0.910000
3ATQ,0.238900,0.281900,0.245500,0.288300,0.238300,0.277000,1.849899,-0.660000,-0.640000,0.060000,0.490000
5G23,0.252300,0.286100,0.261500,0.286500,0.252700,0.275800,1.850003,-0.920000,-0.040000,-0.040000,1.030000
4PRA,0.269400,0.308700,0.294900,0.332100,0.375200,0.377400,1.850003,-2.550000,-2.340000,-10.580000,-6.870000
3H7O,0.225800,0.256000,0.231900,0.259900,0.235100,0.260400,1.850005,-0.610000,-0.390000,-0.930000,-0.440000
3VFP,0.361200,0.398000,0.295800,0.335300,0.411800,0.415700,1.850008,6.540000,6.270000,-5.060000,-1.770000
3L2H,0.292400,0.321200,0.294900,0.318000,0.294500,0.315900,1.850012,-0.250000,0.320000,-0.210000,0.530000
2X1C,0.214600,0.242100,0.221400,0.240300,0.214900,0.237100,1.850018,-0.680000,0.180000,-0.030000,0.500000
5ZOO,0.236000,0.251500,0.233000,0.240500,0.240700,0.249300,1.850035,0.300000,1.100000,-0.470000,0.220000
5TTA,0.277600,0.319500,0.284400,0.324200,0.280400,0.321700,1.850061,-0.680000,-0.470000,-0.280000,-0.220000
1BX0,0.227400,0.277700,0.235100,0.282500,0.236100,0.284200,1.850417,-0.770000,-0.480000,-0.870000,-0.650000
2QM7,0.286500,0.328300,0.296100,0.330700,0.294800,0.327900,1.854048,-0.960000,-0.240000,-0.830000,0.040000
4UYI,0.292800,0.300500,0.303200,0.294100,0.310700,0.309700,1.860002,-1.040000,0.640000,-1.790000,-0.920000
1RJ1,0.244800,0.279600,0.257300,0.285300,0.251900,0.280200,1.870259,-1.250000,-0.570000,-0.710000,-0.060000
5Z6V,0.253200,0.308500,0.253500,0.312600,0.266800,0.315400,1.874019,-0.030000,-0.410000,-1.360000,-0.690000
6PUP,0.282400,0.340200,0.293100,0.362400,0.297800,0.329900,1.879211,-1.070000,-2.220000,-1.540000,1.030000
2IVF,0.286700,0.324300,0.292000,0.326100,0.306500,0.338500,1.880068,-0.530000,-0.180000,-1.980000,-1.420000
1DLM,0.216700,0.261300,0.216200,0.256300,0.220900,0.263200,1.883898,0.050000,0.500000,-0.420000,-0.190000
1QB5,0.189100,0.240000,0.196600,0.234800,0.199900,0.236000,1.885664,-0.750000,0.520000,-1.080000,0.400000
4OFF,0.475400,0.530400,0.439000,0.521300,0.441800,0.500300,1.888218,3.640000,0.910000,3.360000,3.010000
6COK,0.231200,0.289200,0.237800,0.282300,0.235500,0.277000,1.888497,-0.660000,0.690000,-0.430000,1.220000
5Q1D,0.366600,0.412700,0.392000,0.440000,0.372900,0.424900,1.890014,-2.540000,-2.730000,-0.630000,-1.220000
2VUN,0.224100,0.250100,0.231000,0.251100,0.228400,0.250600,1.894204,-0.690000,-0.100000,-0.430000,-0.050000
5T0M,0.307700,0.376200,0.311700,0.369800,0.296000,0.358700,1.896471,-0.400000,0.640000,1.170000,1.750000
1GUI,0.269100,0.311700,0.277100,0.314400,0.269000,0.315500,1.897215,-0.800000,-0.270000,0.010000,-0.380000
1YMQ,0.223100,0.259600,0.233400,0.264500,0.231800,0.256300,1.898398,-1.030000,-0.490000,-0.870000,0.330000
3OAP,0.250400,0.260100,0.260600,0.256300,0.248200,0.256800,1.898491,-1.020000,0.380000,0.220000,0.330000
1RKG,0.266400,0.333200,0.276500,0.337300,0.258900,0.325700,1.898545,-1.010000,-0.410000,0.750000,0.750000
5G09,0.236100,0.278100,0.243300,0.278800,0.238700,0.271600,1.899067,-0.720000,-0.070000,-0.260000,0.650000
1K6D,0.241300,0.285900,0.250600,0.285100,0.243300,0.275600,1.899683,-0.930000,0.080000,-0.200000,1.030000
1H8V,0.239600,0.280100,0.236000,0.276200,0.244400,0.276800,1.899692,0.360000,0.390000,-0.480000,0.330000
1U1I,0.268700,0.322400,0.259300,0.319000,0.266900,0.321600,1.899912,0.940000,0.340000,0.180000,0.080000
4QTP,0.252400,0.300000,0.254200,0.289200,0.254300,0.287100,1.899915,-0.180000,1.080000,-0.190000,1.290000
2JFN,0.251000,0.266700,0.260800,0.269400,0.253400,0.264000,1.899918,-0.980000,-0.270000,-0.240000,0.270000
