code,rwork_torchref,rfree_torchref,rwork_phenix,rfree_phenix,d_min,n_atoms,delta_rwork,delta_rfree
5E2V,0.191400,0.230600,0.179800,0.211900,1.638217,3879,1.160000,1.870000
4KYQ,0.182000,0.250100,0.176600,0.233700,1.643029,1885,0.540000,1.640000
2A65,0.190500,0.221200,0.191700,0.207100,1.647381,4366,-0.120000,1.410000
6FJU,0.178100,0.216300,0.192400,0.210000,1.647491,3044,-1.430000,0.630000
3RLE,0.176700,0.220600,0.190600,0.214800,1.648703,1842,-1.390000,0.580000
3AQ2,0.187400,0.229200,0.181100,0.196800,1.649005,3388,0.630000,3.240000
1EZW,0.190000,0.208400,0.190900,0.194100,1.649843,2959,-0.090000,1.430000
4UWX,0.197000,0.242800,0.199900,0.242300,1.650005,4337,-0.290000,0.050000
6SRB,0.314300,0.364500,0.329900,0.364300,1.650018,4022,-1.560000,0.020000
3VFU,0.220500,0.247700,0.212200,0.235000,1.650020,3861,0.830000,1.270000
2A9S,0.191200,0.227200,0.177700,0.200700,1.652399,2761,1.350000,2.650000
1O6D,0.206600,0.257300,0.222300,0.261700,1.662573,1393,-1.570000,-0.440000
1ZKL,0.180200,0.215700,0.184300,0.207200,1.669472,2891,-0.410000,0.850000
2R7G,0.213000,0.239500,0.205800,0.225700,1.671162,6267,0.720000,1.380000
4EPZ,0.183200,0.233600,0.187100,0.237500,1.680006,1649,-0.390000,-0.390000
2WNH,0.181400,0.215800,0.182100,0.207800,1.682018,7047,-0.070000,0.800000
2W9Y,0.208000,0.255100,0.194400,0.240600,1.682365,1278,1.360000,1.450000
3CBM,0.188800,0.231800,0.200000,0.231300,1.685541,2199,-1.120000,0.050000
3GF6,0.191200,0.229800,0.174700,0.218800,1.690009,4328,1.650000,1.100000
3MQ2,0.195800,0.230100,0.186300,0.214500,1.690016,3771,0.950000,1.560000
6I50,0.180200,0.213700,0.180600,0.210200,1.690076,1415,-0.040000,0.350000
138L,0.198600,0.216700,0.172600,0.195300,1.693655,1420,2.600000,2.140000
2ZON,0.189200,0.221800,0.163400,0.196200,1.696004,9364,2.580000,2.560000
4DOV,0.199600,0.253200,0.216800,0.249000,1.696091,2707,-1.720000,0.420000
5EUR,0.209200,0.261000,0.216800,0.239500,1.697523,2947,-0.760000,2.150000
2RH3,0.177000,0.213900,0.187500,0.223500,1.697875,1100,-1.050000,-0.960000
1PXZ,0.214200,0.242500,0.188900,0.215600,1.698273,5991,2.530000,2.690000
3EFY,0.178100,0.207900,0.195300,0.212000,1.698319,3667,-1.720000,-0.410000
5T0K,0.200800,0.231100,0.172400,0.199700,1.698405,5182,2.840000,3.140000
1WDV,0.187200,0.234600,0.174100,0.227000,1.698600,2767,1.310000,0.760000
6IIW,0.194200,0.236200,0.205000,0.254300,1.698696,699,-1.080000,-1.810000
2PN0,0.198700,0.246200,0.188300,0.219400,1.699004,4554,1.040000,2.680000
1BXE,0.187400,0.223200,0.203800,0.231500,1.699449,948,-1.640000,-0.830000
3ADO,0.169300,0.207000,0.174800,0.213200,1.699452,2823,-0.550000,-0.620000
1DUG,0.197500,0.232800,0.202100,0.228700,1.699485,4520,-0.460000,0.410000
3BFM,0.191400,0.230000,0.185900,0.215800,1.699847,1925,0.550000,1.420000
3VFO,0.371600,0.410600,0.372100,0.394100,1.699943,3695,-0.050000,1.650000
2CCH,0.207800,0.241100,0.189800,0.212800,1.699979,10526,1.800000,2.830000
4JHN,0.192300,0.228300,0.168700,0.201000,1.700004,12042,2.360000,2.730000
3D1M,0.192300,0.238200,0.203300,0.241900,1.700011,4327,-1.100000,-0.370000
3QNM,0.181600,0.218000,0.187400,0.207000,1.700013,2190,-0.580000,1.100000
2FTX,0.205800,0.298600,0.224700,0.300800,1.700024,1267,-1.890000,-0.220000
6RSN,0.185800,0.240400,0.215700,0.254800,1.700026,808,-2.990000,-1.440000
5B5Q,0.209000,0.222500,0.190700,0.217700,1.700037,4477,1.830000,0.480000
4OX3,0.238200,0.293000,0.238000,0.284300,1.700041,1912,0.020000,0.870000
2R6R,0.183300,0.232800,0.183500,0.212900,1.700069,2759,-0.020000,1.990000
2NW3,0.202600,0.247400,0.202800,0.227100,1.700075,3637,-0.020000,2.030000
4CLF,0.183200,0.221600,0.191000,0.216500,1.700099,4036,-0.780000,0.510000
3U2A,0.174600,0.219100,0.176700,0.204200,1.700111,1037,-0.210000,1.490000
6V5J,0.197200,0.261300,0.179400,0.220300,1.700123,634,1.780000,4.100000
2VXZ,0.188000,0.235300,0.181100,0.213800,1.700128,1425,0.690000,2.150000
3THK,0.234300,0.343300,0.276500,0.346800,1.700189,1152,-4.220000,-0.350000
2FEX,0.189700,0.242500,0.174100,0.204800,1.700716,4945,1.560000,3.770000
2V62,0.216800,0.248800,0.219800,0.242300,1.700954,5183,-0.300000,0.650000
2PY2,0.215200,0.257000,0.206800,0.235900,1.703674,6557,0.840000,2.110000
5UXG,0.200800,0.245300,0.209500,0.240200,1.720241,3741,-0.870000,0.510000
4OXW,0.195700,0.259800,0.222500,0.273500,1.730039,972,-2.680000,-1.370000
4YYH,0.211700,0.253200,0.231900,0.249500,1.736708,1925,-2.020000,0.370000
3GMV,0.178800,0.223500,0.172500,0.202600,1.747812,1433,0.630000,2.090000
4N39,0.192800,0.234500,0.190800,0.226200,1.748001,6174,0.200000,0.830000
1J8B,0.200200,0.270300,0.204500,0.254200,1.748015,904,-0.430000,1.610000
3WNV,0.208000,0.247400,0.210100,0.249400,1.750002,5625,-0.210000,-0.200000
4RQM,0.244100,0.265700,0.265800,0.277600,1.750004,1481,-2.170000,-1.190000
1GQ8,0.185500,0.210400,0.165100,0.197200,1.750021,2807,2.040000,1.320000
2F1F,0.186600,0.234300,0.214400,0.239200,1.750030,2784,-2.780000,-0.490000
6IST,0.214700,0.244800,0.197300,0.237500,1.750030,3791,1.740000,0.730000
2X26,0.266500,0.324700,0.238400,0.284900,1.750044,5274,2.810000,3.980000
4PND,0.194800,0.248400,0.204300,0.246500,1.750074,1319,-0.950000,0.190000
3DJD,0.197400,0.240500,0.163800,0.200300,1.750215,7626,3.360000,4.020000
3VST,0.200100,0.212700,0.152700,0.170700,1.750499,23783,4.740000,4.200000
4QN8,0.206000,0.253700,0.210100,0.250800,1.750647,3945,-0.410000,0.290000
4OBJ,0.164800,0.217100,0.161400,0.202300,1.751004,1836,0.340000,1.480000
3IVB,0.205500,0.255500,0.212200,0.266700,1.751139,1307,-0.670000,-1.120000
5T6J,0.246700,0.296600,0.267300,0.305100,1.751743,1359,-2.060000,-0.850000
5EZA,0.205500,0.219200,0.197400,0.211400,1.760029,1903,0.810000,0.780000
4LZ2,0.194400,0.249800,0.215900,0.247100,1.760154,968,-2.150000,0.270000
4PV4,0.223400,0.256100,0.229500,0.255900,1.764006,8426,-0.610000,0.020000
5VIA,0.265900,0.294500,0.274000,0.283100,1.764029,2435,-0.810000,1.140000
4HUJ,0.195900,0.243200,0.195600,0.225900,1.766539,3157,0.030000,1.730000
6TCT,0.228300,0.269200,0.241000,0.270900,1.767038,4155,-1.270000,-0.170000
1O4V,0.156000,0.183600,0.165900,0.174200,1.770020,1429,-0.990000,0.940000
2DX6,0.192500,0.253100,0.197000,0.252900,1.778863,2671,-0.450000,0.020000
3JZS,0.191500,0.248200,0.213300,0.242200,1.779426,860,-2.180000,0.600000
4XLG,0.182800,0.228400,0.191000,0.216400,1.780034,3006,-0.820000,1.200000
3D1E,0.231800,0.278200,0.235400,0.285500,1.785766,6205,-0.360000,-0.730000
6QUR,0.212400,0.278000,0.226900,0.278500,1.792291,1632,-1.450000,-0.050000
1WP5,0.168600,0.218200,0.179400,0.228700,1.793334,2952,-1.080000,-1.050000
2OO2,0.231100,0.328200,0.235700,0.321800,1.794654,668,-0.460000,0.640000
1J53,0.205300,0.259700,0.178800,0.215000,1.794693,1641,2.650000,4.470000
2DRY,0.196900,0.292200,0.216500,0.275500,1.795981,2332,-1.960000,1.670000
5WWW,0.171400,0.179300,0.176300,0.170500,1.797950,977,-0.490000,0.880000
2QH9,0.214900,0.268000,0.218900,0.245100,1.798456,2920,-0.400000,2.290000
4RK2,0.183700,0.241100,0.198900,0.237100,1.798967,6760,-1.520000,0.400000
3EUS,0.212300,0.288700,0.224300,0.303900,1.799012,1376,-1.200000,-1.520000
4GAG,0.174400,0.215600,0.185000,0.201700,1.799020,3770,-1.060000,1.390000
6GXS,0.188100,0.225300,0.157900,0.188900,1.799947,12196,3.020000,3.640000
4F0F,0.192800,0.246200,0.204900,0.226500,1.799957,2456,-1.210000,1.970000
1J5W,0.209500,0.244500,0.212600,0.245300,1.800001,4829,-0.310000,-0.080000
2PAV,0.183600,0.237100,0.170000,0.217000,1.800001,4763,1.360000,2.010000
2XVS,0.225800,0.273200,0.181800,0.247800,1.800005,1380,4.400000,2.540000
4ZSF,0.172400,0.213100,0.180400,0.197400,1.800006,2847,-0.800000,1.570000
2CCM,0.176700,0.227200,0.187200,0.234500,1.800007,3811,-1.050000,-0.730000
3KGR,0.186500,0.231900,0.185100,0.240900,1.800008,2843,0.140000,-0.900000
3GLR,0.193400,0.222100,0.203400,0.219900,1.800012,2483,-1.000000,0.220000
1TGS,0.200600,0.248600,0.177200,0.211200,1.800015,2230,2.340000,3.740000
3U1D,0.189200,0.240900,0.200400,0.234800,1.800016,2723,-1.120000,0.610000
3BCI,0.179000,0.234300,0.192900,0.232100,1.800020,1623,-1.390000,0.220000
2VEF,0.221700,0.274200,0.217600,0.264000,1.800020,4794,0.410000,1.020000
1RJD,0.202600,0.231300,0.188300,0.224000,1.800033,8873,1.430000,0.730000
4KVU,0.221200,0.234900,0.226100,0.240700,1.800040,725,-0.490000,-0.580000
2G9W,0.219000,0.257100,0.215200,0.255300,1.800051,2124,0.380000,0.180000
2P38,0.194300,0.242100,0.213800,0.235600,1.800052,2691,-1.950000,0.650000
4DA2,0.229200,0.287100,0.239400,0.269300,1.800057,3844,-1.020000,1.780000
5HRJ,0.194200,0.220000,0.200100,0.228100,1.800059,809,-0.590000,-0.810000
3G6L,0.196200,0.242600,0.197300,0.231300,1.800069,3405,-0.110000,1.130000
6CW5,0.161100,0.209100,0.174400,0.204900,1.800076,2553,-1.330000,0.420000
3FY2,0.170200,0.218800,0.180600,0.212700,1.800126,2595,-1.040000,0.610000
3LS0,0.193400,0.237800,0.182800,0.204200,1.800145,1014,1.060000,3.360000
3ZH5,0.425600,0.435700,0.438600,0.431000,1.800729,2311,-1.300000,0.470000
6UB7,0.191900,0.208200,0.199500,0.210300,1.801869,2211,-0.760000,-0.210000
2EO4,0.172000,0.232500,0.196000,0.228200,1.801961,1371,-2.400000,0.430000
3M91,0.209900,0.235900,0.230700,0.245000,1.802052,1303,-2.080000,-0.910000
2ZUL,0.178100,0.221700,0.182500,0.214600,1.802856,3173,-0.440000,0.710000
3SOL,0.215800,0.265800,0.215800,0.221300,1.804158,808,0.000000,4.450000
2QOS,0.184500,0.242200,0.200000,0.244900,1.805731,1601,-1.550000,-0.270000
5OF9,0.186800,0.213000,0.190700,0.212800,1.806897,9495,-0.390000,0.020000
2GCT,0.196900,0.231200,0.164000,0.198800,1.809783,1907,3.290000,3.240000
4QJ9,0.165500,0.215100,0.167400,0.214400,1.827026,1935,-0.190000,0.070000
7D86,0.195400,0.213700,0.195100,0.196300,1.838036,1535,0.030000,1.740000
7FHR,0.175200,0.226900,0.182600,0.223900,1.839707,3875,-0.740000,0.300000
4CH9,0.178900,0.214100,0.168500,0.201100,1.839999,5096,1.040000,1.300000
6VHT,0.242200,0.297400,0.260000,0.300000,1.841026,2888,-1.780000,-0.260000
3G85,0.172100,0.224200,0.184200,0.217400,1.843307,2331,-1.210000,0.680000
2PJS,0.183300,0.252300,0.203300,0.248800,1.847826,1839,-2.000000,0.350000
5XMZ,0.179400,0.250500,0.209000,0.256000,1.848046,1056,-2.960000,-0.550000
5XVW,0.182500,0.234500,0.193500,0.241900,1.848861,4892,-1.100000,-0.740000
2F2E,0.180700,0.247900,0.194200,0.257600,1.848980,2576,-1.350000,-0.970000
5F46,0.202300,0.271700,0.228400,0.269300,1.849304,2920,-2.610000,0.240000
3NJE,0.195800,0.250400,0.205000,0.246600,1.849700,2865,-0.920000,0.380000
5CWK,0.392200,0.382700,0.400500,0.377300,1.849895,1386,-0.830000,0.540000
3ATQ,0.184100,0.240100,0.201000,0.245300,1.849899,3753,-1.690000,-0.520000
5G23,0.192700,0.228900,0.193400,0.227000,1.850003,6264,-0.070000,0.190000
4PRA,0.306500,0.349200,0.301900,0.334400,1.850003,3626,0.460000,1.480000
3H7O,0.193400,0.232200,0.198300,0.227700,1.850005,3853,-0.490000,0.450000
3VFP,0.486000,0.503800,0.488200,0.506200,1.850008,3711,-0.220000,-0.240000
5ZOO,0.174100,0.189900,0.181600,0.188900,1.850035,3317,-0.750000,0.100000
5TTA,0.210300,0.273100,0.216500,0.275100,1.850061,3785,-0.620000,-0.200000
6SM4,0.179200,0.225600,0.206900,0.228300,1.850089,1359,-2.770000,-0.270000
1BX0,0.200900,0.229800,0.191600,0.229400,1.850417,2638,0.930000,0.040000
3V2X,0.174400,0.212700,0.183900,0.214200,1.850433,1426,-0.950000,-0.150000
2QM7,0.182700,0.221600,0.193000,0.222600,1.854048,5190,-1.030000,-0.100000
2JIG,0.198900,0.235100,0.183800,0.229400,1.854412,3687,1.510000,0.570000
6P2A,0.177700,0.200600,0.162800,0.188400,1.858141,8284,1.490000,1.220000
4UYI,0.183400,0.232200,0.201000,0.209700,1.860002,1071,-1.760000,2.250000
1RJ1,0.192900,0.233000,0.201600,0.229000,1.870259,1228,-0.870000,0.400000
5Z6V,0.173300,0.215800,0.171500,0.208200,1.874019,1313,0.180000,0.760000
3TAX,0.226900,0.245900,0.223800,0.247500,1.875006,12326,0.310000,-0.160000
6PUP,0.214300,0.252000,0.200600,0.261400,1.879211,1424,1.370000,-0.940000
3QDO,0.144900,0.192800,0.150900,0.181200,1.880897,906,-0.600000,1.160000
1DLM,0.226500,0.250000,0.182300,0.210700,1.883898,5085,4.420000,3.930000
1QB5,0.186400,0.225700,0.184300,0.230200,1.885664,3938,0.210000,-0.450000
4OFF,0.199300,0.262300,0.197400,0.254400,1.888218,1112,0.190000,0.790000
6COK,0.197900,0.245400,0.194100,0.249000,1.888497,2358,0.380000,-0.360000
4EVW,0.186600,0.227400,0.194200,0.218200,1.894006,4383,-0.760000,0.920000
2VUN,0.168600,0.200200,0.170000,0.190900,1.894204,12417,-0.140000,0.930000
3M6J,0.183900,0.237800,0.176800,0.214400,1.896299,4785,0.710000,2.340000
5T0M,0.197800,0.251700,0.193700,0.247100,1.896471,4891,0.410000,0.460000
3WAI,0.196600,0.230700,0.202300,0.229800,1.897020,6197,-0.570000,0.090000
4ZHM,0.205500,0.241900,0.228200,0.277500,1.897026,2090,-2.270000,-3.560000
6RFG,0.233300,0.249300,0.223300,0.256400,1.897302,4584,1.000000,-0.710000
1AT0,0.205100,0.293300,0.211200,0.266800,1.897364,1237,-0.610000,2.650000
4TR3,0.216000,0.246200,0.182900,0.220700,1.897382,1555,3.310000,2.550000
4REV,0.212400,0.251500,0.236100,0.250000,1.898098,2132,-2.370000,0.150000
1YMQ,0.175600,0.236100,0.185600,0.218000,1.898398,2207,-1.000000,1.810000
3OAP,0.183800,0.224800,0.201700,0.216500,1.898491,1955,-1.790000,0.830000
1RKG,0.181200,0.246200,0.196600,0.250600,1.898545,2156,-1.540000,-0.440000
6OAE,0.181700,0.234800,0.197600,0.224300,1.898836,1795,-1.590000,1.050000
1K6D,0.187000,0.231400,0.200800,0.236700,1.899683,3470,-1.380000,-0.530000
1H8V,0.205000,0.231600,0.176700,0.223900,1.899692,11228,2.830000,0.770000
1NU2,0.200900,0.289300,0.188500,0.240800,1.899943,1477,1.240000,4.850000
1B9K,0.178700,0.215900,0.162800,0.203000,1.899949,2177,1.590000,1.290000
3UTN,0.171900,0.218900,0.187200,0.219500,1.899974,2784,-1.530000,-0.060000
6EWJ,0.245100,0.288900,0.238600,0.291700,1.899985,13277,0.650000,-0.280000
2CV3,0.195300,0.236800,0.171100,0.214100,1.899995,2208,2.420000,2.270000
1FKM,0.175300,0.218000,0.185200,0.216300,1.900003,2925,-0.990000,0.170000
2JH3,0.202500,0.233500,0.191800,0.231700,1.900003,14998,1.070000,0.180000
5XHW,0.231000,0.275400,0.239300,0.268300,1.900006,1899,-0.830000,0.710000
4AUP,0.238100,0.303000,0.233900,0.303000,1.900007,2198,0.420000,0.000000
2P0U,0.172800,0.210500,0.170000,0.205600,1.900009,6667,0.280000,0.490000
5O6B,0.227700,0.266800,0.229900,0.273300,1.900010,9104,-0.220000,-0.650000
4UDP,0.199400,0.235500,0.195600,0.241500,1.900018,8311,0.380000,-0.600000
2QE9,0.192900,0.238100,0.199300,0.220500,1.900029,3009,-0.640000,1.760000
3E99,0.208100,0.272400,0.198200,0.249300,1.900033,1422,0.990000,2.310000
2BON,0.225900,0.279300,0.268600,0.310600,1.900037,4215,-4.270000,-3.130000
3QKL,0.192500,0.244100,0.200800,0.248400,1.900058,2959,-0.830000,-0.430000
1QMY,0.184000,0.226900,0.194000,0.232700,1.900084,4189,-1.000000,-0.580000
1P4X,0.271900,0.301700,0.251200,0.298800,1.900143,2221,2.070000,0.290000
1XHD,0.169400,0.209900,0.169400,0.198600,1.900155,1516,0.000000,1.130000
5MXY,0.168600,0.202900,0.185500,0.207700,1.900308,773,-1.690000,-0.480000
1UJK,0.194700,0.248600,0.201300,0.232300,1.900332,2705,-0.660000,1.630000
3E7P,0.182300,0.230900,0.184800,0.231500,1.900468,2245,-0.250000,-0.060000
4IDI,0.249900,0.282300,0.242800,0.277200,1.900478,4190,0.710000,0.510000
5GKV,0.168900,0.218400,0.172800,0.202900,1.900732,3120,-0.390000,1.550000
3TCO,0.186500,0.211500,0.184200,0.209200,1.900841,2808,0.230000,0.230000
6D2V,0.181700,0.215500,0.178500,0.214100,1.900905,5456,0.320000,0.140000
5Y9I,0.173800,0.221600,0.163800,0.206000,1.901023,2825,1.000000,1.560000
1QZN,0.195300,0.253900,0.204900,0.246400,1.901173,1382,-0.960000,0.750000
3KOL,0.184700,0.251600,0.195200,0.217200,1.901453,1238,-1.050000,3.440000
4OF8,0.189400,0.226500,0.192900,0.230600,1.902004,7448,-0.350000,-0.410000
4WD1,0.169800,0.201600,0.163200,0.183900,1.903011,5598,0.660000,1.770000
1HN0,0.163200,0.209900,0.160100,0.202100,1.904553,9426,0.310000,0.780000
2GT1,0.200300,0.256600,0.207500,0.243800,1.905254,5322,-0.720000,1.280000
4F27,0.215800,0.274400,0.237300,0.262200,1.916559,2754,-2.150000,1.220000
3IHU,0.241500,0.287800,0.213800,0.273700,1.920022,3411,2.770000,1.410000
4YXP,0.191300,0.242700,0.198700,0.235100,1.920034,4512,-0.740000,0.760000
6IQJ,0.227100,0.278700,0.195100,0.262500,1.921816,2352,3.200000,1.620000
3N9U,0.233000,0.267700,0.234500,0.267500,1.924023,5214,-0.150000,0.020000
6M3Y,0.259900,0.271200,0.257200,0.280000,1.925934,6279,0.270000,-0.880000
1Y08,0.186300,0.229500,0.185000,0.219300,1.928106,2491,0.130000,1.020000
3P1V,0.221000,0.261800,0.208100,0.270400,1.930009,7406,1.290000,-0.860000
5MLK,0.202700,0.237000,0.198700,0.220300,1.938580,6780,0.400000,1.670000
4AOM,0.205300,0.259600,0.183800,0.239700,1.938590,1511,2.150000,1.990000
6PNP,0.207500,0.222300,0.223000,0.228000,1.940062,2656,-1.550000,-0.570000
3U9L,0.198800,0.249600,0.203000,0.239800,1.941693,2355,-0.420000,0.980000
4P3C,0.178700,0.220500,0.159800,0.211900,1.942630,3992,1.890000,0.860000
5OMB,0.207100,0.265400,0.209400,0.259600,1.944037,3915,-0.230000,0.580000
3KWL,0.186500,0.233700,0.185100,0.231200,1.945010,4388,0.140000,0.250000
4ICH,0.196500,0.281700,0.216500,0.272400,1.947004,3372,-2.000000,0.930000
6A0E,0.178600,0.232300,0.179600,0.231900,1.947093,5612,-0.100000,0.040000
6LKG,0.198100,0.243800,0.204000,0.241400,1.947851,8224,-0.590000,0.240000
3H6R,0.168300,0.248000,0.186900,0.243700,1.947933,2666,-1.860000,0.430000
6PEU,0.209900,0.234700,0.203200,0.236500,1.948002,13853,0.670000,-0.180000
3W8W,0.210800,0.245100,0.196300,0.245400,1.949993,7744,1.450000,-0.030000
6GP7,0.229200,0.247300,0.229600,0.247300,1.950004,1120,-0.040000,0.000000
1SOT,0.221300,0.261800,0.232100,0.279000,1.950005,6617,-1.080000,-1.720000
3OEC,0.201100,0.229500,0.184000,0.229700,1.950032,9051,1.710000,-0.020000
4AK1,0.274400,0.303500,0.272800,0.292400,1.950036,5247,0.160000,1.110000
3V4A,0.173400,0.220000,0.177200,0.219200,1.950040,2374,-0.380000,0.080000
1WW9,0.173600,0.210600,0.188400,0.213700,1.950060,3461,-1.480000,-0.310000
2IUC,0.188300,0.243600,0.175600,0.228700,1.950060,5544,1.270000,1.490000
4Q63,0.176200,0.212900,0.196900,0.214500,1.950143,862,-2.070000,-0.160000
3HTV,0.198500,0.265400,0.201500,0.248600,1.950279,2300,-0.300000,1.680000
3MYU,0.208200,0.243900,0.215800,0.249500,1.950503,5761,-0.760000,-0.560000
1FIO,0.252600,0.306300,0.244400,0.283700,1.951112,1708,0.820000,2.260000
3VXN,0.189900,0.220700,0.207100,0.232200,1.952009,3347,-1.720000,-1.150000
3K7M,0.180000,0.226600,0.186700,0.220500,1.952113,4048,-0.670000,0.610000
4HIA,0.178100,0.226300,0.181200,0.230000,1.952271,3150,-0.310000,-0.370000
3GQU,0.323300,0.361100,0.322200,0.342800,1.957053,881,0.110000,1.830000
1BQG,0.216500,0.226800,0.190800,0.221600,1.958299,3178,2.570000,0.520000
1NO4,0.310900,0.367400,0.329600,0.380000,1.963742,2527,-1.870000,-1.260000
7BN2,0.197000,0.219600,0.191600,0.224100,1.969805,6323,0.540000,-0.450000
6FOK,0.217300,0.246200,0.232000,0.252400,1.970004,10757,-1.470000,-0.620000
6ILR,0.226100,0.272100,0.242200,0.266500,1.971972,4720,-1.610000,0.560000
