code,n_protein_chains,n_uniprot,seq_source,status
1SO2,4,1,local,ok
1SOT,3,1,local,ok
1SQS,2,1,local,ok
1SVV,2,1,local,ok
1SZQ,2,1,local,ok
1T3I,2,1,local,ok
1T6A,1,1,local,ok
1T74,2,1,mixed,ok
1T76,2,1,mixed,ok
1TE5,2,1,local,ok
1TFR,1,1,local,ok
1TGS,2,2,local,ok
1TML,1,1,rcsb,ok
1TVL,1,1,local,ok
1TYJ,1,1,local,ok
1U1I,4,1,local,ok
1U7B,2,2,mixed,ok
1UEF,4,2,mixed,ok
1UJK,4,2,mixed,ok
1UKV,2,2,local,ok
1UTB,2,1,local,ok
1UVQ,3,3,local,ok
1V8Q,4,1,local,ok
1VB3,1,1,local,ok
1VCE,2,1,local,ok
1VDD,4,1,local,ok
1VER,1,1,local,ok
1VK0,6,1,local,ok
1VLM,2,1,local,ok
1VMB,1,1,local,ok
1VR4,5,1,local,ok
1VRQ,4,4,local,ok
1W2Y,2,1,local,ok
1W53,1,1,local,ok
1W8A,1,1,local,ok
1WD8,1,1,local,ok
1WDV,2,1,local,ok
1WLZ,4,1,local,ok
1WP5,1,0,local,no_uniprot
1WTJ,2,1,local,ok
1WTY,4,1,local,ok
1WU2,2,1,local,ok
1WV8,1,1,local,ok
1WW9,1,1,local,ok
1X1Q,2,1,local,ok
1X6O,1,1,local,ok
1XFK,1,1,local,ok
1XHD,1,1,local,ok
1XQZ,1,1,local,ok
1XVS,2,1,local,ok
1XVW,2,1,local,ok
1XX1,4,1,local,ok
1Y08,1,1,local,ok
1Y7O,7,1,local,ok
1Y8Q,4,2,local,ok
1Y98,2,2,mixed,ok
1YEM,2,1,local,ok
1YK3,8,1,local,ok
1YMQ,1,1,local,ok
1YRX,3,1,local,ok
1YW0,4,1,local,ok
1YW4,2,1,local,ok
1Z05,1,1,local,ok
1Z3X,1,1,local,ok
1ZEJ,1,1,local,ok
1ZJ8,2,1,local,ok
1ZKL,1,1,local,ok
1ZN6,1,1,local,ok
1ZPS,2,1,local,ok
1ZZ0,4,1,local,ok
2A25,2,2,mixed,ok
2A3V,4,1,local,ok
2A65,1,1,local,ok
2A9S,2,1,local,ok
2ACJ,4,1,local,ok
2AE0,1,1,local,ok
2AG0,4,1,local,ok
2AHR,5,1,local,ok
2AP2,4,2,mixed,ok
2AQ4,1,1,local,ok
2B2N,2,1,local,ok
2B3X,1,1,local,ok
2B5E,1,1,local,ok
2B78,1,1,local,ok
2B7O,2,1,local,ok
2BON,2,1,local,ok
2BTY,3,1,local,ok
2BUK,1,1,rcsb,ok
2BUO,2,1,mixed,ok
2C83,1,1,local,ok
2C8X,3,2,mixed,ok
2C90,3,2,mixed,ok
2CB4,14,1,local,ok
2CCH,6,3,mixed,ok
2CCM,2,1,local,ok
2CF9,3,2,mixed,ok
2CKL,2,2,local,ok
2CV3,2,1,mixed,ok
2CZV,4,2,local,ok
2D0T,2,1,local,ok
2D68,2,1,local,ok
2DOB,1,1,local,ok
2DQ6,1,1,local,ok
2DRY,2,1,local,ok
2DX6,2,1,local,ok
2E1M,3,1,local,ok
2EO4,1,1,local,ok
2ESR,2,0,local,no_uniprot
2EU9,1,1,local,ok
2EXU,1,1,local,ok
2F1F,2,1,local,ok
2F2E,2,1,local,ok
2F8L,1,1,local,ok
2F9I,4,2,local,ok
2F9Z,4,2,local,ok
2FEX,3,1,local,ok
2FFF,2,2,mixed,ok
2FH9,1,1,local,ok
2FQM,6,1,local,ok
2FTX,2,2,local,ok
2G9W,2,1,local,ok
2GA1,2,1,local,ok
2GA9,2,2,local,ok
2GCT,4,1,mixed,ok
2GD9,2,1,local,ok
2GT1,2,1,local,ok
2GUH,2,1,local,ok
2H34,2,1,local,ok
2HXW,2,1,local,ok
2I4R,2,1,local,ok
2I53,1,1,local,ok
2I7H,6,1,local,ok
2I88,1,1,local,ok
2I8B,2,1,local,ok
2IJE,1,1,local,ok
2IO7,2,1,local,ok
2IUC,2,1,local,ok
2IVF,3,3,local,ok
2IVM,2,1,local,ok
2JAC,1,1,local,ok
2JBV,2,1,local,ok
2JFN,1,1,local,ok
2JH3,4,1,local,ok
2JIG,2,0,local,no_uniprot
2NLY,1,1,local,ok
2NN4,3,1,local,ok
2NTX,2,1,local,ok
2NVN,1,1,local,ok
2NW3,3,2,mixed,ok
2O14,1,1,local,ok
2OD8,2,2,mixed,ok
2OO2,1,1,local,ok
2OO3,1,1,local,ok
2OWQ,2,1,local,ok
2P0U,2,1,local,ok
2P1L,8,2,local,ok
2P38,2,1,local,ok
2P62,2,1,local,ok
2P8J,2,1,local,ok
2P8Q,2,2,local,ok
2PAV,3,3,mixed,ok
2PJS,2,1,local,ok
2PK9,4,2,local,ok
2PN0,4,1,local,ok
2PQN,2,2,local,ok
2PQV,2,1,local,ok
2PSB,1,1,local,ok
2PY2,6,1,local,ok
2Q1Z,4,2,local,ok
2Q3Y,2,1,mixed,ok
2QCO,1,1,local,ok
2QE9,2,1,local,ok
2QH9,2,1,local,ok
2QHL,5,1,local,ok
2QKL,2,2,local,ok
2QL3,12,1,local,ok
2QM7,2,1,local,ok
2QML,1,1,local,ok
2QOS,2,2,mixed,ok
2QSV,1,1,local,ok
2QYA,4,1,local,ok
2QZU,1,1,local,ok
2R5F,1,1,local,ok
2R6R,1,1,rcsb,ok
2R7G,5,2,mixed,ok
2RCC,3,1,local,ok
2RH3,1,1,local,ok
2UZ8,2,1,local,ok
2V62,2,1,local,ok
2VDR,5,4,mixed,ok
2VEF,2,1,local,ok
2VUN,4,1,local,ok
2VXZ,1,1,local,ok
2VZB,4,1,local,ok
2W3X,6,1,local,ok
2W9Y,1,1,local,ok
2WDZ,4,1,local,ok
2WNH,2,1,local,ok
2WP1,4,2,mixed,ok
2X1C,4,1,local,ok
2X26,2,1,local,ok
2XD0,6,1,local,ok
2XDC,6,0,rcsb,no_uniprot
2XDO,4,1,local,ok
2XGG,2,1,local,ok
2XN4,2,1,local,ok
2XPI,4,2,local,ok
2XPL,2,1,local,ok
2XVS,1,1,local,ok
2Y9W,4,2,local,ok
2YEU,6,1,local,ok
2YFA,2,1,local,ok
2YGB,3,1,local,ok
2YGK,2,1,local,ok
2YJT,4,2,local,ok
2YN0,1,1,local,ok
2Z1D,2,1,local,ok
2Z1Z,2,1,local,ok
2Z7E,3,1,local,ok
2ZIU,2,2,local,ok
2ZME,4,3,local,ok
2ZON,4,2,local,ok
2ZUL,1,1,local,ok
3A58,6,2,local,ok
3A5V,1,0,local,no_uniprot
3ADO,1,1,local,ok
3AJW,1,1,local,ok
3AMH,2,1,local,ok
3AQ2,2,1,local,ok
3AQG,2,1,local,ok
3ATQ,1,1,local,ok
3AV4,1,1,local,ok
3AX3,8,2,mixed,ok
3B23,3,2,mixed,ok
3B2D,4,2,local,ok
3B8I,6,1,local,ok
3BCI,1,1,local,ok
3BFM,1,1,local,ok
3BGU,2,1,local,ok
3BJ6,2,1,local,ok
3BNK,2,1,local,ok
3BSD,1,1,local,ok
3BVQ,2,1,local,ok
3C0B,4,1,local,ok
3C7J,2,1,local,ok
3CAX,1,1,local,ok
3CB0,4,1,local,ok
3CB5,2,1,local,ok
3CBM,2,2,mixed,ok
3CGG,2,1,local,ok
3CH0,1,1,local,ok
3CMQ,1,1,local,ok
3CQO,3,1,local,ok
3CSV,1,1,local,ok
3CU3,1,1,local,ok
3CXM,1,1,local,ok
3CY3,2,1,mixed,ok
3D1E,3,1,mixed,ok
3D1M,4,2,local,ok
3D49,3,2,mixed,ok
3DEE,1,1,local,ok
3DIW,4,2,mixed,ok
3DJD,2,1,local,ok
3DJN,1,1,local,ok
3DLA,4,1,local,ok
3DOH,2,1,local,ok
3DXI,2,1,local,ok
3E7P,1,1,local,ok
3E8S,1,1,local,ok
3E8V,1,1,local,ok
3E98,2,1,local,ok
3E99,1,1,local,ok
3EBW,2,1,local,ok
3EC1,2,1,local,ok
3ED4,4,1,local,ok
3EFY,2,1,local,ok
3EIW,1,1,local,ok
3ER7,2,1,local,ok
3EUS,2,1,local,ok
3FBI,4,2,local,ok
3FGB,2,1,local,ok
3FJU,2,2,local,ok
3FKK,2,1,local,ok
3FPR,2,1,local,ok
3FVE,1,1,local,ok
3FVV,2,1,local,ok
3FY2,2,1,mixed,ok
3G39,1,1,local,ok
3G3O,1,1,local,ok
3G6L,1,1,local,ok
3G6S,1,1,local,ok
3G85,1,1,local,ok
3GEB,4,1,local,ok
3GF6,2,1,local,ok
3GGM,4,1,local,ok
3GLR,2,2,mixed,ok
3GM5,1,1,local,ok
3GMV,1,1,local,ok
3GQU,1,1,local,ok
3GR5,1,1,local,ok
3GUV,1,1,local,ok
3GXQ,2,1,local,ok
3H1T,1,1,local,ok
3H6E,2,1,local,ok
3H6R,2,1,local,ok
3H7O,2,1,local,ok
3HBC,1,1,local,ok
3HF0,1,0,rcsb,no_uniprot
3HHC,4,1,local,ok
3HL0,2,1,local,ok
3HST,4,2,local,ok
3HTK,3,2,local,ok
3HTV,1,1,local,ok
3HXJ,4,1,local,ok
3HXL,1,1,local,ok
3I38,12,1,local,ok
3I3Y,4,1,local,ok
3IC8,4,1,local,ok
3IHU,2,1,local,ok
3IO5,2,1,local,ok
3IUG,2,1,local,ok
3IUR,3,1,mixed,ok
3IVB,2,2,mixed,ok
3JSB,2,1,local,ok
3JST,2,1,local,ok
3JWH,2,1,local,ok
3JZS,2,1,mixed,ok
3K7M,1,1,local,ok
3KFW,1,1,local,ok
3KG6,4,1,local,ok
3KGR,3,1,local,ok
3KKD,3,1,local,ok
3KKE,4,1,local,ok
3KKJ,2,1,local,ok
3KOL,1,1,local,ok
3KWL,1,0,local,no_uniprot
3KXR,1,1,local,ok
3KZP,2,1,local,ok
3L1W,6,1,local,ok
3L2H,4,1,local,ok
3L6F,3,3,mixed,ok
3L8N,1,1,local,ok
3LLI,1,1,local,ok
3LM6,2,1,local,ok
3LOC,4,1,local,ok
3LS0,1,1,local,ok
3LW3,2,1,local,ok
3M1G,3,1,local,ok
3M1T,1,1,local,ok
3M6J,4,0,local,no_uniprot
3M91,4,2,local,ok
3MB2,12,2,local,ok
3MKR,2,2,local,ok
3ML3,1,1,local,ok
3MML,8,2,local,ok
3MQ2,2,1,local,ok
3MTK,2,1,local,ok
3MV2,6,2,local,ok
3MYU,2,1,local,ok
3N39,4,2,local,ok
3N55,2,1,mixed,ok
3N5L,2,1,local,ok
3N74,4,1,local,ok
3N9U,4,2,local,ok
3NA7,1,0,local,no_uniprot
3NJB,2,1,local,ok
3NJE,2,1,local,ok
3NO8,2,1,local,ok
3NYY,1,1,local,ok
3OAP,2,2,mixed,ok
3OC7,1,1,local,ok
3OCB,4,1,mixed,ok
3ODI,20,1,mixed,ok
3OEC,4,1,local,ok
3OFJ,1,1,local,ok
3OOQ,10,1,local,ok
3OPB,2,1,local,ok
3P1V,2,1,local,ok
3P86,2,1,local,ok
3PFY,1,1,local,ok
3PPU,2,1,local,ok
3PZ8,8,1,local,ok
3QC1,1,1,local,ok
3QDO,1,1,local,ok
3QKL,2,2,mixed,ok
3QLA,4,2,mixed,ok
3QNM,1,1,local,ok
3QTA,2,1,local,ok
3QVJ,2,1,local,ok
3R0Q,4,1,local,ok
3R6B,1,1,local,ok
3RAZ,1,1,local,ok
3RBQ,12,2,mixed,ok
3RFR,11,3,mixed,ok
3RLE,1,1,local,ok
3RPD,2,1,local,ok
3RQ4,1,1,local,ok
3RST,8,1,local,ok
3SF5,4,2,local,ok
3SGN,2,1,rcsb,ok
3SHW,2,2,mixed,ok
3SOL,1,1,local,ok
3SUZ,1,1,local,ok
3T0Q,1,1,local,ok
3T9O,2,1,local,ok
3TAX,4,2,mixed,ok
3TCO,3,1,local,ok
3THF,2,1,local,ok
3THK,4,1,mixed,ok
3TIX,4,2,local,ok
3TSZ,2,2,mixed,ok
3TU7,3,2,mixed,ok
3TVA,2,1,local,ok
3TZY,4,1,mixed,ok
3U1D,2,1,local,ok
3U2A,1,1,local,ok
3U66,1,1,local,ok
3U9L,1,1,local,ok
3UJ6,1,1,local,ok
3UN9,3,1,local,ok
3UNG,1,1,local,ok
3UTN,1,1,local,ok
3UVO,2,2,mixed,ok
3UZE,4,1,local,ok
3V10,2,1,local,ok
3V2X,2,2,mixed,ok
3V4A,2,1,mixed,ok
3V6O,6,1,local,ok
3V70,2,1,local,ok
3VD8,1,1,local,ok
3VEP,8,2,local,ok
3VFO,3,3,mixed,ok
3VFP,3,3,mixed,ok
3VFU,3,2,mixed,ok
3VHL,2,2,local,ok
3VPB,6,2,local,ok
3VRJ,3,3,mixed,ok
3VSM,1,1,local,ok
3VST,4,1,local,ok
3VU6,2,1,local,ok
3VUQ,4,1,local,ok
3VXN,3,3,mixed,ok
3VXU,10,3,mixed,ok
3VYN,2,1,local,ok
3W0L,4,2,local,ok
3W3T,1,1,local,ok
3W3W,2,2,mixed,ok
3W56,1,1,local,ok
3W6K,6,1,mixed,ok
3W8W,2,1,local,ok
3WAI,1,1,local,ok
3WIM,2,2,mixed,ok
3WNV,2,1,local,ok
3WSD,6,0,local,no_uniprot
3WTQ,2,2,mixed,ok
3WW1,2,1,local,ok
3X0X,8,1,local,ok
3ZH5,2,1,local,ok
3ZH9,1,1,local,ok
3ZIE,6,1,local,ok
4AK1,1,1,local,ok
4ALY,2,1,local,ok
4AOM,2,2,mixed,ok
4AUP,2,1,local,ok
4B18,2,2,mixed,ok
4BQD,4,1,mixed,ok
4BQK,4,2,mixed,ok
4BU1,4,2,mixed,ok
4BVE,2,2,mixed,ok
4BX9,3,2,local,ok
4C1S,2,1,local,ok
4C6R,4,1,local,ok
4CE5,2,1,local,ok
4CGB,6,1,local,ok
4CH9,4,2,mixed,ok
4CKT,4,2,mixed,ok
4CLF,1,1,local,ok
4CSO,4,1,local,ok
4D51,1,1,local,ok
4DA2,2,1,local,ok
4DOV,2,1,local,ok
4E8U,2,1,local,ok
4EOY,6,2,mixed,ok
4EPZ,1,1,local,ok
4EVW,2,1,local,ok
4EWI,2,1,local,ok
4EX5,2,1,local,ok
4F0F,1,1,local,ok
4F27,2,2,mixed,ok
4FC4,10,1,local,ok
4FE9,1,1,local,ok
4FIX,2,1,local,ok
4FUV,1,1,local,ok
4FYU,3,1,local,ok
4G3H,4,1,local,ok
4GAG,3,1,mixed,ok
4GKN,6,2,mixed,ok
4GMV,2,1,local,ok
4H9D,3,1,local,ok
4HIA,2,1,local,ok
4HJW,3,1,local,ok
4HKA,1,1,local,ok
4HUJ,2,1,local,ok
4ICH,2,1,local,ok
4IDI,4,1,local,ok
4J2N,5,1,local,ok
4JFQ,6,2,mixed,ok
4JGX,2,1,local,ok
4JHN,4,1,local,ok
4JLX,1,1,local,ok
4JMQ,4,1,local,ok
4JPR,1,1,local,ok
4JX2,2,1,local,ok
4K36,2,1,local,ok
4KH9,2,1,local,ok
4KVU,3,0,local,no_uniprot
4KYQ,1,1,local,ok
4L7Z,6,1,local,ok
4L92,2,1,local,ok
4L9U,2,1,local,ok
4LD7,16,1,local,ok
4LZ2,1,1,local,ok
4MAA,1,1,local,ok
4ME9,2,1,local,ok
4MG5,4,2,mixed,ok
4MG6,4,2,mixed,ok
4MJG,2,1,local,ok
4N39,2,2,mixed,ok
4N5X,1,1,local,ok
4NPJ,2,1,local,ok
4NUF,2,2,mixed,ok
4NW9,12,0,rcsb,no_uniprot
4NWZ,4,1,local,ok
4O62,4,2,mixed,ok
4O92,1,1,local,ok
4OBJ,3,2,mixed,ok
4OC8,4,1,local,ok
4OF8,4,1,local,ok
4OFF,1,1,local,ok
4OH5,2,1,mixed,ok
4OIL,2,1,mixed,ok
4OX3,1,1,local,ok
4OXW,1,0,local,no_uniprot
4P3C,3,1,mixed,ok
4PDE,1,1,local,ok
4PFS,2,1,local,ok
4PND,5,0,local,no_uniprot
4PQZ,1,1,local,ok
4PRA,3,3,mixed,ok
4PSI,4,2,mixed,ok
4PV4,2,1,local,ok
4Q13,4,2,mixed,ok
4Q63,1,1,local,ok
4QH8,8,2,mixed,ok
4QJ9,3,2,mixed,ok
4QKO,8,2,local,ok
4QN8,3,1,local,ok
4QQR,2,1,local,ok
4QTP,4,1,local,ok
4QXA,2,2,local,ok
4QXL,1,1,local,ok
4R10,2,2,local,ok
4REV,2,1,local,ok
4RHO,2,1,local,ok
4RIS,3,1,mixed,ok
4RK2,2,1,local,ok
4RO5,1,1,local,ok
4RQM,3,1,local,ok
4TR3,1,1,local,ok
4TWL,2,1,local,ok
4U7A,1,1,local,ok
4UCI,2,1,local,ok
4UDA,2,2,mixed,ok
4UDP,2,1,local,ok
4UW7,3,1,local,ok
4UWX,4,2,mixed,ok
4UYI,1,1,local,ok
4V15,2,1,local,ok
4W2R,6,3,local,ok
4WAL,1,1,local,ok
4WD1,1,1,local,ok
4WD7,5,1,local,ok
4WIP,3,1,local,ok
4WWM,2,1,local,ok
4WX7,4,2,mixed,ok
4X3E,2,2,mixed,ok
4XLG,2,2,local,ok
4YGX,5,2,mixed,ok
4YGY,4,1,mixed,ok
4YH1,4,1,mixed,ok
4YN2,1,1,local,ok
4YXP,2,1,local,ok
4YYH,4,2,mixed,ok
4ZHL,2,1,mixed,ok
4ZHM,2,1,mixed,ok
4ZSF,1,1,local,ok
4ZUT,3,3,mixed,ok
4ZV9,6,1,local,ok
5A0T,2,1,local,ok
5AA5,12,2,local,ok
5AD0,3,3,mixed,ok
5B5I,2,1,local,ok
5B5Q,2,1,local,ok
5BOV,4,1,local,ok
5BV6,1,1,local,ok
5C11,2,2,mixed,ok
5C5V,2,1,local,ok
5C7F,8,2,mixed,ok
5C8H,1,1,local,ok
5CFF,8,2,local,ok
5CVR,1,1,local,ok
5CWK,1,0,local,no_uniprot
5CX2,4,1,local,ok
5D5H,1,1,local,ok
5DA1,2,1,local,ok
5DAY,2,1,local,ok
5DBE,2,2,mixed,ok
5DI9,4,3,mixed,ok
5DRM,4,2,mixed,ok
5E15,4,2,mixed,ok
5E2V,3,1,mixed,ok
5EBB,3,1,local,ok
5EG2,2,2,mixed,ok
5EGE,4,1,local,ok
5ETA,4,2,mixed,ok
5EUR,3,1,local,ok
5EZA,7,0,local,no_uniprot
5F46,2,1,local,ok
5G09,4,1,local,ok
5G23,4,1,local,ok
5G4I,2,1,local,ok
5GHR,4,2,local,ok
5GJM,2,1,local,ok
5GKV,1,1,local,ok
5GOX,2,1,local,ok
5GZI,2,1,local,ok
5H5Y,2,1,local,ok
5HRJ,1,1,local,ok
5I2H,2,1,local,ok
5I47,2,1,local,ok
5I9E,6,3,local,ok
5IAW,4,2,mixed,ok
5IL5,2,1,local,ok
5IQM,4,2,mixed,ok
5IY4,6,2,mixed,ok
5IYX,3,3,mixed,ok
5J0A,2,1,local,ok
5J4A,4,2,local,ok
5J9K,4,2,mixed,ok
5JD9,1,1,local,ok
5JEA,11,11,local,ok
5JHO,2,1,local,ok
5JI5,1,1,local,ok
5JTA,1,1,local,ok
5JZI,10,3,mixed,ok
5K2X,1,1,local,ok
5K6S,2,2,mixed,ok
5KSU,6,3,mixed,ok
5KTK,1,1,local,ok
5KVM,3,1,mixed,ok
5L33,1,0,local,no_uniprot
5LEA,1,0,local,no_uniprot
5LTD,2,1,local,ok
5LU2,4,2,mixed,ok
5LW0,2,1,local,ok
5MCO,2,1,mixed,ok
5ME9,3,1,local,ok
5MIL,2,1,local,ok
5MLK,2,1,local,ok
5MLZ,1,1,local,ok
5MXY,1,1,local,ok
5N6H,2,1,local,ok
5N8R,2,1,local,ok
5NTB,2,1,local,ok
5O4Y,6,1,mixed,ok
5O51,1,1,local,ok
5O6B,2,1,local,ok
5OF1,2,1,local,ok
5OF9,2,1,local,ok
5OMB,4,2,local,ok
5OU8,5,2,mixed,ok
5OXW,8,1,mixed,ok
5Q1D,4,2,mixed,ok
5Q1H,8,2,mixed,ok
5SVE,3,3,mixed,ok
5T0K,4,2,mixed,ok
5T0M,4,2,mixed,ok
5T1G,2,2,mixed,ok
5T1L,6,0,mixed,no_uniprot
5T6J,3,3,mixed,ok
5TDY,4,2,local,ok
5TED,3,1,mixed,ok
5TJA,1,1,local,ok
5TLD,4,2,mixed,ok
5TM9,4,2,mixed,ok
5TTA,2,1,local,ok
5TV7,2,1,local,ok
5U66,2,1,mixed,ok
5U6K,12,2,mixed,ok
5U9Z,2,1,local,ok
5UQP,2,1,local,ok
5UV4,1,1,local,ok
5UX5,4,1,local,ok
5UXG,2,1,local,ok
5UZU,2,2,local,ok
5V8W,8,2,local,ok
5VIA,1,1,local,ok
5VLB,6,1,local,ok
5VLP,4,2,mixed,ok
5VQG,1,1,local,ok
5W4J,6,0,rcsb,no_uniprot
5W6H,3,1,local,ok
5WB4,8,1,local,ok
5WJQ,1,1,local,ok
5WRR,2,1,local,ok
5WWW,1,1,local,ok
5WX8,4,1,local,ok
5X6S,2,1,local,ok
5XB7,6,1,local,ok
5XG9,8,1,local,ok
5XHW,1,1,local,ok
5XMZ,1,1,local,ok
5XRW,4,2,local,ok
5XUK,1,1,local,ok
5XUQ,2,2,mixed,ok
5XVW,6,2,mixed,ok
5Y9I,1,1,local,ok
5YAY,2,2,mixed,ok
5Z6D,2,1,local,ok
5Z6V,1,1,local,ok
5Z8L,2,2,mixed,ok
5ZOO,2,2,mixed,ok
6A0C,3,0,local,no_uniprot
6A0E,2,1,local,ok
6A57,1,1,local,ok
6A93,2,1,local,ok
6AF0,3,3,local,ok
6AF3,8,2,local,ok
6AGI,2,1,local,ok
6AL9,2,1,local,ok
6ANW,3,1,local,ok
6B8Q,8,2,local,ok
6CGO,2,1,local,ok
6COK,1,1,local,ok
6CQL,5,5,mixed,ok
6CW5,1,1,local,ok
6D2V,2,1,local,ok
6D97,4,1,local,ok
6DDT,1,1,local,ok
6DF3,3,3,local,ok
6DJ8,4,1,mixed,ok
6DT7,2,2,local,ok
6DWX,3,1,local,ok
6E0M,1,1,local,ok
6EC7,1,1,local,ok
6ELU,12,1,local,ok
6EUS,6,1,local,ok
6EWJ,4,1,local,ok
6EYS,4,1,local,ok
6F1S,1,1,local,ok
6FAD,8,2,mixed,ok
6FJU,2,1,local,ok
6FOK,2,1,local,ok
6FX6,1,1,local,ok
6G9X,2,1,local,ok
6GBQ,8,1,local,ok
6GBS,2,1,local,ok
6GGG,2,1,mixed,ok
6GP7,3,2,mixed,ok
6GPZ,3,1,mixed,ok
6GXS,4,1,local,ok
6H0B,3,1,mixed,ok
6HFG,1,1,local,ok
6HR7,2,1,local,ok
6I1J,1,0,local,no_uniprot
6I1R,2,1,local,ok
6I50,1,1,local,ok
6IIW,2,2,mixed,ok
6ILR,2,1,local,ok
6IQJ,4,2,mixed,ok
6IR8,1,1,local,ok
6IST,4,1,local,ok
6J17,1,1,local,ok
6J72,1,1,local,ok
6J7Y,2,1,local,ok
6JC4,4,1,local,ok
6JJW,2,2,local,ok
6JZA,1,1,local,ok
6K6R,2,1,local,ok
6K93,1,1,local,ok
6L8E,12,2,local,ok
6L9F,4,2,mixed,ok
6LJ9,2,1,local,ok
6LKG,4,2,local,ok
6LZ4,6,1,mixed,ok
6M20,4,1,local,ok
6M3Y,1,1,local,ok
6M9K,6,2,local,ok
6N5U,3,1,local,ok
6N7O,2,1,local,ok
6O6N,1,1,local,ok
6OAE,1,1,local,ok
6OHI,2,1,local,ok
6ON4,2,1,local,ok
6P2A,6,1,local,ok
6P2K,2,1,local,ok
6PDP,2,1,mixed,ok
6PEU,8,2,mixed,ok
6PJQ,2,2,mixed,ok
6PKG,2,1,local,ok
6PNP,2,2,local,ok
6PSK,2,2,local,ok
6PUP,1,1,local,ok
6QAJ,2,1,local,ok
6QMS,3,3,mixed,ok
6QUR,1,0,local,no_uniprot
6R0L,2,2,local,ok
6R6T,2,1,local,ok
6RFG,4,1,local,ok
6RFT,6,1,local,ok
6RPT,6,2,local,ok
6RR0,14,2,mixed,ok
6RSN,1,1,local,ok
6S2P,1,1,local,ok
6SM4,2,1,local,ok
6SRB,2,1,local,ok
6SXW,1,1,local,ok
6T80,8,2,mixed,ok
6TCT,4,1,local,ok
6TKA,2,1,rcsb,ok
6TT5,1,1,rcsb,ok
6TWC,3,1,mixed,ok
6TWJ,2,1,local,ok
6U0O,3,2,mixed,ok
6U2D,4,1,local,ok
6U3I,4,2,mixed,ok
6U75,2,1,local,ok
6UB7,1,1,local,ok
6URI,6,6,mixed,ok
