code,solved,llg,tfz
3FBI,1,875.0,20.9
3FGB,0,,
3FJU,1,5007.0,41.5
3FKK,1,12132.0,89.2
3FPR,1,1844.0,45.2
3FVE,1,391.0,24.1
3FVV,1,3103.0,56.7
3G39,1,2232.0,32.4
3G3O,1,3113.0,53.5
3G6L,1,3534.0,37.8
3G6S,0,,
3G85,1,1035.0,29.1
3GEB,1,6192.0,53.5
3GF6,1,6324.0,72.7
3GGM,0,,
3GLR,1,1810.0,7.5
3GM5,1,767.0,30.7
3GMV,1,2836.0,38.8
3GQU,1,633.0,29.5
3GR5,1,961.0,34.3
3GXQ,1,505.0,20.7
3H1T,1,1861.0,46.5
3H6E,1,4714.0,58.9
3H6R,1,3333.0,51.6
3H7O,1,6237.0,71.2
3HBC,1,2081.0,37.6
3HHC,1,1002.0,11.4
3HL0,1,2571.0,39.6
3HST,1,6963.0,45.7
3HTK,1,235.0,11.7
3HTV,1,801.0,28.7
3HXJ,0,,
3HXL,0,,
3I38,1,2807.0,5.9
3I3Y,0,,
3IC8,1,1466.0,28.2
3IHU,1,539.0,21.2
3IUG,1,3579.0,47.0
3IVB,1,446.0,7.1
3JST,1,1560.0,39.0
3JWH,1,1921.0,35.4
3K7M,1,2851.0,55.7
3KFW,1,612.0,27.5
3KGR,1,1815.0,30.6
3KKD,1,403.0,17.5
3KKE,1,5477.0,42.2
3KKJ,0,,
3KOL,1,802.0,30.1
3KXR,1,154.0,14.8
3KZP,1,526.0,
3L1W,1,35945.0,118.8
3L2H,1,5167.0,61.3
3L6F,1,1241.0,4.8
3L8N,0,,
3LLI,1,1856.0,45.6
3LM6,0,,
3LOC,1,2523.0,35.0
3LS0,1,1409.0,29.6
3LW3,1,4823.0,60.1
3M1G,1,8512.0,86.4
3M1T,1,601.0,29.9
3M91,1,126.0,
3MB2,1,1613.0,26.8
3MKR,1,3619.0,65.2
3ML3,1,1639.0,19.9
3MML,1,7616.0,29.7
3MQ2,1,2217.0,41.2
3MTK,0,,
3MV2,1,2615.0,24.8
3MYU,1,7272.0,67.9
3N39,1,3964.0,34.4
3N55,1,2611.0,60.9
3N5L,1,7562.0,87.0
3N74,1,10414.0,83.6
3N9U,1,6038.0,23.3
3NJB,1,3569.0,65.4
3NJE,1,1966.0,40.5
3NO8,1,2248.0,50.0
3NYY,1,3982.0,54.4
3OAP,1,2760.0,12.4
3OC7,1,2355.0,31.8
3OEC,1,5846.0,59.1
3OFJ,1,687.0,23.2
3OOQ,1,47266.0,109.8
3OPB,0,,
3P86,1,1643.0,44.7
3PFY,1,638.0,28.7
3PPU,1,8345.0,77.8
3PZ8,1,3107.0,27.8
3QC1,1,255.0,18.4
3QDO,1,387.0,20.8
3QKL,1,1300.0,6.8
3QLA,1,451.0,4.4
3QNM,1,4363.0,45.4
3QTA,1,1016.0,34.0
3QVJ,1,6194.0,76.9
3R0Q,1,5694.0,60.3
3R6B,1,26.0,6.1
3RAZ,1,1350.0,19.7
3RBQ,0,,
3RLE,1,62.0,10.5
3RQ4,1,2191.0,44.2
3RST,1,12802.0,68.0
3SF5,1,4212.0,59.4
3SGN,0,,
3SHW,1,1095.0,6.2
3SOL,1,359.0,22.1
3SUZ,1,212.0,17.3
3T0Q,1,713.0,24.6
3T9O,1,1363.0,30.5
3TAX,0,,
3TCO,1,3084.0,48.4
3THF,1,891.0,26.0
3TIX,1,2705.0,10.1
3TSZ,1,1151.0,4.8
3TU7,1,517.0,6.0
3TVA,1,5895.0,71.2
3U1D,1,2159.0,50.2
3U2A,1,675.0,22.5
3U66,1,583.0,26.5
3U9L,1,2414.0,49.9
3UJ6,1,4413.0,57.8
3UN9,1,1309.0,29.8
3UNG,1,1144.0,34.7
3UTN,1,391.0,21.4
3UVO,1,2281.0,5.4
3V10,0,,
3V4A,0,,
3V70,1,3589.0,55.3
3VD8,1,20.0,5.4
3VEP,1,51.0,5.0
3VFO,1,2595.0,44.1
3VFP,1,1700.0,5.3
3VHL,1,400.0,20.1
3VPB,1,7124.0,5.8
3VRJ,1,835.0,6.3
3VSM,1,2856.0,42.2
3VST,1,36471.0,144.6
3VUQ,1,1049.0,22.1
3VYN,1,6566.0,74.0
3W0L,1,3778.0,38.3
3W3T,1,904.0,21.9
3W3W,1,2998.0,48.4
3W56,1,1077.0,19.2
3W8W,1,3306.0,54.4
3WAI,0,,
3WNV,1,5626.0,72.5
3WTQ,1,1636.0,5.1
3WW1,1,4897.0,61.7
3X0X,1,28010.0,71.2
3ZH9,1,603.0,29.4
3ZIE,1,5454.0,50.6
4AK1,1,311.0,22.9
4ALY,1,4225.0,59.7
4AOM,1,1297.0,20.9
4AUP,1,3262.0,53.7
4B18,1,105.0,9.2
4BQK,0,,
4BU1,1,1000.0,
4BVE,1,1312.0,8.1
4BX9,1,3623.0,28.9
4C1S,1,9476.0,86.7
4C6R,1,1862.0,30.5
4CE5,1,19240.0,114.1
4CGB,1,154.0,6.8
4CH9,1,5664.0,7.0
4CKT,1,140.0,6.8
4CLF,1,591.0,28.1
4CSO,1,3092.0,45.4
4D51,1,2064.0,37.7
4DA2,1,4624.0,57.1
4DOV,1,1271.0,33.6
4E8U,0,,
4EOY,1,433.0,19.7
4EWI,1,657.0,27.6
4EX5,1,2296.0,43.7
4F0F,1,1363.0,37.3
4F27,1,3020.0,7.8
4FC4,1,36983.0,102.8
4FE9,1,6020.0,63.6
4FIX,1,4181.0,
4FYU,1,3955.0,50.7
4G3H,1,2888.0,
4GMV,1,3065.0,54.1
4H9D,1,543.0,17.2
4HIA,1,2481.0,46.0
4HJW,1,6636.0,73.5
4HKA,1,1957.0,51.2
4HUJ,1,3712.0,
4ICH,1,2652.0,
4IDI,1,5440.0,
4JGX,1,1409.0,37.6
4JHN,1,13269.0,
4JLX,1,1035.0,30.4
4JPR,0,,
4JX2,1,651.0,25.2
4K36,1,4268.0,63.6
4KH9,1,3499.0,49.1
4KYQ,1,2080.0,44.0
4L7Z,1,5424.0,51.9
4L9U,1,160.0,
4LD7,1,13371.0,32.2
4LZ2,1,971.0,31.7
4MAA,1,2892.0,41.0
4ME9,1,525.0,23.1
4MG5,1,2770.0,5.6
4MG6,1,2713.0,6.5
4MJG,1,1924.0,41.1
4N39,1,4721.0,5.3
4N5X,1,512.0,21.4
4NPJ,1,610.0,25.8
4NUF,1,1679.0,12.3
4NWZ,1,5378.0,50.9
4O62,1,904.0,4.8
4O92,1,53.0,8.3
4OC8,1,604.0,21.6
4OF8,1,4560.0,34.8
4OFF,1,29.0,5.9
4OX3,1,3560.0,53.2
4PDE,1,1273.0,36.9
4PFS,1,2217.0,48.8
4PQZ,1,972.0,31.0
4PRA,1,3344.0,6.3
4PSI,1,351.0,
4PV4,1,8931.0,94.7
4Q13,1,2456.0,10.1
4Q63,1,441.0,21.2
4QH8,1,4064.0,36.3
4QKO,1,4214.0,37.6
4QN8,1,3521.0,49.4
4QQR,1,2505.0,50.4
4QTP,1,6455.0,44.5
4QXA,1,1858.0,38.0
4R10,1,5732.0,5.9
4REV,1,467.0,
4RHO,1,1651.0,
4RK2,1,660.0,24.2
4RO5,1,665.0,30.0
4RQM,1,989.0,30.0
4TWL,1,3680.0,54.9
4U7A,1,8845.0,82.2
4UCI,1,336.0,19.0
4UDA,1,1192.0,4.8
4UDP,1,10637.0,94.8
4UWX,1,2396.0,5.7
4UYI,1,738.0,29.1
4V15,1,9023.0,88.5
4W2R,1,6852.0,30.7
4WAL,1,643.0,27.0
4WIP,1,905.0,26.5
4WWM,1,781.0,25.4
4X3E,1,144.0,12.7
4XLG,1,5139.0,44.2
4YYH,0,,
4ZSF,1,411.0,22.0
4ZV9,1,13984.0,44.6
5A0T,1,3523.0,61.3
5AA5,1,14508.0,54.4
5AD0,1,609.0,7.8
5B5I,1,114.0,12.9
5B5Q,1,6034.0,66.4
5BOV,1,25056.0,
5BV6,1,301.0,19.0
5C11,0,,
5C5V,1,1395.0,42.4
5C7F,1,2251.0,6.2
5C8H,1,190.0,16.5
5CFF,0,,
5CVR,1,499.0,24.1
5CX2,1,105.0,6.0
5D5H,1,3089.0,47.5
5DAY,1,597.0,24.6
5DBE,1,115.0,11.9
5DRM,1,2776.0,6.5
5E15,1,1455.0,38.5
5EBB,1,27439.0,95.0
5EG2,1,7003.0,7.2
5EGE,1,25055.0,116.5
5ETA,1,941.0,5.0
5G09,1,11699.0,95.4
5G23,1,2881.0,40.1
5G4I,1,6329.0,72.3
5GHR,1,2922.0,24.5
5GJM,1,1993.0,41.8
5GKV,1,3586.0,42.7
5GOX,1,104.0,5.0
5GZI,1,4287.0,65.6
5H5Y,1,904.0,24.7
5HRJ,1,449.0,22.4
5I2H,1,5161.0,
5I47,1,1435.0,38.8
5I9E,1,1574.0,6.0
5IAW,1,849.0,5.3
5IQM,1,1615.0,9.4
5IY4,1,2135.0,5.7
5IYX,1,3337.0,6.4
5J0A,1,1305.0,34.9
5J4A,1,2092.0,44.0
5J9K,1,1123.0,5.6
5JD9,1,2323.0,38.2
5JHO,1,3064.0,50.8
5JI5,1,2553.0,40.6
5JTA,1,4722.0,66.4
5K2X,1,549.0,27.8
5K6S,1,715.0,5.3
5KSU,1,2440.0,5.3
5LTD,1,2318.0,38.4
5LU2,1,2022.0,5.6
5LW0,1,7204.0,67.9
5ME9,1,3201.0,40.7
5MLK,1,5423.0,68.6
5MLZ,1,1208.0,30.0
5MXY,1,846.0,29.8
5N6H,1,5687.0,69.0
5N8R,1,919.0,29.1
5NTB,1,5080.0,67.9
5O51,1,1002.0,28.9
5O6B,1,249.0,
5OF1,1,3581.0,49.1
5OF9,1,6715.0,75.8
5OMB,1,1205.0,
5OU8,1,442.0,8.4
5Q1D,1,635.0,4.9
5Q1H,1,1116.0,5.0
5SVE,1,2520.0,5.1
5T0K,1,4250.0,6.9
5T0M,1,4363.0,11.0
5T1G,1,803.0,2.8
5T6J,1,1103.0,33.2
5TDY,1,246.0,4.9
5TJA,1,1758.0,43.3
5TLD,1,2005.0,6.1
5TM9,1,2207.0,4.6
5TTA,1,3922.0,46.6
5TV7,1,3874.0,58.8
5U6K,1,3064.0,
5UQP,1,253.0,5.1
5UV4,1,1472.0,38.3
5UX5,1,9473.0,70.0
5UXG,1,5254.0,63.2
5UZU,1,3300.0,28.3
5V8W,1,1619.0,
5VIA,1,2435.0,44.9
5VLB,1,7587.0,53.2
5VQG,1,387.0,20.9
5WB4,1,9807.0,
5WJQ,1,10.0,3.3
5WRR,1,4488.0,71.3
5WWW,1,584.0,27.1
5X6S,1,6698.0,59.8
5XB7,1,36960.0,134.6
5XG9,1,6380.0,43.2
5XHW,1,3148.0,58.7
5XMZ,1,1150.0,34.5
5XRW,1,323.0,12.8
5XUK,1,306.0,19.1
5XUQ,1,821.0,6.1
5XVW,1,4869.0,6.8
5Y9I,1,2521.0,46.0
5YAY,1,98.0,11.1
5Z6D,1,5663.0,
5Z6V,1,480.0,18.4
5Z8L,1,1784.0,4.0
5ZOO,1,161.0,12.7
6A0E,1,6152.0,65.6
6A57,0,,
6A93,1,310.0,6.0
6AF3,1,424.0,5.6
6AGI,1,2181.0,45.3
6AL9,1,736.0,26.0
6B8Q,1,505.0,9.4
6CGO,1,930.0,28.5
6COK,1,4065.0,21.4
6CQL,1,1708.0,7.6
6CW5,1,1235.0,38.4
6D2V,1,4841.0,67.4
6D97,1,23054.0,116.0
6DDT,1,3739.0,36.6
6DF3,1,2615.0,53.0
6E0M,1,629.0,23.1
6EC7,1,508.0,16.4
6EUS,1,19613.0,104.8
6EWJ,1,19186.0,101.7
6EYS,1,13481.0,94.3
6F1S,1,1338.0,35.3
6FJU,1,2051.0,43.4
6FOK,1,11025.0,93.1
6FX6,1,662.0,20.1
6G9X,1,832.0,27.7
6GBQ,0,,
6GBS,1,1649.0,38.1
6GP7,1,586.0,23.8
6GXS,1,7118.0,56.1
6HFG,1,1041.0,33.4
6HR7,1,2944.0,54.1
6I1R,1,2697.0,47.5
6I50,1,3768.0,53.3
6IIW,1,91.0,11.3
6ILR,1,6404.0,84.2
6IQJ,1,2205.0,
6IR8,1,86.0,12.8
6J17,1,1084.0,28.8
6J72,1,1514.0,37.0
6J7Y,1,2297.0,48.3
6JC4,1,3379.0,47.1
6JJW,1,52.0,5.4
6JZA,1,290.0,18.5
6K6R,1,983.0,31.7
6L8E,1,1778.0,15.5
6L9F,1,1812.0,4.8
6LKG,1,11257.0,75.8
6M20,1,657.0,17.0
6N5U,1,2721.0,46.8
6O6N,1,1782.0,44.2
6OAE,1,424.0,22.0
6OHI,1,512.0,4.5
6ON4,0,,
6PEU,1,6107.0,6.8
6PJQ,1,595.0,4.8
6PNP,1,2276.0,35.1
6PUP,1,951.0,30.6
6QMS,0,,
6R0L,1,187.0,13.4
6R6T,1,3249.0,56.2
6RFT,1,12417.0,66.8
6RPT,1,1776.0,24.2
6RR0,1,827.0,6.0
6RSN,1,587.0,24.9
6S2P,1,323.0,20.9
6SRB,1,3904.0,51.2
6SXW,1,115.0,11.7
6T80,1,2557.0,6.4
6TCT,1,1151.0,26.3
6TT5,1,4497.0,76.0
6TWJ,1,3579.0,53.9
6U2D,1,852.0,20.4
6U75,1,1944.0,40.6
6UB7,1,2318.0,36.4
6V7M,1,175.0,7.6
6VD8,1,575.0,24.1
6VHI,1,840.0,15.4
6VPT,1,1059.0,28.6
6VS7,1,233.0,15.9
6W9K,1,2460.0,6.2
6WT6,1,679.0,30.4
6XZ6,1,2800.0,24.9
6YFV,1,426.0,5.7
6Z1S,1,2048.0,42.4
6Z3U,1,249.0,6.2
6ZH1,1,454.0,15.6
6ZUW,1,707.0,5.8
7AUI,1,1585.0,42.3
7BV5,1,2734.0,34.7
7BW1,1,1443.0,28.1
7C7E,1,224.0,20.2
7CFD,1,1233.0,
7CWW,1,559.0,24.9
7D86,1,474.0,17.4
7DQG,0,,
7DUF,1,143.0,7.0
7DVN,1,16.0,5.5
7E2E,1,316.0,6.9
7EWF,1,748.0,4.8
7F9K,1,187.0,12.5
7F9M,1,1815.0,34.2
7FHR,1,2022.0,49.4
7JI4,1,604.0,27.1
7JN9,1,29.0,6.8
7K2C,0,,
7K3J,1,1877.0,4.5
7KQ0,1,2477.0,6.0
7LF4,1,1961.0,44.7
