code,n_protein_chains,n_chains_with_af,af_complete
1SVV,2,2,True
1SZQ,2,2,True
1T3I,2,2,True
1T6A,1,0,False
1T74,2,1,False
1T76,2,1,False
1TE5,2,2,True
1TFR,1,0,False
1TGS,2,2,True
1TML,1,1,True
1TVL,1,1,True
1TYJ,1,0,False
1U1I,4,4,True
1U7B,2,2,True
1UEF,4,4,True
1UJK,4,4,True
1UKV,2,2,True
1UTB,2,2,True
1UVQ,3,3,True
1V8Q,4,4,True
1VB3,1,1,True
1VCE,2,2,True
1VDD,4,4,True
1VER,1,1,True
1VK0,6,6,True
1VLM,2,2,True
1VMB,1,1,True
1VR4,5,5,True
1VRQ,4,4,True
1W2Y,2,2,True
1W53,1,1,True
1W8A,1,1,True
1WD8,1,1,True
1WDV,2,2,True
1WLZ,4,4,True
1WP5,1,0,False
1WTJ,2,2,True
1WTY,4,4,True
1WU2,2,2,True
1WV8,1,1,True
1WW9,1,1,True
1X1Q,2,2,True
1X6O,1,1,True
1XFK,1,1,True
1XHD,1,1,True
1XQZ,1,1,True
1XVS,2,2,True
1XVW,2,2,True
1XX1,4,4,True
1Y08,1,1,True
1Y7O,7,7,True
1Y8Q,4,4,True
1Y98,2,2,True
1YEM,2,2,True
1YK3,8,8,True
1YMQ,1,1,True
1YRX,3,3,True
1YW0,4,4,True
1YW4,2,2,True
1Z05,1,1,True
1Z3X,1,1,True
1ZEJ,1,1,True
1ZJ8,2,2,True
1ZKL,1,1,True
1ZN6,1,1,True
1ZPS,2,2,True
1ZZ0,4,4,True
2A25,2,2,True
2A3V,4,4,True
2A65,1,1,True
2A9S,2,2,True
2ACJ,4,4,True
2AE0,1,1,True
2AG0,4,4,True
2AHR,5,5,True
2AP2,4,4,True
2AQ4,1,1,True
2B2N,2,2,True
2B3X,1,1,True
2B5E,1,1,True
2B78,1,1,True
2B7O,2,2,True
2BON,2,2,True
2BTY,3,3,True
2BUK,1,0,False
2BUO,2,0,False
2C83,1,1,True
2C8X,3,3,True
2C90,3,3,True
2CB4,14,14,True
2CCH,6,6,True
2CCM,2,2,True
2CF9,3,3,True
2CKL,2,2,True
2CV3,2,1,False
2CZV,4,4,True
2D0T,2,2,True
2D68,2,2,True
2DOB,1,1,True
2DQ6,1,1,True
2DRY,2,2,True
2DX6,2,2,True
2E1M,3,3,True
2EO4,1,1,True
2ESR,2,0,False
2EU9,1,1,True
2EXU,1,1,True
2F1F,2,2,True
2F2E,2,2,True
2F8L,1,1,True
2F9I,4,4,True
2F9Z,4,4,True
2FEX,3,3,True
2FFF,2,2,True
2FH9,1,1,True
2FQM,6,0,False
2FTX,2,2,True
2G9W,2,2,True
2GA1,2,2,True
2GA9,2,2,True
2GCT,4,3,False
2GD9,2,2,True
2GT1,2,2,True
2GUH,2,2,True
2H34,2,2,True
2HXW,2,2,True
2I4R,2,2,True
2I53,1,1,True
2I7H,6,6,True
2I88,1,1,True
2I8B,2,0,False
2IJE,1,1,True
2IO7,2,2,True
2IUC,2,2,True
2IVF,3,3,True
2IVM,2,2,True
2JAC,1,1,True
2JBV,2,2,True
2JFN,1,1,True
2JH3,4,4,True
2JIG,2,0,False
2NLY,1,1,True
2NN4,3,3,True
2NTX,2,2,True
2NVN,1,1,True
2NW3,3,2,False
2O14,1,1,True
2OD8,2,2,True
2OO2,1,1,True
2OO3,1,1,True
2OWQ,2,0,False
2P0U,2,2,True
2P1L,8,8,True
2P38,2,2,True
2P62,2,2,True
2P8J,2,2,True
2P8Q,2,2,True
2PAV,3,3,True
2PJS,2,2,True
2PK9,4,4,True
2PN0,4,4,True
2PQN,2,2,True
2PQV,2,2,True
2PSB,1,1,True
2PY2,6,6,True
2Q1Z,4,4,True
2Q3Y,2,1,False
2QCO,1,1,True
2QE9,2,2,True
2QH9,2,2,True
2QHL,5,5,True
2QKL,2,2,True
2QL3,12,12,True
2QM7,2,2,True
2QML,1,1,True
2QOS,2,2,True
2QSV,1,1,True
2QYA,4,4,True
2QZU,1,1,True
2R5F,1,1,True
2R6R,1,1,True
2R7G,5,2,False
2RCC,3,3,True
2RH3,1,1,True
2UZ8,2,2,True
2V62,2,2,True
2VDR,5,4,False
2VEF,2,2,True
2VUN,4,4,True
2VXZ,1,1,True
2VZB,4,4,True
2W3X,6,6,True
2W9Y,1,1,True
2WDZ,4,4,True
2WNH,2,2,True
2WP1,4,4,True
2X1C,4,4,True
2X26,2,2,True
2XD0,6,6,True
2XDC,6,0,False
2XDO,4,4,True
2XGG,2,0,False
2XN4,2,2,True
2XPI,4,4,True
2XPL,2,2,True
2XVS,1,1,True
2Y9W,4,4,True
2YEU,6,6,True
2YFA,2,2,True
2YGB,3,3,True
2YGK,2,2,True
2YJT,4,4,True
2YN0,1,1,True
2Z1D,2,2,True
2Z1Z,2,2,True
2Z7E,3,3,True
2ZIU,2,2,True
2ZME,4,4,True
2ZON,4,4,True
2ZUL,1,1,True
3A58,6,6,True
3A5V,1,0,False
3ADO,1,1,True
3AJW,1,1,True
3AMH,2,2,True
3AQ2,2,2,True
3AQG,2,2,True
3ATQ,1,1,True
3AV4,1,1,True
3AX3,8,8,True
3B23,3,3,True
3B2D,4,4,True
3B8I,6,6,True
3BCI,1,1,True
3BFM,1,0,False
3BGU,2,2,True
3BJ6,2,2,True
3BNK,2,2,True
3BSD,1,1,True
3BVQ,2,2,True
3C0B,4,4,True
3C7J,2,2,True
3CAX,1,1,True
3CB0,4,4,True
3CB5,2,2,True
3CBM,2,2,True
3CGG,2,2,True
3CH0,1,0,False
3CMQ,1,1,True
3CQO,3,3,True
3CSV,1,0,False
3CU3,1,1,True
3CXM,1,1,True
3CY3,2,1,False
3D1E,3,2,False
3D1M,4,4,True
3D49,3,3,True
3DEE,1,1,True
3DIW,4,4,True
3DJD,2,2,True
3DJN,1,1,True
3DLA,4,4,True
3DOH,2,2,True
3DXI,2,2,True
3E7P,1,1,True
3E8S,1,1,True
3E8V,1,1,True
3E98,2,2,True
3E99,1,1,True
3EBW,2,2,True
3EC1,2,2,True
3ED4,4,4,True
3EFY,2,2,True
3EIW,1,0,False
3ER7,2,2,True
3EUS,2,2,True
3FBI,4,4,True
3FGB,2,2,True
3FJU,2,2,True
3FKK,2,2,True
3FPR,2,2,True
3FVE,1,1,True
3FVV,2,2,True
3FY2,2,1,False
3G39,1,1,True
3G3O,1,1,True
3G6L,1,1,True
3G6S,1,1,True
3G85,1,1,True
3GEB,4,4,True
3GF6,2,2,True
3GGM,4,4,True
3GLR,2,2,True
3GM5,1,1,True
3GMV,1,1,True
3GQU,1,1,True
3GR5,1,1,True
3GUV,1,0,False
3GXQ,2,2,True
3H1T,1,1,True
3H6E,2,2,True
3H6R,2,2,True
3H7O,2,2,True
3HBC,1,1,True
3HF0,1,0,False
3HHC,4,4,True
3HL0,2,2,True
3HST,4,4,True
3HTK,3,3,True
3HTV,1,1,True
3HXJ,4,4,True
3HXL,1,1,True
3I38,12,12,True
3I3Y,4,4,True
3IC8,4,4,True
3IHU,2,2,True
3IO5,2,0,False
3IUG,2,2,True
3IUR,3,1,False
3IVB,2,2,True
3JSB,2,0,False
3JST,2,2,True
3JWH,2,2,True
3JZS,2,1,False
3K7M,1,1,True
3KFW,1,1,True
3KG6,4,0,False
3KGR,3,3,True
3KKD,3,3,True
3KKE,4,4,True
3KKJ,2,2,True
3KOL,1,1,True
3KWL,1,0,False
3KXR,1,1,True
3KZP,2,2,True
3L1W,6,6,True
3L2H,4,4,True
3L6F,3,3,True
3L8N,1,1,True
3LLI,1,1,True
3LM6,2,2,True
3LOC,4,4,True
3LS0,1,1,True
3LW3,2,2,True
3M1G,3,3,True
3M1T,1,1,True
3M6J,4,0,False
3M91,4,4,True
3MB2,12,12,True
3MKR,2,2,True
3ML3,1,1,True
3MML,8,8,True
3MQ2,2,2,True
3MTK,2,2,True
3MV2,6,6,True
3MYU,2,2,True
3N39,4,4,True
3N55,2,2,True
3N5L,2,2,True
3N74,4,4,True
3N9U,4,4,True
3NA7,1,0,False
3NJB,2,2,True
3NJE,2,2,True
3NO8,2,2,True
3NYY,1,1,True
3OAP,2,2,True
3OC7,1,1,True
3OCB,4,2,False
3ODI,20,10,False
3OEC,4,4,True
3OFJ,1,1,True
3OOQ,10,10,True
3OPB,2,2,True
3P1V,2,0,False
3P86,2,2,True
3PFY,1,1,True
3PPU,2,2,True
3PZ8,8,8,True
3QC1,1,1,True
3QDO,1,1,True
3QKL,2,2,True
3QLA,4,4,True
3QNM,1,1,True
3QTA,2,2,True
3QVJ,2,2,True
3R0Q,4,4,True
3R6B,1,1,True
3RAZ,1,1,True
3RBQ,12,12,True
3RFR,11,9,False
3RLE,1,1,True
3RPD,2,0,False
3RQ4,1,1,True
3RST,8,8,True
3SF5,4,4,True
3SGN,2,2,True
3SHW,2,2,True
3SOL,1,1,True
3SUZ,1,1,True
3T0Q,1,1,True
3T9O,2,2,True
3TAX,4,4,True
3TCO,3,3,True
3THF,2,2,True
3THK,4,2,False
3TIX,4,4,True
3TSZ,2,2,True
3TU7,3,3,True
3TVA,2,2,True
3TZY,4,0,False
3U1D,2,2,True
3U2A,1,1,True
3U66,1,1,True
3U9L,1,1,True
3UJ6,1,1,True
3UN9,3,3,True
3UNG,1,1,True
3UTN,1,1,True
3UVO,2,2,True
3UZE,4,2,False
3V10,2,2,True
3V2X,2,1,False
3V4A,2,2,True
3V6O,6,2,False
3V70,2,2,True
3VD8,1,1,True
3VEP,8,8,True
3VFO,3,3,True
3VFP,3,3,True
3VFU,3,2,False
3VHL,2,2,True
3VPB,6,6,True
3VRJ,3,3,True
3VSM,1,1,True
3VST,4,4,True
3VU6,2,0,False
3VUQ,4,4,True
3VXN,3,2,False
3VXU,10,4,False
3VYN,2,2,True
3W0L,4,4,True
3W3T,1,1,True
3W3W,2,2,True
3W56,1,1,True
3W6K,6,0,False
3W8W,2,2,True
3WAI,1,1,True
3WIM,2,1,False
3WNV,2,2,True
3WSD,6,0,False
3WTQ,2,2,True
3WW1,2,2,True
3X0X,8,8,True
3ZH5,2,0,False
3ZH9,1,1,True
3ZIE,6,6,True
4AK1,1,1,True
4ALY,2,2,True
4AOM,2,2,True
4AUP,2,2,True
4B18,2,2,True
4BQD,4,2,False
4BQK,4,4,True
4BU1,4,4,True
4BVE,2,2,True
4BX9,3,3,True
4C1S,2,2,True
4C6R,4,4,True
4CE5,2,2,True
4CGB,6,6,True
4CH9,4,4,True
4CKT,4,4,True
4CLF,1,1,True
4CSO,4,4,True
4D51,1,1,True
4DA2,2,2,True
4DOV,2,2,True
4E8U,2,2,True
4EOY,6,6,True
4EPZ,1,0,False
4EVW,2,0,False
4EWI,2,2,True
4EX5,2,2,True
4F0F,1,1,True
4F27,2,2,True
4FC4,10,10,True
4FE9,1,1,True
4FIX,2,2,True
4FUV,1,0,False
4FYU,3,3,True
4G3H,4,4,True
4GAG,3,0,False
4GKN,6,4,False
4GMV,2,2,True
4H9D,3,3,True
4HIA,2,2,True
4HJW,3,3,True
4HKA,1,1,True
4HUJ,2,2,True
4ICH,2,2,True
4IDI,4,4,True
4J2N,5,0,False
4JFQ,6,4,False
4JGX,2,2,True
4JHN,4,4,True
4JLX,1,1,True
4JMQ,4,0,False
4JPR,1,1,True
4JX2,2,2,True
4K36,2,2,True
4KH9,2,2,True
4KVU,3,0,False
4KYQ,1,1,True
4L7Z,6,6,True
4L92,2,0,False
4L9U,2,2,True
4LD7,16,16,True
4LZ2,1,1,True
4MAA,1,1,True
4ME9,2,2,True
4MG5,4,4,True
4MG6,4,4,True
4MJG,2,2,True
4N39,2,2,True
4N5X,1,1,True
4NPJ,2,2,True
4NUF,2,2,True
4NW9,12,0,False
4NWZ,4,4,True
4O62,4,4,True
4O92,1,1,True
4OBJ,3,0,False
4OC8,4,4,True
4OF8,4,4,True
4OFF,1,1,True
4OH5,2,1,False
4OIL,2,1,False
4OX3,1,1,True
4OXW,1,0,False
4P3C,3,1,False
4PDE,1,1,True
4PFS,2,2,True
4PND,5,0,False
4PQZ,1,1,True
4PRA,3,3,True
4PSI,4,4,True
4PV4,2,2,True
4Q13,4,4,True
4Q63,1,1,True
4QH8,8,8,True
4QJ9,3,0,False
4QKO,8,8,True
4QN8,3,3,True
4QQR,2,2,True
4QTP,4,4,True
4QXA,2,2,True
4QXL,1,0,False
4R10,2,2,True
4REV,2,2,True
4RHO,2,2,True
4RIS,3,0,False
4RK2,2,2,True
4RO5,1,1,True
4RQM,3,3,True
4TR3,1,0,False
4TWL,2,2,True
4U7A,1,1,True
4UCI,2,2,True
4UDA,2,2,True
4UDP,2,2,True
4UW7,3,0,False
4UWX,4,4,True
4UYI,1,1,True
4V15,2,2,True
4W2R,6,6,True
4WAL,1,1,True
4WD1,1,0,False
4WD7,5,0,False
4WIP,3,3,True
4WWM,2,2,True
4WX7,4,2,False
4X3E,2,2,True
4XLG,2,2,True
4YGX,5,4,False
4YGY,4,2,False
4YH1,4,2,False
4YN2,1,0,False
4YXP,2,0,False
4YYH,4,4,True
4ZHL,2,1,False
4ZHM,2,1,False
4ZSF,1,1,True
4ZUT,3,2,False
4ZV9,6,6,True
5A0T,2,2,True
5AA5,12,12,True
5AD0,3,3,True
5B5I,2,2,True
5B5Q,2,2,True
5BOV,4,4,True
5BV6,1,1,True
5C11,2,2,True
5C5V,2,2,True
5C7F,8,8,True
5C8H,1,1,True
5CFF,8,8,True
5CVR,1,1,True
5CWK,1,0,False
5CX2,4,4,True
5D5H,1,1,True
5DA1,2,0,False
5DAY,2,2,True
5DBE,2,2,True
5DI9,4,3,False
5DRM,4,4,True
5E15,4,4,True
5E2V,3,1,False
5EBB,3,3,True
5EG2,2,2,True
5EGE,4,4,True
5ETA,4,4,True
5EUR,3,0,False
5EZA,7,0,False
5F46,2,0,False
5G09,4,4,True
5G23,4,4,True
5G4I,2,2,True
5GHR,4,4,True
5GJM,2,2,True
5GKV,1,1,True
5GOX,2,2,True
5GZI,2,2,True
5H5Y,2,2,True
5HRJ,1,1,True
5I2H,2,2,True
5I47,2,2,True
5I9E,6,6,True
5IAW,4,4,True
5IL5,2,0,False
5IQM,4,4,True
5IY4,6,6,True
5IYX,3,3,True
5J0A,2,2,True
5J4A,4,4,True
5J9K,4,4,True
5JD9,1,1,True
5JEA,11,10,False
5JHO,2,2,True
5JI5,1,1,True
5JTA,1,1,True
5JZI,10,8,False
5K2X,1,1,True
5K6S,2,2,True
5KSU,6,6,True
5KTK,1,0,False
5KVM,3,2,False
5L33,1,0,False
5LEA,1,0,False
5LTD,2,2,True
5LU2,4,4,True
5LW0,2,2,True
5MCO,2,1,False
5ME9,3,3,True
5MIL,2,0,False
5MLK,2,2,True
5MLZ,1,1,True
5MXY,1,1,True
5N6H,2,2,True
5N8R,2,2,True
5NTB,2,2,True
5O4Y,6,3,False
5O51,1,1,True
5O6B,2,2,True
5OF1,2,2,True
5OF9,2,2,True
5OMB,4,4,True
5OU8,5,5,True
5OXW,8,4,False
5Q1D,4,4,True
5Q1H,8,8,True
5SVE,3,3,True
5T0K,4,4,True
5T0M,4,4,True
5T1G,2,2,True
5T1L,6,0,False
5T6J,3,3,True
5TDY,4,4,True
5TED,3,2,False
5TJA,1,1,True
5TLD,4,4,True
5TM9,4,4,True
5TTA,2,2,True
5TV7,2,2,True
5U66,2,1,False
5U6K,12,12,True
5U9Z,2,0,False
5UQP,2,2,True
5UV4,1,1,True
5UX5,4,4,True
5UXG,2,2,True
5UZU,2,2,True
5V8W,8,8,True
5VIA,1,1,True
5VLB,6,6,True
5VLP,4,2,False
5VQG,1,1,True
5W4J,6,0,False
5W6H,3,0,False
5WB4,8,8,True
5WJQ,1,1,True
5WRR,2,2,True
5WWW,1,1,True
5WX8,4,0,False
5X6S,2,2,True
5XB7,6,6,True
5XG9,8,8,True
5XHW,1,1,True
5XMZ,1,1,True
5XRW,4,4,True
5XUK,1,1,True
5XUQ,2,2,True
5XVW,6,6,True
5Y9I,1,1,True
5YAY,2,2,True
5Z6D,2,2,True
5Z6V,1,1,True
5Z8L,2,2,True
5ZOO,2,2,True
6A0C,3,0,False
6A0E,2,2,True
6A57,1,1,True
6A93,2,2,True
6AF0,3,2,False
6AF3,8,8,True
6AGI,2,2,True
6AL9,2,2,True
6ANW,3,0,False
6B8Q,8,8,True
6CGO,2,2,True
6COK,1,1,True
6CQL,5,5,True
6CW5,1,1,True
6D2V,2,2,True
6D97,4,4,True
6DDT,1,1,True
6DF3,3,3,True
6DJ8,4,2,False
6DT7,2,0,False
6DWX,3,0,False
6E0M,1,1,True
6EC7,1,1,True
6ELU,12,4,False
6EUS,6,6,True
6EWJ,4,4,True
6EYS,4,4,True
6F1S,1,1,True
6FAD,8,4,False
6FJU,2,2,True
6FOK,2,2,True
6FX6,1,1,True
6G9X,2,2,True
6GBQ,8,8,True
6GBS,2,2,True
6GGG,2,1,False
6GP7,3,3,True
6GPZ,3,2,False
6GXS,4,4,True
6H0B,3,2,False
6HFG,1,1,True
6HR7,2,2,True
6I1J,1,0,False
6I1R,2,2,True
6I50,1,1,True
6IIW,2,2,True
6ILR,2,2,True
6IQJ,4,4,True
6IR8,1,1,True
6IST,4,0,False
6J17,1,1,True
6J72,1,1,True
6J7Y,2,2,True
6JC4,4,4,True
6JJW,2,2,True
6JZA,1,1,True
6K6R,2,2,True
6K93,1,0,False
6L8E,12,12,True
6L9F,4,4,True
6LJ9,2,0,False
6LKG,4,4,True
6LZ4,6,2,False
6M20,4,4,True
6M3Y,1,0,False
6M9K,6,0,False
6N5U,3,3,True
6N7O,2,0,False
6O6N,1,1,True
6OAE,1,1,True
6OHI,2,2,True
6ON4,2,2,True
6P2A,6,0,False
6P2K,2,0,False
6PDP,2,1,False
6PEU,8,8,True
6PJQ,2,2,True
6PKG,2,0,False
6PNP,2,2,True
6PSK,2,0,False
6PUP,1,1,True
6QAJ,2,0,False
6QMS,3,3,True
6QUR,1,0,False
6R0L,2,2,True
6R6T,2,2,True
6RFG,4,0,False
6RFT,6,6,True
6RPT,6,6,True
6RR0,14,14,True
6RSN,1,1,True
6S2P,1,1,True
6SM4,2,0,False
6SRB,2,2,True
6SXW,1,1,True
6T80,8,8,True
6TCT,4,4,True
6TKA,2,1,False
6TT5,1,1,True
6TWC,3,2,False
6TWJ,2,2,True
6U0O,3,2,False
6U2D,4,4,True
6U3I,4,2,False
6U75,2,2,True
6UB7,1,1,True
6URI,6,5,False
6V5J,2,0,False
6V7M,2,2,True
6VD8,2,2,True
6VHI,1,1,True
6VHT,1,0,False
6VPT,1,1,True
6VS7,2,2,True
6W9K,2,2,True
6WI4,5,0,False
6WT6,1,1,True
6XZ6,4,4,True
6Y8K,2,1,False
6YFV,4,4,True
6Z1S,1,1,True
6Z3U,6,6,True
6ZH1,2,2,True
6ZUW,3,3,True
7AUI,1,1,True
7B7N,3,2,False
7BN2,4,2,False
7BV5,4,4,True
7BW1,1,1,True
7C7E,1,1,True
7CFD,16,16,True
7CG9,1,0,False
7CQL,3,0,False
7CWW,1,1,True
7D86,1,1,True
7DQG,1,1,True
7DUF,2,2,True
7DVN,1,1,True
7E2E,4,4,True
7EWF,3,3,True
7F7G,4,2,False
7F9K,1,1,True
7F9M,4,4,True
7FHR,1,1,True
7JI4,1,1,True
7JN9,2,2,True
7K2C,3,3,True
7K3J,10,10,True
7KQ0,6,6,True
7LF4,6,6,True
