code,rwork_torchref,rfree_torchref,rwork_phenix,rfree_phenix,d_min,n_atoms,delta_rwork,delta_rfree
2R7G,0.222900,0.239400,0.205800,0.225700,1.671162,6267,1.710000,1.370000
4EPZ,0.202100,0.241500,0.187100,0.237500,1.680006,1649,1.500000,0.400000
2WNH,0.202600,0.224300,0.182100,0.207800,1.682018,7047,2.050000,1.650000
2W9Y,0.221800,0.250400,0.194400,0.240600,1.682365,1278,2.740000,0.980000
3CBM,0.211500,0.246800,0.200000,0.231300,1.685541,2199,1.150000,1.550000
3GF6,0.210200,0.240400,0.174700,0.218800,1.690009,4328,3.550000,2.160000
3MQ2,0.210900,0.230400,0.186300,0.214500,1.690016,3771,2.460000,1.590000
6I50,0.196400,0.220500,0.180600,0.210200,1.690076,1415,1.580000,1.030000
138L,0.215600,0.232300,0.172600,0.195300,1.693655,1420,4.300000,3.700000
2ZON,0.188600,0.214300,0.163400,0.196200,1.696004,9364,2.520000,1.810000
4DOV,0.222300,0.244100,0.216800,0.249000,1.696091,2707,0.550000,-0.490000
5EUR,0.226700,0.257800,0.216800,0.239500,1.697523,2947,0.990000,1.830000
2RH3,0.199600,0.216400,0.187500,0.223500,1.697875,1100,1.210000,-0.710000
1PXZ,0.221900,0.236100,0.188900,0.215600,1.698273,5991,3.300000,2.050000
3EFY,0.199700,0.221600,0.195300,0.212000,1.698319,3667,0.440000,0.960000
5T0K,0.232400,0.255400,0.172400,0.199700,1.698405,5182,6.000000,5.570000
1WDV,0.202300,0.230800,0.174100,0.227000,1.698600,2767,2.820000,0.380000
6IIW,0.268900,0.324300,0.205000,0.254300,1.698696,699,6.390000,7.000000
2PN0,0.212100,0.244200,0.188300,0.219400,1.699004,4554,2.380000,2.480000
1BXE,0.213000,0.240600,0.203800,0.231500,1.699449,948,0.920000,0.910000
3ADO,0.190400,0.216800,0.174800,0.213200,1.699452,2823,1.560000,0.360000
1DUG,0.222200,0.242700,0.202100,0.228700,1.699485,4520,2.010000,1.400000
3BFM,0.205600,0.220500,0.185900,0.215800,1.699847,1925,1.970000,0.470000
3VFO,0.382300,0.399700,0.372100,0.394100,1.699943,3695,1.020000,0.560000
2CCH,0.224200,0.241600,0.189800,0.212800,1.699979,10526,3.440000,2.880000
4JHN,0.201600,0.224000,0.168700,0.201000,1.700004,12042,3.290000,2.300000
3D1M,0.209500,0.249800,0.203300,0.241900,1.700011,4327,0.620000,0.790000
3QNM,0.199100,0.215100,0.187400,0.207000,1.700013,2190,1.170000,0.810000
2FTX,0.228500,0.301100,0.224700,0.300800,1.700024,1267,0.380000,0.030000
6RSN,0.210700,0.242800,0.215700,0.254800,1.700026,808,-0.500000,-1.200000
5B5Q,0.220700,0.227500,0.190700,0.217700,1.700037,4477,3.000000,0.980000
4OX3,0.255200,0.300600,0.238000,0.284300,1.700041,1912,1.720000,1.630000
2R6R,0.198900,0.225900,0.183500,0.212900,1.700069,2759,1.540000,1.300000
2NW3,0.219900,0.245600,0.202800,0.227100,1.700075,3637,1.710000,1.850000
4CLF,0.205500,0.241800,0.191000,0.216500,1.700099,4036,1.450000,2.530000
3U2A,0.194400,0.228700,0.176700,0.204200,1.700111,1037,1.770000,2.450000
6V5J,0.221800,0.276700,0.179400,0.220300,1.700123,634,4.240000,5.640000
2VXZ,0.212600,0.238300,0.181100,0.213800,1.700128,1425,3.150000,2.450000
3THK,0.252300,0.333500,0.276500,0.346800,1.700189,1152,-2.420000,-1.330000
2FEX,0.198900,0.233100,0.174100,0.204800,1.700716,4945,2.480000,2.830000
2V62,0.241300,0.259900,0.219800,0.242300,1.700954,5183,2.150000,1.760000
2PY2,0.230200,0.258600,0.206800,0.235900,1.703674,6557,2.340000,2.270000
5UXG,0.219000,0.244900,0.209500,0.240200,1.720241,3741,0.950000,0.470000
4OXW,0.223800,0.266200,0.222500,0.273500,1.730039,972,0.130000,-0.730000
4YYH,0.233300,0.267000,0.231900,0.249500,1.736708,1925,0.140000,1.750000
3GMV,0.208700,0.238300,0.172500,0.202600,1.747812,1433,3.620000,3.570000
4N39,0.204300,0.237000,0.190800,0.226200,1.748001,6174,1.350000,1.080000
1J8B,0.242000,0.286600,0.204500,0.254200,1.748015,904,3.750000,3.240000
3WNV,0.227800,0.247100,0.210100,0.249400,1.750002,5625,1.770000,-0.230000
4RQM,0.264200,0.283300,0.265800,0.277600,1.750004,1481,-0.160000,0.570000
1GQ8,0.220400,0.231100,0.165100,0.197200,1.750021,2807,5.530000,3.390000
2F1F,0.209800,0.239900,0.214400,0.239200,1.750030,2784,-0.460000,0.070000
6IST,0.209100,0.234100,0.197300,0.237500,1.750030,3791,1.180000,-0.340000
2X26,0.275800,0.327400,0.238400,0.284900,1.750044,5274,3.740000,4.250000
4PND,0.218400,0.260300,0.204300,0.246500,1.750074,1319,1.410000,1.380000
3DJD,0.200800,0.226700,0.163800,0.200300,1.750215,7626,3.700000,2.640000
3VST,0.196800,0.209500,0.152700,0.170700,1.750499,23783,4.410000,3.880000
4QN8,0.221500,0.255500,0.210100,0.250800,1.750647,3945,1.140000,0.470000
4OBJ,0.186500,0.226300,0.161400,0.202300,1.751004,1836,2.510000,2.400000
3IVB,0.239200,0.282300,0.212200,0.266700,1.751139,1307,2.700000,1.560000
5T6J,0.266000,0.318700,0.267300,0.305100,1.751743,1359,-0.130000,1.360000
5EZA,0.224100,0.229700,0.197400,0.211400,1.760029,1903,2.670000,1.830000
4LZ2,0.212700,0.245600,0.215900,0.247100,1.760154,968,-0.320000,-0.150000
4PV4,0.240400,0.258100,0.229500,0.255900,1.764006,8426,1.090000,0.220000
5VIA,0.278100,0.303400,0.274000,0.283100,1.764029,2435,0.410000,2.030000
4HUJ,0.214500,0.246700,0.195600,0.225900,1.766539,3157,1.890000,2.080000
6TCT,0.242900,0.271800,0.241000,0.270900,1.767038,4155,0.190000,0.090000
1O4V,0.185700,0.195100,0.165900,0.174200,1.770020,1429,1.980000,2.090000
2DX6,0.212700,0.262700,0.197000,0.252900,1.778863,2671,1.570000,0.980000
3JZS,0.222100,0.250400,0.213300,0.242200,1.779426,860,0.880000,0.820000
4XLG,0.202200,0.232700,0.191000,0.216400,1.780034,3006,1.120000,1.630000
3D1E,0.245600,0.281200,0.235400,0.285500,1.785766,6205,1.020000,-0.430000
6QUR,0.232800,0.293900,0.226900,0.278500,1.792291,1632,0.590000,1.540000
1WP5,0.189400,0.235200,0.179400,0.228700,1.793334,2952,1.000000,0.650000
2OO2,0.246900,0.336300,0.235700,0.321800,1.794654,668,1.120000,1.450000
1J53,0.224000,0.263400,0.178800,0.215000,1.794693,1641,4.520000,4.840000
2DRY,0.214200,0.287100,0.216500,0.275500,1.795981,2332,-0.230000,1.160000
5WWW,0.194800,0.190000,0.176300,0.170500,1.797950,977,1.850000,1.950000
2QH9,0.229100,0.271200,0.218900,0.245100,1.798456,2920,1.020000,2.610000
4RK2,0.204300,0.246700,0.198900,0.237100,1.798967,6760,0.540000,0.960000
3EUS,0.234100,0.291600,0.224300,0.303900,1.799012,1376,0.980000,-1.230000
4GAG,0.191900,0.213400,0.185000,0.201700,1.799020,3770,0.690000,1.170000
6GXS,0.193900,0.214200,0.157900,0.188900,1.799947,12196,3.600000,2.530000
4F0F,0.219100,0.258200,0.204900,0.226500,1.799957,2456,1.420000,3.170000
1J5W,0.226800,0.253300,0.212600,0.245300,1.800001,4829,1.420000,0.800000
2PAV,0.206300,0.246300,0.170000,0.217000,1.800001,4763,3.630000,2.930000
2XVS,0.208700,0.268600,0.181800,0.247800,1.800005,1380,2.690000,2.080000
4ZSF,0.196500,0.219900,0.180400,0.197400,1.800006,2847,1.610000,2.250000
2CCM,0.199800,0.244300,0.187200,0.234500,1.800007,3811,1.260000,0.980000
3KGR,0.206500,0.245200,0.185100,0.240900,1.800008,2843,2.140000,0.430000
3GLR,0.220000,0.235800,0.203400,0.219900,1.800012,2483,1.660000,1.590000
1TGS,0.211200,0.257700,0.177200,0.211200,1.800015,2230,3.400000,4.650000
3U1D,0.210200,0.241100,0.200400,0.234800,1.800016,2723,0.980000,0.630000
3BCI,0.199000,0.244000,0.192900,0.232100,1.800020,1623,0.610000,1.190000
2VEF,0.241100,0.283000,0.217600,0.264000,1.800020,4794,2.350000,1.900000
1RJD,0.218500,0.244000,0.188300,0.224000,1.800033,8873,3.020000,2.000000
4KVU,0.236700,0.230000,0.226100,0.240700,1.800040,725,1.060000,-1.070000
2G9W,0.235500,0.270100,0.215200,0.255300,1.800051,2124,2.030000,1.480000
2P38,0.217200,0.242500,0.213800,0.235600,1.800052,2691,0.340000,0.690000
4DA2,0.252600,0.287700,0.239400,0.269300,1.800057,3844,1.320000,1.840000
5HRJ,0.217400,0.224800,0.200100,0.228100,1.800059,809,1.730000,-0.330000
3G6L,0.211300,0.242900,0.197300,0.231300,1.800069,3405,1.400000,1.160000
6CW5,0.180000,0.210900,0.174400,0.204900,1.800076,2553,0.560000,0.600000
3FY2,0.190000,0.224200,0.180600,0.212700,1.800126,2595,0.940000,1.150000
3LS0,0.217200,0.237600,0.182800,0.204200,1.800145,1014,3.440000,3.340000
3ZH5,0.432200,0.434600,0.438600,0.431000,1.800729,2311,-0.640000,0.360000
6UB7,0.212800,0.212900,0.199500,0.210300,1.801869,2211,1.330000,0.260000
2EO4,0.196400,0.233500,0.196000,0.228200,1.801961,1371,0.040000,0.530000
3M91,0.241700,0.262700,0.230700,0.245000,1.802052,1303,1.100000,1.770000
2ZUL,0.200400,0.236000,0.182500,0.214600,1.802856,3173,1.790000,2.140000
3SOL,0.246500,0.286800,0.215800,0.221300,1.804158,808,3.070000,6.550000
2QOS,0.207000,0.246300,0.200000,0.244900,1.805731,1601,0.700000,0.140000
5OF9,0.201900,0.216300,0.190700,0.212800,1.806897,9495,1.120000,0.350000
2GCT,0.203500,0.218200,0.164000,0.198800,1.809783,1907,3.950000,1.940000
4QJ9,0.187000,0.218300,0.167400,0.214400,1.827026,1935,1.960000,0.390000
7D86,0.228600,0.244400,0.195100,0.196300,1.838036,1535,3.350000,4.810000
7FHR,0.184400,0.225400,0.182600,0.223900,1.839707,3875,0.180000,0.150000
4CH9,0.200900,0.218100,0.168500,0.201100,1.839999,5096,3.240000,1.700000
6VHT,0.258300,0.302700,0.260000,0.300000,1.841026,2888,-0.170000,0.270000
3G85,0.191600,0.226100,0.184200,0.217400,1.843307,2331,0.740000,0.870000
2PJS,0.204100,0.243100,0.203300,0.248800,1.847826,1839,0.080000,-0.570000
5XMZ,0.197300,0.255200,0.209000,0.256000,1.848046,1056,-1.170000,-0.080000
5XVW,0.197200,0.238800,0.193500,0.241900,1.848861,4892,0.370000,-0.310000
2F2E,0.196400,0.250800,0.194200,0.257600,1.848980,2576,0.220000,-0.680000
5F46,0.222000,0.265000,0.228400,0.269300,1.849304,2920,-0.640000,-0.430000
3NJE,0.222200,0.273800,0.205000,0.246600,1.849700,2865,1.720000,2.720000
5CWK,0.408700,0.399200,0.400500,0.377300,1.849895,1386,0.820000,2.190000
3ATQ,0.205600,0.240400,0.201000,0.245300,1.849899,3753,0.460000,-0.490000
5G23,0.206100,0.233100,0.193400,0.227000,1.850003,6264,1.270000,0.610000
4PRA,0.320000,0.353100,0.301900,0.334400,1.850003,3626,1.810000,1.870000
3H7O,0.212200,0.240000,0.198300,0.227700,1.850005,3853,1.390000,1.230000
3VFP,0.498200,0.504800,0.488200,0.506200,1.850008,3711,1.000000,-0.140000
5ZOO,0.190500,0.195900,0.181600,0.188900,1.850035,3317,0.890000,0.700000
5TTA,0.224100,0.280800,0.216500,0.275100,1.850061,3785,0.760000,0.570000
6SM4,0.208300,0.246900,0.206900,0.228300,1.850089,1359,0.140000,1.860000
1BX0,0.213600,0.246500,0.191600,0.229400,1.850417,2638,2.200000,1.710000
3V2X,0.191600,0.228800,0.183900,0.214200,1.850433,1426,0.770000,1.460000
2QM7,0.205800,0.228300,0.193000,0.222600,1.854048,5190,1.280000,0.570000
2JIG,0.202100,0.239400,0.183800,0.229400,1.854412,3687,1.830000,1.000000
6P2A,0.190400,0.203100,0.162800,0.188400,1.858141,8284,2.760000,1.470000
4UYI,0.202300,0.214400,0.201000,0.209700,1.860002,1071,0.130000,0.470000
1RJ1,0.209600,0.245900,0.201600,0.229000,1.870259,1228,0.800000,1.690000
5Z6V,0.202700,0.233200,0.171500,0.208200,1.874019,1313,3.120000,2.500000
3TAX,0.239300,0.252900,0.223800,0.247500,1.875006,12326,1.550000,0.540000
6PUP,0.212700,0.242600,0.200600,0.261400,1.879211,1424,1.210000,-1.880000
3QDO,0.183100,0.218800,0.150900,0.181200,1.880897,906,3.220000,3.760000
1DLM,0.275900,0.291100,0.182300,0.210700,1.883898,5085,9.360000,8.040000
1QB5,0.200300,0.233300,0.184300,0.230200,1.885664,3938,1.600000,0.310000
4OFF,0.218600,0.268300,0.197400,0.254400,1.888218,1112,2.120000,1.390000
6COK,0.218200,0.255800,0.194100,0.249000,1.888497,2358,2.410000,0.680000
4EVW,0.203500,0.234000,0.194200,0.218200,1.894006,4383,0.930000,1.580000
2VUN,0.187000,0.200500,0.170000,0.190900,1.894204,12417,1.700000,0.960000
3M6J,0.203000,0.234200,0.176800,0.214400,1.896299,4785,2.620000,1.980000
5T0M,0.225000,0.271100,0.193700,0.247100,1.896471,4891,3.130000,2.400000
3WAI,0.216600,0.235800,0.202300,0.229800,1.897020,6197,1.430000,0.600000
4ZHM,0.229700,0.253000,0.228200,0.277500,1.897026,2090,0.150000,-2.450000
6RFG,0.243500,0.254600,0.223300,0.256400,1.897302,4584,2.020000,-0.180000
1AT0,0.224200,0.297500,0.211200,0.266800,1.897364,1237,1.300000,3.070000
4TR3,0.208100,0.245500,0.182900,0.220700,1.897382,1555,2.520000,2.480000
4REV,0.233800,0.251500,0.236100,0.250000,1.898098,2132,-0.230000,0.150000
1YMQ,0.206000,0.236100,0.185600,0.218000,1.898398,2207,2.040000,1.810000
3OAP,0.208000,0.223300,0.201700,0.216500,1.898491,1955,0.630000,0.680000
1RKG,0.202900,0.255000,0.196600,0.250600,1.898545,2156,0.630000,0.440000
6OAE,0.203600,0.228200,0.197600,0.224300,1.898836,1795,0.600000,0.390000
1K6D,0.206600,0.236800,0.200800,0.236700,1.899683,3470,0.580000,0.010000
1H8V,0.214800,0.235600,0.176700,0.223900,1.899692,11228,3.810000,1.170000
1NU2,0.205900,0.295000,0.188500,0.240800,1.899943,1477,1.740000,5.420000
1B9K,0.182600,0.217300,0.162800,0.203000,1.899949,2177,1.980000,1.430000
3UTN,0.207600,0.239500,0.187200,0.219500,1.899974,2784,2.040000,2.000000
6EWJ,0.253300,0.287200,0.238600,0.291700,1.899985,13277,1.470000,-0.450000
2CV3,0.225600,0.258800,0.171100,0.214100,1.899995,2208,5.450000,4.470000
1FKM,0.197700,0.224200,0.185200,0.216300,1.900003,2925,1.250000,0.790000
2JH3,0.215600,0.235800,0.191800,0.231700,1.900003,14998,2.380000,0.410000
5XHW,0.279200,0.305400,0.239300,0.268300,1.900006,1899,3.990000,3.710000
4AUP,0.242100,0.303100,0.233900,0.303000,1.900007,2198,0.820000,0.010000
2P0U,0.188000,0.217800,0.170000,0.205600,1.900009,6667,1.800000,1.220000
5O6B,0.236400,0.269100,0.229900,0.273300,1.900010,9104,0.650000,-0.420000
4UDP,0.204600,0.237100,0.195600,0.241500,1.900018,8311,0.900000,-0.440000
2QE9,0.215000,0.245200,0.199300,0.220500,1.900029,3009,1.570000,2.470000
3E99,0.228600,0.287600,0.198200,0.249300,1.900033,1422,3.040000,3.830000
2BON,0.244800,0.277200,0.268600,0.310600,1.900037,4215,-2.380000,-3.340000
3QKL,0.209200,0.253300,0.200800,0.248400,1.900058,2959,0.840000,0.490000
2RCC,0.215300,0.236400,0.192000,0.223100,1.900060,7885,2.330000,1.330000
1QMY,0.204400,0.233300,0.194000,0.232700,1.900084,4189,1.040000,0.060000
1P4X,0.261400,0.292300,0.251200,0.298800,1.900143,2221,1.020000,-0.650000
1XHD,0.182900,0.214200,0.169400,0.198600,1.900155,1516,1.350000,1.560000
5MXY,0.195100,0.224000,0.185500,0.207700,1.900308,773,0.960000,1.630000
1UJK,0.210600,0.236000,0.201300,0.232300,1.900332,2705,0.930000,0.370000
3E7P,0.187900,0.239800,0.184800,0.231500,1.900468,2245,0.310000,0.830000
4IDI,0.254100,0.279600,0.242800,0.277200,1.900478,4190,1.130000,0.240000
5GKV,0.189400,0.218000,0.172800,0.202900,1.900732,3120,1.660000,1.510000
3TCO,0.199900,0.225600,0.184200,0.209200,1.900841,2808,1.570000,1.640000
6D2V,0.197300,0.226800,0.178500,0.214100,1.900905,5456,1.880000,1.270000
5Y9I,0.192000,0.219700,0.163800,0.206000,1.901023,2825,2.820000,1.370000
1QZN,0.222100,0.272000,0.204900,0.246400,1.901173,1382,1.720000,2.560000
3KOL,0.201000,0.237200,0.195200,0.217200,1.901453,1238,0.580000,2.000000
4OF8,0.204400,0.229600,0.192900,0.230600,1.902004,7448,1.150000,-0.100000
4WD1,0.181400,0.195900,0.163200,0.183900,1.903011,5598,1.820000,1.200000
1HN0,0.179100,0.212400,0.160100,0.202100,1.904553,9426,1.900000,1.030000
2GT1,0.216800,0.259000,0.207500,0.243800,1.905254,5322,0.930000,1.520000
4F27,0.235600,0.266200,0.237300,0.262200,1.916559,2754,-0.170000,0.400000
3IHU,0.236400,0.289000,0.213800,0.273700,1.920022,3411,2.260000,1.530000
4YXP,0.205600,0.248600,0.198700,0.235100,1.920034,4512,0.690000,1.350000
6IQJ,0.225100,0.272200,0.195100,0.262500,1.921816,2352,3.000000,0.970000
3N9U,0.243200,0.274200,0.234500,0.267500,1.924023,5214,0.870000,0.670000
6M3Y,0.266100,0.276200,0.257200,0.280000,1.925934,6279,0.890000,-0.380000
1Y08,0.208200,0.233700,0.185000,0.219300,1.928106,2491,2.320000,1.440000
3P1V,0.228900,0.263500,0.208100,0.270400,1.930009,7406,2.080000,-0.690000
5MLK,0.214200,0.226300,0.198700,0.220300,1.938580,6780,1.550000,0.600000
4AOM,0.205700,0.246900,0.183800,0.239700,1.938590,1511,2.190000,0.720000
6PNP,0.228100,0.241100,0.223000,0.228000,1.940062,2656,0.510000,1.310000
3U9L,0.213900,0.255900,0.203000,0.239800,1.941693,2355,1.090000,1.610000
1K7T,0.319100,0.309200,0.269800,0.324100,1.941838,2467,4.930000,-1.490000
4P3C,0.190400,0.223700,0.159800,0.211900,1.942630,3992,3.060000,1.180000
5OMB,0.220100,0.272000,0.209400,0.259600,1.944037,3915,1.070000,1.240000
3KWL,0.197400,0.227900,0.185100,0.231200,1.945010,4388,1.230000,-0.330000
4ICH,0.215700,0.295300,0.216500,0.272400,1.947004,3372,-0.080000,2.290000
6A0E,0.197800,0.248500,0.179600,0.231900,1.947093,5612,1.820000,1.660000
6LKG,0.214700,0.249100,0.204000,0.241400,1.947851,8224,1.070000,0.770000
3H6R,0.185200,0.234900,0.186900,0.243700,1.947933,2666,-0.170000,-0.880000
6PEU,0.215200,0.240800,0.203200,0.236500,1.948002,13853,1.200000,0.430000
3W8W,0.214900,0.243700,0.196300,0.245400,1.949993,7744,1.860000,-0.170000
6GP7,0.238400,0.254800,0.229600,0.247300,1.950004,1120,0.880000,0.750000
1SOT,0.235600,0.271500,0.232100,0.279000,1.950005,6617,0.350000,-0.750000
3OEC,0.209400,0.230200,0.184000,0.229700,1.950032,9051,2.540000,0.050000
4AK1,0.291900,0.310500,0.272800,0.292400,1.950036,5247,1.910000,1.810000
3V4A,0.200500,0.223800,0.177200,0.219200,1.950040,2374,2.330000,0.460000
1WW9,0.198000,0.228300,0.188400,0.213700,1.950060,3461,0.960000,1.460000
2IUC,0.194700,0.245500,0.175600,0.228700,1.950060,5544,1.910000,1.680000
4Q63,0.209800,0.240900,0.196900,0.214500,1.950143,862,1.290000,2.640000
3HTV,0.212500,0.272700,0.201500,0.248600,1.950279,2300,1.100000,2.410000
3MYU,0.226400,0.249800,0.215800,0.249500,1.950503,5761,1.060000,0.030000
1FIO,0.286100,0.332200,0.244400,0.283700,1.951112,1708,4.170000,4.850000
3VXN,0.211300,0.236300,0.207100,0.232200,1.952009,3347,0.420000,0.410000
3K7M,0.204400,0.237800,0.186700,0.220500,1.952113,4048,1.770000,1.730000
4HIA,0.197700,0.230400,0.181200,0.230000,1.952271,3150,1.650000,0.040000
3GQU,0.354300,0.385400,0.322200,0.342800,1.957053,881,3.210000,4.260000
1BQG,0.217500,0.239300,0.190800,0.221600,1.958299,3178,2.670000,1.770000
1NO4,0.336100,0.387700,0.329600,0.380000,1.963742,2527,0.650000,0.770000
7BN2,0.203000,0.222300,0.191600,0.224100,1.969805,6323,1.140000,-0.180000
6FOK,0.232500,0.247400,0.232000,0.252400,1.970004,10757,0.050000,-0.500000
6ILR,0.243500,0.268300,0.242200,0.266500,1.971972,4720,0.130000,0.180000
