code,engine,r_work,r_free
1GQ9,torchref,0.3893,0.3946
1GUI,prediction,0.3944,0.4059
1GUI,refmac,0.2735,0.3255
1GUI,phenix,0.2826,0.3235
1GUI,torchref,0.2673,0.326
1GYJ,prediction,0.3992,0.4103
1GYJ,refmac,0.2758,0.3291
1GYJ,phenix,0.2682,0.3217
1GYJ,torchref,0.2654,0.3258
1H8V,prediction,0.3711,0.3685
1H8V,refmac,0.2501,0.2849
1H8V,phenix,0.2432,0.2846
1H8V,torchref,0.2408,0.2891
1HN0,prediction,0.4239,0.4207
1HN0,refmac,0.2454,0.2805
1HN0,phenix,0.2522,0.286
1HN0,torchref,0.2414,0.2881
1HNO,prediction,0.369,0.3984
1HNO,refmac,0.2237,0.2668
1HNO,phenix,0.2297,0.276
1HNO,torchref,0.223,0.2698
1HTN,prediction,0.3291,0.3524
1HTN,refmac,0.1779,0.2389
1HTN,phenix,0.1774,0.2304
1HTN,torchref,0.1785,0.2145
1I1N,prediction,0.4136,0.4211
1I1N,refmac,0.2758,0.3061
1I1N,phenix,0.2764,0.2982
1I1N,torchref,0.2597,0.2941
1I3A,prediction,0.4237,0.4458
1I3A,refmac,0.2605,0.3289
1I3A,phenix,0.2618,0.3394
1I3A,torchref,0.2559,0.3331
1IDQ,prediction,0.3002,0.2988
1IDQ,refmac,0.2059,0.2342
1IDQ,phenix,0.2126,0.2375
1IDQ,torchref,0.2001,0.237
1IKN,prediction,0.4489,0.4528
1IKN,refmac,0.3323,0.379
1IKN,phenix,0.3452,0.4208
1IKN,torchref,0.3257,0.392
1ITK,prediction,0.373,0.3825
1ITK,refmac,0.2559,0.2905
1ITK,phenix,0.2606,0.2957
1ITK,torchref,0.25,0.3033
1J3P,prediction,0.3866,0.395
1J3P,refmac,0.2493,0.2949
1J3P,phenix,0.254,0.2873
1J3P,torchref,0.241,0.293
1J53,prediction,0.4122,0.3799
1J53,refmac,0.2927,0.3091
1J53,phenix,0.2892,0.3156
1J53,torchref,0.2819,0.3273
1J5W,prediction,0.4091,0.4076
1J5W,refmac,0.2621,0.3208
1J5W,phenix,0.2732,0.3188
1J5W,torchref,0.2561,0.3234
1J8B,prediction,0.4902,0.5203
1J8B,refmac,0.3997,0.4582
1J8B,phenix,0.385,0.416
1J8B,torchref,0.3664,0.4399
1JAC,prediction,0.318,0.3411
1JAC,refmac,0.2401,0.3002
1JAC,phenix,0.245,0.3064
1JAC,torchref,0.2459,0.3165
1JAD,prediction,0.462,0.468
1JAD,refmac,0.367,0.3898
1JAD,phenix,0.3404,0.3644
1JAD,torchref,0.3582,0.4106
1JN9,prediction,0.4888,0.494
1JN9,refmac,0.4404,0.5049
1JN9,phenix,0.4674,0.5164
1JN9,torchref,0.4457,0.5098
1JU3,prediction,0.3383,0.3443
1JU3,refmac,0.2567,0.2845
1JU3,phenix,0.2604,0.2824
1JU3,torchref,0.2532,0.2858
1K6D,prediction,0.3997,0.3831
1K6D,refmac,0.247,0.2853
1K6D,phenix,0.2597,0.2917
1K6D,torchref,0.2336,0.2878
1K7T,prediction,0.3758,0.3625
1K7T,refmac,0.2741,0.3207
1K7T,phenix,0.2858,0.3315
1K7T,torchref,0.2799,0.3326
1L9X,prediction,0.3418,0.3419
1L9X,refmac,0.2277,0.2533
1L9X,phenix,0.2328,0.2543
1L9X,torchref,0.2228,0.2547
1LNZ,prediction,0.4723,0.4877
1LNZ,refmac,0.4107,0.4613
1LNZ,phenix,0.4131,0.4774
1LNZ,torchref,0.429,0.4676
1M6E,prediction,0.3356,0.3218
1M6E,refmac,0.2118,0.2406
1M6E,phenix,0.2257,0.2335
1M6E,torchref,0.2182,0.2262
1N0L,prediction,0.4298,0.4126
1N0L,refmac,0.3073,0.3548
1N0L,phenix,0.3011,0.3609
1N6J,prediction,0.4796,0.4869
1N6J,refmac,0.3859,0.4305
1N6J,phenix,0.4055,0.447
1N6J,torchref,0.371,0.4471
1O4V,prediction,0.316,0.3141
1O4V,refmac,0.2075,0.2449
1O4V,phenix,0.2188,0.2532
1O4V,torchref,0.2025,0.2518
1O5T,prediction,0.4616,0.4758
1O5T,refmac,0.3055,0.3954
1O5T,phenix,0.2864,0.3607
1O5T,torchref,0.2721,0.3663
1O6D,prediction,0.3821,0.3963
1O6D,refmac,0.2687,0.2917
1O6D,phenix,0.2735,0.2914
1O6D,torchref,0.2567,0.306
1OBR,prediction,0.3049,0.2927
1OBR,refmac,0.1909,0.2138
1OBR,phenix,0.1848,0.2119
1OBR,torchref,0.2038,0.2335
1OC0,prediction,0.4395,0.4507
1OC0,refmac,0.2735,0.3639
1OC0,phenix,0.2735,0.3541
1OC0,torchref,0.2578,0.3395
1OE4,prediction,0.3616,0.3519
1OE4,refmac,0.266,0.3
1OE4,phenix,0.268,0.299
1OE4,torchref,0.2573,0.2996
1OMW,prediction,0.4085,0.4389
1OMW,refmac,0.2525,0.3323
1OMW,phenix,0.2901,0.3642
1OMW,torchref,0.26,0.3309
1OQE,prediction,0.3234,0.3188
1OQE,refmac,0.2202,0.2513
1OQE,phenix,0.2402,0.2712
1OQE,torchref,0.2206,0.2584
1OSC,prediction,0.3278,0.3201
1OSC,refmac,0.2079,0.2579
1OSC,phenix,0.224,0.2617
1OSC,torchref,0.206,0.2589
1OY5,prediction,0.4632,0.461
1OY5,refmac,0.314,0.3644
1OY5,phenix,0.3254,0.3793
1OY5,torchref,0.3033,0.3551
1P3C,prediction,0.3306,0.3452
1P3C,refmac,0.1921,0.2296
1P3C,phenix,0.1992,0.2277
1P3C,torchref,0.1866,0.2279
1P4X,prediction,0.5177,0.5073
1P4X,refmac,0.3548,0.3733
1P4X,phenix,0.3313,0.3641
1P4X,torchref,0.3257,0.369
1PG3,prediction,0.3317,0.3264
1PG3,refmac,0.2241,0.2821
1PG3,phenix,0.2233,0.2844
1PG3,torchref,0.2169,0.29
1PJR,prediction,0.502,0.4961
1PJR,refmac,0.3554,0.3896
1PJR,phenix,0.3269,0.3569
1PJR,torchref,0.3115,0.3571
1PXZ,prediction,0.3502,0.3529
1PXZ,refmac,0.2429,0.2703
1PXZ,phenix,0.2471,0.2699
1PXZ,torchref,0.2342,0.2686
1Q15,prediction,0.442,0.4373
1Q15,refmac,0.2559,0.314
1Q15,phenix,0.2446,0.3001
1Q15,torchref,0.2381,0.3045
1QB5,prediction,0.3664,0.3491
1QB5,refmac,0.2081,0.2452
1QB5,phenix,0.2065,0.2431
1QB5,torchref,0.1898,0.2442
1QD9,prediction,0.3912,0.4031
1QD9,refmac,0.2815,0.3306
1QD9,phenix,0.257,0.3066
1QD9,torchref,0.2685,0.3387
1QJV,prediction,0.3168,0.3293
1QJV,refmac,0.2235,0.2721
1QJV,phenix,0.2225,0.2717
1QJV,torchref,0.217,0.2779
1QZN,prediction,0.3807,0.4053
1QZN,refmac,0.2386,0.2953
1QZN,phenix,0.2487,0.2967
1QZN,torchref,0.2362,0.3124
1R1K,prediction,0.4092,0.3991
1R1K,refmac,0.237,0.3137
1R1K,phenix,0.2625,0.3302
1R1K,torchref,0.2675,0.3306
1R3U,prediction,0.341,0.3773
1R3U,refmac,0.2092,0.2741
1R3U,phenix,0.2249,0.2699
1R3U,torchref,0.2083,0.2841
1RFX,prediction,0.4648,0.4636
1RFX,refmac,0.3297,0.379
1RFX,phenix,0.3593,0.4003
1RFX,torchref,0.3177,0.3669
1RHC,prediction,0.4057,0.4098
1RHC,refmac,0.2182,0.2388
1RHC,phenix,0.2292,0.2505
1RHC,torchref,0.2133,0.2436
1RJ1,prediction,0.3984,0.4158
1RJ1,refmac,0.2585,0.2802
1RJ1,phenix,0.2673,0.2905
1RJ1,torchref,0.2469,0.2766
1RJD,prediction,0.3899,0.3899
1RJD,refmac,0.2598,0.2796
1RJD,phenix,0.2559,0.2779
1RJD,torchref,0.2432,0.2764
1RKG,prediction,0.3877,0.4139
1RKG,refmac,0.2632,0.3183
1RKG,phenix,0.2827,0.3374
1RKG,torchref,0.2606,0.3212
1RZN,prediction,0.3873,0.3838
1RZN,refmac,0.2419,0.2782
1RZN,phenix,0.2433,0.2704
1RZN,torchref,0.2316,0.2819
1S1C,prediction,0.3987,0.4424
1S1C,refmac,0.2981,0.3847
1S1C,phenix,0.3015,0.3911
1S1C,torchref,0.2968,0.3992
1SO2,prediction,0.3464,0.3232
1SO2,refmac,0.2428,0.2818
1SO2,phenix,0.2535,0.2861
1SO2,torchref,0.2396,0.2968
1SOT,prediction,0.4705,0.4835
1SOT,refmac,0.3174,0.3641
1SOT,phenix,0.33,0.3722
1SOT,torchref,0.3088,0.3564
1T3I,prediction,0.3703,0.3687
1T3I,refmac,0.2347,0.2693
1T3I,phenix,0.24,0.27
1T3I,torchref,0.2325,0.2754
1TE5,prediction,0.438,0.419
1TE5,refmac,0.3078,0.3452
1TE5,phenix,0.3179,0.3565
1TE5,torchref,0.2938,0.3465
1TGS,prediction,0.3615,0.3849
1TGS,refmac,0.2403,0.292
1TGS,phenix,0.2374,0.2879
1TGS,torchref,0.2165,0.2732
1TML,prediction,0.3056,0.2868
1TML,refmac,0.1642,0.2244
1TML,phenix,0.1505,0.2226
1TML,torchref,0.177,0.2473
1TVL,prediction,0.3944,0.3857
1TVL,refmac,0.2393,0.2756
1TVL,phenix,0.258,0.2931
1TVL,torchref,0.2363,0.2782
1U1I,prediction,0.3818,0.3787
1U1I,refmac,0.278,0.3373
1U1I,phenix,0.2782,0.337
1U7B,prediction,0.4509,0.4494
1U7B,refmac,0.2869,0.3373
1U7B,torchref,0.2719,0.3434
1UEF,prediction,0.4306,0.4786
1UEF,refmac,0.3539,0.4413
1UEF,phenix,0.3966,0.4574
1UEF,torchref,0.3383,0.4077
1UJK,prediction,0.4118,0.4246
1UJK,refmac,0.3049,0.3372
1UJK,phenix,0.3074,0.3256
1UJK,torchref,0.2875,0.3274
1UKV,prediction,0.4879,0.5053
1UKV,refmac,0.334,0.3667
1UKV,phenix,0.3232,0.3578
1UKV,torchref,0.3103,0.3529
1UTB,prediction,0.3326,0.3326
1UTB,refmac,0.2237,0.2592
1UTB,phenix,0.2404,0.2784
1UTB,torchref,0.2279,0.2633
1UVQ,prediction,0.4768,0.4802
1UVQ,refmac,0.3103,0.3405
1UVQ,phenix,0.3231,0.3511
1UVQ,torchref,0.301,0.332
1V8Q,prediction,0.3624,0.3714
1V8Q,refmac,0.2211,0.2747
1V8Q,phenix,0.2258,0.3025
1V8Q,torchref,0.2456,0.3307
1VB3,prediction,0.3897,0.3692
1VB3,refmac,0.2457,0.2737
1VB3,phenix,0.2432,0.2689
1VB3,torchref,0.2347,0.2829
1VCE,prediction,0.37,0.3682
1VCE,refmac,0.2565,0.2926
1VCE,phenix,0.2647,0.2993
1VCE,torchref,0.2557,0.3022
1VDD,prediction,0.4421,0.4399
1VDD,refmac,0.245,0.29
1VDD,phenix,0.2754,0.3148
1VDD,torchref,0.2669,0.3162
1VER,prediction,0.3624,0.3392
1VER,refmac,0.2083,0.2548
1VER,phenix,0.2298,0.252
1VER,torchref,0.2321,0.2742
1VK0,prediction,0.4133,0.4184
1VK0,refmac,0.2638,0.3052
1VK0,phenix,0.2604,0.2983
1VK0,torchref,0.2545,0.3035
1VLM,prediction,0.3783,0.3977
1VLM,refmac,0.2699,0.3347
1VLM,phenix,0.2766,0.3333
1VLM,torchref,0.2648,0.3375
1VR4,prediction,0.4116,0.3872
1VR4,refmac,0.2827,0.333
1VR4,phenix,0.2862,0.3463
1VR4,torchref,0.272,0.3446
1VRQ,prediction,0.4251,0.4349
1VRQ,refmac,0.2387,0.2781
1VRQ,phenix,0.25,0.2874
1VRQ,torchref,0.2393,0.2889
1W2Y,prediction,0.4395,0.4269
1W2Y,refmac,0.2658,0.2865
1W2Y,phenix,0.2748,0.2914
1W2Y,torchref,0.2572,0.2891
1W8A,prediction,0.3903,0.3479
1W8A,refmac,0.2057,0.2756
1W8A,phenix,0.2117,0.2776
1W8A,torchref,0.233,0.2822
1WD8,prediction,0.3963,0.4277
1WD8,refmac,0.2126,0.2801
1WD8,phenix,0.2383,0.2985
1WD8,torchref,0.2276,0.2999
1WDV,prediction,0.4162,0.3845
1WDV,refmac,0.2786,0.3044
1WDV,phenix,0.2799,0.3095
1WDV,torchref,0.2676,0.3096
1WLZ,prediction,0.4395,0.4399
1WLZ,refmac,0.2864,0.3041
1WLZ,phenix,0.2852,0.3068
1WLZ,torchref,0.2712,0.3042
1WTJ,prediction,0.4473,0.4493
1WTJ,refmac,0.256,0.278
1WTJ,phenix,0.2739,0.2946
1WTJ,torchref,0.2477,0.2767
1WTY,prediction,0.3936,0.3904
1WTY,refmac,0.2732,0.324
1WTY,phenix,0.2754,0.3166
1WTY,torchref,0.2643,0.3282
1WU2,prediction,0.4596,0.4537
1WU2,refmac,0.3329,0.3785
1WU2,phenix,0.3191,0.3635
1WU2,torchref,0.3051,0.3683
1WV8,prediction,0.4989,0.4754
1WV8,refmac,0.4039,0.4657
1WV8,phenix,0.3235,0.4486
1WV8,torchref,0.4887,0.5017
1WW9,prediction,0.4294,0.4353
1WW9,refmac,0.2699,0.3003
1WW9,phenix,0.2814,0.3051
1WW9,torchref,0.2627,0.3045
1X1Q,prediction,0.4705,0.4771
1X1Q,refmac,0.3153,0.3889
1X1Q,phenix,0.3112,0.3851
1X1Q,torchref,0.3545,0.3969
1X6O,prediction,0.4515,0.4455
1X6O,refmac,0.3014,0.315
1X6O,phenix,0.3003,0.3153
1X6O,torchref,0.2774,0.3069
1XHD,prediction,0.4043,0.4283
1XHD,refmac,0.258,0.3004
1XHD,phenix,0.2701,0.3122
1XHD,torchref,0.2541,0.3088
1XQZ,prediction,0.3693,0.3618
1XQZ,refmac,0.2919,0.3078
1XQZ,torchref,0.2923,0.314
1XVS,prediction,0.3953,0.3916
1XVS,refmac,0.2951,0.3229
1XVS,phenix,0.2947,0.3302
1XVS,torchref,0.2815,0.3129
1XVW,prediction,0.399,0.4181
1XVW,refmac,0.2467,0.2896
1XVW,torchref,0.2353,0.298
1XX1,prediction,0.3605,0.3628
1XX1,refmac,0.25,0.2767
1XX1,phenix,0.2544,0.2785
1XX1,torchref,0.2437,0.2797
1Y08,prediction,0.3427,0.3613
1Y08,refmac,0.2473,0.3006
1Y08,torchref,0.2458,0.3006
1Y7O,prediction,0.3923,0.3727
1Y7O,refmac,0.305,0.3428
1Y7O,phenix,0.302,0.3538
1Y7O,torchref,0.2993,0.3462
1Y8Q,prediction,0.3808,0.3686
1Y8Q,refmac,0.2276,0.2618
1Y8Q,phenix,0.2355,0.2672
1Y8Q,torchref,0.2265,0.2675
1Y98,prediction,0.3668,0.3957
1Y98,refmac,0.2704,0.3111
1Y98,torchref,0.2541,0.3248
1YEM,prediction,0.3865,0.3873
1YEM,refmac,0.2365,0.278
1YEM,phenix,0.2551,0.2851
1YEM,torchref,0.2355,0.2859
1YK3,prediction,0.399,0.4048
1YK3,refmac,0.2513,0.3061
1YK3,phenix,0.2631,0.3077
1YK3,torchref,0.2504,0.3088
1YMQ,prediction,0.4045,0.426
1YMQ,refmac,0.2368,0.273
1YMQ,phenix,0.2418,0.2685
1YMQ,torchref,0.2262,0.2634
1YRX,prediction,0.532,0.5503
1YRX,refmac,0.4692,0.526
1YRX,torchref,0.4294,0.4977
1Z05,prediction,0.5155,0.5158
1Z05,refmac,0.3492,0.3815
1Z05,phenix,0.3494,0.3803
1Z05,torchref,0.2955,0.3427
1Z3X,prediction,0.3711,0.3802
1Z3X,refmac,0.2625,0.2805
1Z3X,phenix,0.2696,0.2858
1Z3X,torchref,0.2521,0.286
1ZEJ,prediction,0.4808,0.4516
1ZEJ,refmac,0.288,0.3209
1ZEJ,phenix,0.2972,0.3281
1ZEJ,torchref,0.3206,0.3467
1ZJ8,prediction,0.3543,0.3453
1ZJ8,refmac,0.2619,0.3388
1ZJ8,phenix,0.258,0.3048
1ZJ8,torchref,0.2586,0.307
1ZKL,prediction,0.3875,0.3858
1ZKL,refmac,0.2515,0.2706
1ZKL,phenix,0.2592,0.2704
1ZKL,torchref,0.2455,0.271
1ZZ0,prediction,0.3614,0.3574
1ZZ0,refmac,0.2327,0.2507
1ZZ0,phenix,0.2394,0.2567
1ZZ0,torchref,0.2263,0.2546
2A25,prediction,0.4046,0.4024
2A25,refmac,0.2895,0.33
2A25,phenix,0.3134,0.3646
2A25,torchref,0.2735,0.3537
2A3V,prediction,0.4942,0.4863
2A3V,refmac,0.4093,0.4594
2A3V,phenix,0.4059,0.4553
2A3V,torchref,0.4111,0.4528
2A65,prediction,0.4435,0.4457
2A65,refmac,0.2473,0.2681
2A65,torchref,0.2286,0.2594
2A9S,prediction,0.3629,0.3499
2A9S,refmac,0.2346,0.2541
2A9S,phenix,0.2349,0.2503
2A9S,torchref,0.2182,0.2456
2ACJ,prediction,0.4965,0.4991
2ACJ,refmac,0.4553,0.5212
2ACJ,phenix,0.4381,0.5164
2ACJ,torchref,0.4625,0.4902
2AE0,prediction,0.5254,0.5262
2AE0,refmac,0.431,0.4669
2AE0,phenix,0.4652,0.502
2AE0,torchref,0.4373,0.4957
2AG0,prediction,0.3856,0.3862
2AG0,refmac,0.2201,0.2725
2AG0,phenix,0.2219,0.2781
2AG0,torchref,0.2205,0.2884
2AHR,prediction,0.4745,0.4673
2AHR,refmac,0.301,0.3558
2AHR,phenix,0.2923,0.3392
2AHR,torchref,0.276,0.3398
2AP2,prediction,0.5304,0.5341
2AP2,refmac,0.4997,0.551
2AP2,phenix,0.4939,0.554
2AP2,torchref,0.5093,0.5525
2AQ4,prediction,0.4265,0.4115
2AQ4,refmac,0.3302,0.3517
2AQ4,phenix,0.3286,0.3556
2AQ4,torchref,0.3214,0.3521
2B2N,prediction,0.4859,0.4795
2B2N,refmac,0.2967,0.325
2B2N,phenix,0.3103,0.3251
2B2N,torchref,0.2772,0.3116
2B3X,prediction,0.4947,0.4846
2B3X,refmac,0.3631,0.4233
2B3X,phenix,0.3348,0.4044
2B3X,torchref,0.3845,0.43
2B5E,prediction,0.5174,0.5082
2B5E,refmac,0.3776,0.435
2B5E,phenix,0.3939,0.4537
2B5E,torchref,0.3549,0.4102
2B7O,prediction,0.3951,0.4005
2B7O,refmac,0.2631,0.3044
2B7O,phenix,0.2759,0.3112
2B7O,torchref,0.2594,0.304
2BON,prediction,0.4116,0.4122
2BON,refmac,0.2814,0.3047
2BON,phenix,0.3076,0.3412
2BON,torchref,0.3986,0.4433
2BTY,prediction,0.4242,0.4102
2BTY,refmac,0.2539,0.3218
2BTY,phenix,0.2748,0.3332
2BTY,torchref,0.2662,0.3333
2C8X,prediction,0.4879,0.4816
2C8X,refmac,0.3916,0.4299
2C8X,phenix,0.3687,0.4059
2C8X,torchref,0.3557,0.4013
2C90,prediction,0.4769,0.4703
2C90,refmac,0.3825,0.45
2C90,phenix,0.3744,0.4379
2C90,torchref,0.3663,0.4597
2CB4,prediction,0.3342,0.3362
2CB4,refmac,0.2449,0.2988
2CB4,phenix,0.2519,0.301
2CB4,torchref,0.2453,0.3077
2CCH,prediction,0.4451,0.4455
2CCH,refmac,0.3386,0.3645
2CCH,phenix,0.3535,0.3742
2CCH,torchref,0.3085,0.3452
2CCM,prediction,0.3845,0.3906
2CCM,refmac,0.2476,0.2838
2CCM,phenix,0.2533,0.2849
2CCM,torchref,0.2386,0.2834
2CKL,prediction,0.4329,0.3944
2CKL,refmac,0.3119,0.3264
2CKL,phenix,0.315,0.3317
2CKL,torchref,0.2828,0.319
2CZV,prediction,0.3929,0.3754
2CZV,refmac,0.2544,0.2896
2CZV,phenix,0.2605,0.2948
2CZV,torchref,0.246,0.2927
2D0T,prediction,0.3653,0.3734
2D0T,refmac,0.2262,0.2727
2D0T,phenix,0.2396,0.2806
2D0T,torchref,0.223,0.2722
2D68,prediction,0.4391,0.4269
2D68,refmac,0.3039,0.2888
2D68,phenix,0.295,0.2824
2D68,torchref,0.2845,0.2837
2DOB,prediction,0.5624,0.5551
2DOB,refmac,0.4766,0.5678
2DOB,phenix,0.4778,0.5175
2DOB,torchref,0.5271,0.5404
2DQ6,prediction,0.4486,0.4497
2DQ6,refmac,0.2596,0.2795
2DQ6,phenix,0.265,0.2823
2DQ6,torchref,0.2568,0.28
2DRY,prediction,0.4521,0.476
2DRY,refmac,0.3262,0.4159
2DRY,phenix,0.3315,0.4237
2DRY,torchref,0.3032,0.4083
2DX6,prediction,0.429,0.4199
2DX6,refmac,0.2914,0.3645
2DX6,phenix,0.2893,0.3592
2DX6,torchref,0.2809,0.3737
2E1M,prediction,0.5119,0.5434
2E1M,refmac,0.4504,0.552
2E1M,phenix,0.4544,0.531
2E1M,torchref,0.453,0.5553
2EO4,prediction,0.4103,0.4349
2EO4,refmac,0.2731,0.3101
2EO4,phenix,0.2901,0.3271
2EO4,torchref,0.259,0.3106
2EU9,prediction,0.4284,0.4365
2EU9,refmac,0.2714,0.3019
2EU9,phenix,0.2864,0.3127
2EU9,torchref,0.2657,0.3073
2EXU,prediction,0.5343,0.5121
2EXU,refmac,0.4915,0.5183
2EXU,phenix,0.4911,0.5406
2EXU,torchref,0.4873,0.5373
2F1F,prediction,0.464,0.4717
2F1F,refmac,0.2717,0.2966
2F1F,phenix,0.2886,0.3099
2F1F,torchref,0.2516,0.293
2F2E,prediction,0.4226,0.3805
2F2E,refmac,0.279,0.304
2F2E,phenix,0.29,0.3188
2F2E,torchref,0.2694,0.3241
2F8L,prediction,0.36,0.3541
2F8L,refmac,0.2436,0.2705
2F8L,phenix,0.2543,0.2705
2F8L,torchref,0.2416,0.2774
2F9I,prediction,0.4018,0.3848
2F9I,refmac,0.2375,0.274
2F9I,phenix,0.2497,0.2757
2F9I,torchref,0.2305,0.2766
2F9Z,prediction,0.3536,0.3606
