engine,code,r_work,r_free
prediction,1TVL,0.3889,0.3803
prediction,1U1I,0.3619,0.3616
prediction,1UEF,0.4059,0.4471
prediction,1UJK,0.4059,0.4193
prediction,1UKV,0.4858,0.5031
prediction,1UTB,0.3255,0.3279
prediction,1UVQ,0.4732,0.474
prediction,1V8Q,0.3512,0.3456
prediction,1VB3,0.3847,0.3556
prediction,1VCE,0.3636,0.3661
prediction,1VDD,0.4295,0.4322
prediction,1VER,0.3569,0.3281
prediction,1VK0,0.4078,0.4097
prediction,1VLM,0.3728,0.3909
prediction,1VR4,0.4059,0.3934
prediction,1W2Y,0.4343,0.4291
prediction,1W8A,0.3812,0.3306
prediction,1WD8,0.3897,0.4115
prediction,1WDV,0.4119,0.3906
prediction,1WLZ,0.4362,0.4335
prediction,1WTJ,0.4444,0.4494
prediction,1WTY,0.3831,0.3787
prediction,1WU2,0.4565,0.4528
prediction,1WV8,0.4927,0.472
prediction,1WW9,0.425,0.4369
prediction,1X1Q,0.4663,0.4703
prediction,1X6O,0.4455,0.44
prediction,1XVS,0.3897,0.3834
prediction,1XX1,0.3556,0.3584
prediction,1Y7O,0.3883,0.379
prediction,1Y8Q,0.3693,0.359
prediction,1YEM,0.3811,0.3838
prediction,1YK3,0.3942,0.4064
prediction,1YMQ,0.4006,0.4234
prediction,1Z05,0.5104,0.5055
prediction,1Z3X,0.366,0.3739
prediction,1ZEJ,0.4771,0.4503
prediction,1ZJ8,0.3305,0.3271
prediction,1ZKL,0.3824,0.3795
prediction,1ZZ0,0.3562,0.3507
prediction,2A25,0.4003,0.4018
prediction,2A3V,0.4929,0.4847
prediction,2A9S,0.3591,0.3471
prediction,2ACJ,0.4912,0.4832
prediction,2AE0,0.5202,0.526
prediction,2AG0,0.3811,0.3796
prediction,2AHR,0.473,0.4699
prediction,2AP2,0.5229,0.5239
prediction,2AQ4,0.4147,0.4003
prediction,2B2N,0.4819,0.4798
prediction,2B3X,0.4922,0.4746
prediction,2B5E,0.5129,0.4962
prediction,2B7O,0.3912,0.3948
prediction,2BON,0.4059,0.4068
prediction,2BTY,0.4163,0.4065
prediction,2C8X,0.4815,0.4854
prediction,2C90,0.469,0.4552
prediction,2CB4,0.326,0.3255
prediction,2CCH,0.4435,0.4479
prediction,2CCM,0.3826,0.3842
prediction,2CKL,0.4266,0.3956
prediction,2CZV,0.3866,0.3689
prediction,2D0T,0.3545,0.3563
prediction,2D68,0.4341,0.4169
prediction,2DOB,0.5547,0.5488
prediction,2DQ6,0.4463,0.4457
prediction,2DRY,0.4469,0.4781
prediction,2DX6,0.4239,0.4101
prediction,2E1M,0.5103,0.5517
prediction,2EO4,0.4037,0.4277
prediction,2EU9,0.4188,0.4231
prediction,2EXU,0.532,0.5072
prediction,2F1F,0.4598,0.4678
prediction,2F2E,0.4179,0.3753
prediction,2F8L,0.3543,0.3439
prediction,2F9I,0.3968,0.384
prediction,2F9Z,0.349,0.3465
prediction,2FEX,0.4059,0.4127
prediction,2FFF,0.3279,0.3412
prediction,2FH9,0.4898,0.4919
prediction,2FTX,0.4193,0.4489
prediction,2G9W,0.4974,0.4577
prediction,2GA1,0.5139,0.4807
prediction,2GA9,0.3941,0.4271
prediction,2GD9,0.4741,0.4768
prediction,2GT1,0.4645,0.481
prediction,2GUH,0.4223,0.4208
prediction,2HXW,0.4054,0.3957
prediction,2I53,0.3761,0.3608
prediction,2I7H,0.3942,0.3987
prediction,2IJE,0.3965,0.403
prediction,2IO7,0.2997,0.3069
prediction,2IUC,0.3532,0.3534
prediction,2IVF,0.4529,0.455
prediction,2IVM,0.3681,0.3325
prediction,2JAC,0.3761,0.3949
prediction,2JFN,0.3994,0.3862
prediction,2JH3,0.3764,0.3758
prediction,2NLY,0.3063,0.2893
prediction,2NN4,0.4103,0.4081
prediction,2NTX,0.4859,0.4737
prediction,2NVN,0.4122,0.4305
prediction,2OD8,0.3997,0.4086
prediction,2OO2,0.3565,0.3425
prediction,2OO3,0.3169,0.3255
prediction,2P0U,0.3077,0.3137
prediction,2P1L,0.3798,0.3892
prediction,2P38,0.461,0.454
prediction,2P62,0.4345,0.46
prediction,2P8J,0.3963,0.3949
prediction,2P8Q,0.4881,0.4768
prediction,2PAV,0.4673,0.4512
prediction,2PJS,0.4161,0.4121
prediction,2PK9,0.3969,0.3981
prediction,2PN0,0.4879,0.4858
prediction,2PQN,0.4615,0.3979
prediction,2PQV,0.4351,0.4268
prediction,2PY2,0.4142,0.4246
prediction,2Q1Z,0.467,0.4525
prediction,2QCO,0.4698,0.3986
prediction,2QE9,0.4362,0.4328
prediction,2QH9,0.4167,0.406
prediction,2QHL,0.4469,0.4397
prediction,2QKL,0.442,0.5072
prediction,2QL3,0.4087,0.3942
prediction,2QM7,0.433,0.415
prediction,2QML,0.4209,0.4293
prediction,2QOS,0.4417,0.4509
prediction,2QSV,0.3809,0.3987
prediction,2QYA,0.4008,0.4289
prediction,2R5F,0.4003,0.3888
prediction,2R6R,0.3924,0.3952
prediction,2RCC,0.43,0.4371
prediction,2RH3,0.3454,0.3352
prediction,2V62,0.3806,0.3814
prediction,2VEF,0.4417,0.4472
prediction,2VUN,0.3545,0.3418
prediction,2VZB,0.3668,0.3657
prediction,2W3X,0.4204,0.4349
prediction,2W9Y,0.4433,0.433
prediction,2WDZ,0.3769,0.3836
prediction,2WNH,0.3432,0.3393
prediction,2WP1,0.4991,0.4877
prediction,2X1C,0.3213,0.3191
prediction,2X26,0.5121,0.5246
prediction,2XD0,0.4649,0.4618
prediction,2XDO,0.3357,0.332
prediction,2XN4,0.4323,0.4182
prediction,2XPI,0.3958,0.4021
prediction,2XPL,0.385,0.4112
prediction,2XVS,0.4797,0.5007
prediction,2Y9W,0.3799,0.3862
prediction,2YEU,0.443,0.443
prediction,2YFA,0.4769,0.4766
prediction,2YGB,0.4154,0.4129
prediction,2YGK,0.4207,0.4204
prediction,2YJT,0.3361,0.3695
prediction,2YN0,0.3596,0.3484
prediction,2Z1D,0.326,0.3183
prediction,2Z1Z,0.3149,0.319
prediction,2Z7E,0.4422,0.4632
prediction,2ZIU,0.4968,0.4994
prediction,2ZME,0.4291,0.437
prediction,2ZON,0.338,0.3453
prediction,2ZUL,0.4357,0.3981
prediction,3A58,0.4261,0.4011
prediction,3ADO,0.4483,0.4323
prediction,3AMH,0.3072,0.3148
prediction,3AQG,0.3542,0.3408
prediction,3ATQ,0.3371,0.3544
prediction,3AV4,0.4588,0.4567
prediction,3B2D,0.4393,0.4605
prediction,3B8I,0.396,0.4091
prediction,3BCI,0.335,0.3271
prediction,3BGU,0.4496,0.4444
prediction,3BJ6,0.5121,0.5112
prediction,3BNK,0.3913,0.4014
prediction,3BVQ,0.4443,0.4217
prediction,3C7J,0.5371,0.5569
prediction,3CAX,0.351,0.3216
prediction,3CB0,0.4191,0.4224
prediction,3CB5,0.3584,0.3495
prediction,3CBM,0.3679,0.3916
prediction,3CGG,0.3625,0.3898
prediction,3CMQ,0.3497,0.3369
prediction,3CQO,0.365,0.3878
prediction,3CU3,0.4816,0.4631
prediction,3CXM,0.3705,0.3757
prediction,3D1M,0.3944,0.389
prediction,3D49,0.4924,0.5016
prediction,3DEE,0.4404,0.4759
prediction,3DIW,0.4497,0.4439
prediction,3DJD,0.3725,0.374
prediction,3DJN,0.3804,0.3216
prediction,3DLA,0.3165,0.3217
prediction,3DXI,0.3652,0.3525
prediction,3E7P,0.4098,0.4374
prediction,3E8S,0.3778,0.3826
prediction,3E8V,0.4098,0.419
prediction,3e+98,0.4724,0.4821
prediction,3e+99,0.4242,0.4076
prediction,3EC1,0.5019,0.5065
prediction,3ED4,0.4122,0.4089
prediction,3EFY,0.4658,0.4499
prediction,3EUS,0.3722,0.3668
prediction,3FBI,0.4349,0.4505
prediction,3FJU,0.4035,0.3938
prediction,3FKK,0.3217,0.3003
prediction,3FPR,0.4217,0.4255
prediction,3FVE,0.484,0.4842
prediction,3G39,0.376,0.3459
prediction,3G3O,0.3814,0.3871
prediction,3G6L,0.3946,0.3851
prediction,3G85,0.4521,0.4679
prediction,3GF6,0.3741,0.3848
prediction,3GLR,0.4394,0.4484
prediction,3GM5,0.4725,0.5078
prediction,3GMV,0.3819,0.4105
prediction,3GQU,0.432,0.4287
prediction,3GR5,0.4671,0.4561
prediction,3GXQ,0.4477,0.4638
prediction,3H1T,0.4076,0.4036
prediction,3H6E,0.3758,0.3929
prediction,3H6R,0.3597,0.3388
prediction,3H7O,0.3334,0.3089
prediction,3HBC,0.3762,0.3753
prediction,3HHC,0.4336,0.4478
prediction,3HL0,0.4634,0.4671
prediction,3HST,0.3348,0.3327
prediction,3HTK,0.5072,0.5016
prediction,3HTV,0.4476,0.4907
prediction,3I38,0.4389,0.4356
prediction,3IC8,0.4658,0.4602
prediction,3IHU,0.4683,0.4569
prediction,3IUG,0.4209,0.4183
prediction,3IVB,0.5145,0.5406
prediction,3JST,0.4091,0.4131
prediction,3JWH,0.4151,0.4308
prediction,3KFW,0.435,0.4083
prediction,3KGR,0.3945,0.3982
prediction,3KKD,0.4886,0.4711
prediction,3KKE,0.3782,0.3591
prediction,3KOL,0.4563,0.4711
prediction,3KXR,0.4939,0.537
prediction,3KZP,0.4895,0.4846
prediction,3L1W,0.331,0.3328
prediction,3L2H,0.4134,0.407
prediction,3L6F,0.4713,0.4953
prediction,3LLI,0.4002,0.3513
prediction,3LOC,0.421,0.3996
prediction,3LS0,0.3935,0.356
prediction,3LW3,0.3679,0.361
prediction,3M1T,0.4917,0.4568
prediction,3M91,0.575,0.5592
prediction,3MB2,0.4787,0.4823
prediction,3MKR,0.3983,0.393
prediction,3ML3,0.4193,0.4288
prediction,3MML,0.4256,0.4269
prediction,3MQ2,0.4475,0.4328
prediction,3MV2,0.3884,0.3846
prediction,3MYU,0.3554,0.3685
prediction,3N39,0.3701,0.3942
prediction,3N55,0.4014,0.4063
prediction,3N5L,0.3744,0.3835
prediction,3N74,0.3324,0.3298
prediction,3N9U,0.3752,0.3778
prediction,3NJE,0.4261,0.444
prediction,3NO8,0.3831,0.3916
prediction,3OAP,0.3848,0.3794
prediction,3OC7,0.4195,0.3902
prediction,3OEC,0.396,0.3878
prediction,3OFJ,0.4,0.4377
prediction,3OOQ,0.3237,0.3262
prediction,3P86,0.4308,0.4272
prediction,3PFY,0.4788,0.4688
prediction,3PPU,0.3053,0.3093
prediction,3PZ8,0.3913,0.3805
prediction,3QC1,0.4892,0.4432
prediction,3QKL,0.4353,0.4214
prediction,3QLA,0.4999,0.5114
prediction,3QNM,0.3537,0.3517
prediction,3QTA,0.4691,0.4412
prediction,3QVJ,0.3478,0.3325
prediction,3R0Q,0.339,0.3421
prediction,3R6B,0.5639,0.5307
prediction,3RAZ,0.3524,0.3452
prediction,3RLE,0.5137,0.532
prediction,3RQ4,0.4178,0.4365
prediction,3RST,0.3606,0.3494
prediction,3SF5,0.3774,0.3651
prediction,3SHW,0.3962,0.4139
prediction,3SOL,0.467,0.4932
prediction,3SUZ,0.5123,0.4976
prediction,3T0Q,0.4636,0.463
prediction,3T9O,0.3906,0.3393
prediction,3TCO,0.3811,0.4015
prediction,3THF,0.4593,0.434
prediction,3TIX,0.4185,0.4176
prediction,3TSZ,0.3903,0.3929
prediction,3TU7,0.4747,0.5198
prediction,3TVA,0.4034,0.3907
prediction,3U1D,0.4446,0.431
prediction,3U2A,0.447,0.4253
prediction,3U66,0.4025,0.4728
prediction,3U9L,0.403,0.4014
prediction,3UN9,0.4469,0.4498
prediction,3UNG,0.4612,0.4774
prediction,3UTN,0.4924,0.4817
prediction,3UVO,0.3513,0.3803
prediction,3V70,0.3406,0.3664
prediction,3VD8,0.5526,0.5738
prediction,3VEP,0.5427,0.5343
prediction,3VFO,0.4406,0.4377
prediction,3VFP,0.4257,0.4275
prediction,3VHL,0.4812,0.4891
prediction,3VPB,0.4339,0.434
prediction,3VRJ,0.472,0.4701
prediction,3VSM,0.4255,0.409
prediction,3VST,0.3878,0.3828
prediction,3VUQ,0.4774,0.4815
prediction,3VYN,0.3005,0.3159
prediction,3W0L,0.4262,0.4359
prediction,3W3T,0.4308,0.4293
prediction,3W3W,0.4047,0.4116
prediction,3W56,0.3961,0.3986
prediction,3W8W,0.4383,0.4578
prediction,3WNV,0.4056,0.4107
prediction,3WTQ,0.3941,0.3985
prediction,3WW1,0.343,0.3549
prediction,3X0X,0.3288,0.3259
prediction,3ZH9,0.4563,0.4415
prediction,3ZIE,0.387,0.409
prediction,4AK1,0.4709,0.4675
prediction,4ALY,0.3449,0.3319
prediction,4AOM,0.4006,0.4144
prediction,4AUP,0.3521,0.3732
prediction,4B18,0.4006,0.4091
prediction,4BU1,0.4755,0.4952
prediction,4BVE,0.4448,0.4421
prediction,4BX9,0.4247,0.4318
prediction,4C1S,0.3436,0.3318
prediction,4C6R,0.4305,0.4187
prediction,4CE5,0.3425,0.3367
prediction,4CGB,0.5383,0.5557
prediction,4CH9,0.375,0.363
prediction,4CKT,0.4028,0.3473
prediction,4CLF,0.4902,0.5038
prediction,4CSO,0.3585,0.3793
prediction,4D51,0.4024,0.3974
prediction,4DA2,0.3388,0.3431
prediction,4DOV,0.4676,0.4602
prediction,4EOY,0.4551,0.4578
prediction,4EWI,0.4438,0.4443
prediction,4EX5,0.464,0.4577
prediction,4F0F,0.4608,0.481
prediction,4F27,0.4101,0.4203
prediction,4FC4,0.2816,0.2758
prediction,4FE9,0.3559,0.3671
prediction,4FIX,0.4143,0.4057
prediction,4FYU,0.3929,0.3834
prediction,4G3H,0.4544,0.4584
prediction,4GMV,0.3784,0.3912
prediction,4H9D,0.4664,0.4582
prediction,4HIA,0.4171,0.4059
prediction,4HJW,0.378,0.3739
prediction,4HKA,0.4249,0.4114
prediction,4HUJ,0.4242,0.4332
prediction,4ICH,0.4029,0.3821
prediction,4IDI,0.3592,0.3689
prediction,4JGX,0.4034,0.4058
prediction,4JHN,0.3862,0.3956
prediction,4JX2,0.4829,0.4915
prediction,4K36,0.4329,0.423
prediction,4KH9,0.3889,0.408
prediction,4KYQ,0.4049,0.4331
prediction,4L7Z,0.4248,0.4183
prediction,4L9U,0.5462,0.535
prediction,4LD7,0.3657,0.3635
prediction,4LZ2,0.4148,0.4284
prediction,4MAA,0.3833,0.3578
prediction,4ME9,0.4399,0.4059
prediction,4MG5,0.3869,0.3811
prediction,4MG6,0.4026,0.4093
prediction,4MJG,0.3546,0.3465
prediction,4N39,0.4315,0.417
prediction,4N5X,0.4628,0.4617
prediction,4NPJ,0.4744,0.4612
prediction,4NUF,0.431,0.4378
prediction,4NWZ,0.3629,0.3631
prediction,4O62,0.4626,0.4758
prediction,4O92,0.5426,0.5578
prediction,4OC8,0.4929,0.5072
prediction,4OF8,0.4256,0.4043
prediction,4OFF,0.5222,0.509
prediction,4OX3,0.3656,0.3732
prediction,4PDE,0.3741,0.3733
prediction,4PFS,0.3868,0.4011
prediction,4PQZ,0.3683,0.3695
prediction,4PRA,0.4078,0.3869
prediction,4PSI,0.4553,0.5118
prediction,4PV4,0.4048,0.4074
prediction,4Q13,0.3762,0.3829
prediction,4Q63,0.4221,0.383
prediction,4QH8,0.391,0.3798
prediction,4QKO,0.4242,0.4324
prediction,4QN8,0.3833,0.3897
prediction,4QQR,0.3813,0.3971
prediction,4QTP,0.3706,0.3925
prediction,4QXA,0.4043,0.4334
prediction,4R10,0.3581,0.3501
prediction,4RHO,0.4068,0.3845
prediction,4RK2,0.5102,0.5338
prediction,4RO5,0.4869,0.4923
prediction,4RQM,0.4331,0.434
prediction,4TWL,0.3761,0.3898
prediction,4U7A,0.3546,0.3656
prediction,4UCI,0.5229,0.5038
prediction,4UDA,0.4091,0.4058
prediction,4UDP,0.3229,0.332
prediction,4UWX,0.4352,0.4272
prediction,4UYI,0.4396,0.4608
prediction,4V15,0.4014,0.3952
prediction,4W2R,0.378,0.3789
prediction,4WAL,0.4417,0.442
prediction,4WIP,0.3833,0.4041
prediction,4WWM,0.4392,0.4217
prediction,4X3E,0.3985,0.3739
prediction,4XLG,0.3957,0.3897
prediction,4ZSF,0.4795,0.4738
prediction,4ZV9,0.3411,0.3451
prediction,5A0T,0.4381,0.4241
prediction,5AA5,0.378,0.3825
prediction,5AD0,0.4346,0.4455
prediction,5B5I,0.5638,0.5675
prediction,5B5Q,0.36,0.3644
prediction,5BOV,0.3305,0.3223
prediction,5BV6,0.4882,0.4771
prediction,5C5V,0.4595,0.4483
prediction,5C7F,0.3934,0.4044
prediction,5C8H,0.4558,0.4457
prediction,5CVR,0.4343,0.395
prediction,5D5H,0.3786,0.3688
prediction,5DAY,0.4747,0.4704
prediction,5DBE,0.3609,0.3382
prediction,5DRM,0.3843,0.3538
prediction,5000000000000000.0,0.4122,0.414
prediction,5EBB,0.3869,0.3936
prediction,5EG2,0.372,0.3715
prediction,5EGE,0.3193,0.3181
prediction,5ETA,0.4362,0.4156
prediction,5G09,0.3989,0.3878
prediction,5G23,0.4416,0.4408
prediction,5G4I,0.4385,0.4273
prediction,5GHR,0.4402,0.4241
prediction,5GJM,0.3679,0.3972
prediction,5GKV,0.3802,0.3926
prediction,5GOX,0.5445,0.5507
prediction,5GZI,0.3955,0.418
prediction,5H5Y,0.4631,0.4812
prediction,5HRJ,0.4437,0.4693
prediction,5I2H,0.4321,0.4157
prediction,5I47,0.3972,0.3849
prediction,5I9E,0.4095,0.4377
prediction,5IAW,0.4459,0.4288
prediction,5IQM,0.4504,0.4668
prediction,5IY4,0.3978,0.397
prediction,5IYX,0.4053,0.4227
prediction,5J0A,0.4362,0.4268
prediction,5J4A,0.4184,0.436
prediction,5J9K,0.4295,0.3983
prediction,5JD9,0.4518,0.4496
prediction,5JHO,0.3818,0.4056
prediction,5JI5,0.357,0.3631
prediction,5JTA,0.3518,0.3681
prediction,5K2X,0.4788,0.477
prediction,5K6S,0.4526,0.4192
prediction,5LTD,0.3976,0.379
prediction,5LU2,0.3693,0.3708
prediction,5LW0,0.3574,0.3649
prediction,5ME9,0.4155,0.4146
prediction,5MLK,0.4159,0.4079
prediction,5MLZ,0.4551,0.4609
prediction,5MXY,0.4048,0.4001
prediction,5N6H,0.3293,0.3181
prediction,5N8R,0.4961,0.482
prediction,5NTB,0.3529,0.352
prediction,5O6B,0.5211,0.5245
prediction,5OF1,0.3954,0.3885
prediction,5OF9,0.42,0.4177
prediction,5OMB,0.4852,0.4777
prediction,5OU8,0.4957,0.5319
prediction,5Q1D,0.4721,0.487
prediction,5Q1H,0.458,0.4951
prediction,5SVE,0.3898,0.4058
prediction,5T0K,0.428,0.444
prediction,5T0M,0.3949,0.4145
prediction,5T1G,0.4129,0.4162
prediction,5TDY,0.4963,0.519
prediction,5TJA,0.3608,0.3838
prediction,5TLD,0.3774,0.3833
prediction,5TM9,0.3773,0.3816
prediction,5TTA,0.3728,0.3699
prediction,5TV7,0.3406,0.3455
prediction,5U6K,0.3981,0.4002
prediction,5UQP,0.5297,0.5209
prediction,5UV4,0.3732,0.3765
prediction,5UX5,0.4064,0.4027
prediction,5UXG,0.3885,0.4058
prediction,5UZU,0.3817,0.3941
prediction,5V8W,0.4688,0.4772
prediction,5VIA,0.3449,0.323
prediction,5VLB,0.4078,0.4103
prediction,5VQG,0.4195,0.4411
prediction,5WB4,0.3767,0.3855
prediction,5WJQ,0.5766,0.5676
prediction,5WRR,0.4279,0.4261
prediction,5WWW,0.4464,0.3681
prediction,5X6S,0.3553,0.3633
prediction,5XG9,0.3822,0.3777
prediction,5XHW,0.3634,0.3318
prediction,5XMZ,0.4102,0.4079
prediction,5XRW,0.4748,0.4944
prediction,5XUK,0.4079,0.4137
prediction,5XUQ,0.3719,0.4084
prediction,5XVW,0.3837,0.3644
prediction,5Y9I,0.4281,0.4127
prediction,5YAY,0.4121,0.3914
prediction,5Z6D,0.3634,0.3806
prediction,5Z6V,0.4524,0.4481
prediction,5Z8L,0.3938,0.4141
prediction,5ZOO,0.3586,0.3408
prediction,6A0E,0.3732,0.3954
prediction,6A93,0.5072,0.5206
prediction,6AF3,0.4981,0.4637
prediction,6AGI,0.3891,0.4003
prediction,6B8Q,0.5048,0.5082
prediction,6CGO,0.4983,0.5042
prediction,6COK,0.3422,0.3444
prediction,6CQL,0.4521,0.4324
prediction,6CW5,0.4595,0.4914
prediction,6D2V,0.4035,0.4002
prediction,6D97,0.2982,0.2959
prediction,6DDT,0.4044,0.4016
prediction,6DF3,0.3983,0.4235
prediction,6E0M,0.4985,0.4899
prediction,6EC7,0.4914,0.4854
prediction,6EUS,0.3388,0.34
prediction,6EWJ,0.3244,0.3317
prediction,6EYS,0.3096,0.3113
prediction,6F1S,0.3522,0.2963
prediction,6FJU,0.4582,0.4599
prediction,6FOK,0.4006,0.394
prediction,6FX6,0.439,0.4505
prediction,6GBS,0.4537,0.4472
prediction,6GP7,0.4385,0.3879
prediction,6GXS,0.4348,0.4355
prediction,6HFG,0.402,0.3461
prediction,6I1R,0.364,0.3384
prediction,6I50,0.3237,0.3146
prediction,6IIW,0.5144,0.4569
prediction,6IQJ,0.3944,0.3921
prediction,6IR8,0.5102,0.4886
prediction,6J17,0.4327,0.4093
prediction,6J72,0.4382,0.4426
prediction,6J7Y,0.4001,0.3976
prediction,6JC4,0.4148,0.4332
prediction,6JJW,0.5522,0.5227
prediction,6JZA,0.414,0.3702
prediction,6K6R,0.4156,0.3891
prediction,6L8E,0.4976,0.4965
prediction,6L9F,0.4446,0.4558
prediction,6LKG,0.3508,0.346
prediction,6M20,0.5101,0.5123
prediction,6N5U,0.3248,0.3135
prediction,6O6N,0.4312,0.4139
prediction,6OHI,0.4913,0.545
prediction,6PEU,0.4269,0.4221
prediction,6PJQ,0.4036,0.4127
prediction,6PNP,0.4169,0.3972
prediction,6PUP,0.4029,0.441
prediction,6R0L,0.3931,0.4046
prediction,6R6T,0.3629,0.3509
prediction,6RFT,0.3426,0.3424
prediction,6RPT,0.4371,0.4357
prediction,6RR0,0.4847,0.4793
prediction,6RSN,0.4101,0.4206
prediction,6S2P,0.4297,0.4268
prediction,6SRB,0.3899,0.3845
prediction,6SXW,0.4152,0.3804
prediction,6T80,0.3575,0.3634
prediction,6TCT,0.456,0.4588
prediction,6TT5,0.4003,0.4054
prediction,6TWJ,0.3945,0.3953
prediction,6U2D,0.4386,0.4303
prediction,6U75,0.3779,0.3792
prediction,6UB7,0.4003,0.3864
prediction,6V7M,0.4958,0.4774
prediction,6VD8,0.4281,0.3809
prediction,6VHI,0.3242,0.3128
prediction,6VPT,0.3813,0.36
prediction,6VS7,0.5305,0.535
prediction,6W9K,0.4223,0.3923
prediction,6WT6,0.4462,0.4555
prediction,6XZ6,0.3697,0.3797
prediction,6YFV,0.5321,0.5423
prediction,6Z1S,0.4237,0.4273
prediction,6Z3U,0.4693,0.4847
prediction,6ZH1,0.4905,0.5131
prediction,6ZUW,0.4587,0.4698
prediction,7AUI,0.4051,0.4321
prediction,7BV5,0.4325,0.451
prediction,7BW1,0.344,0.3373
prediction,7C7E,0.5047,0.5421
prediction,7CFD,0.4739,0.4749
prediction,7CWW,0.482,0.4788
prediction,7D86,0.449,0.386
prediction,7DUF,0.4901,0.479
prediction,7E2E,0.4756,0.4899
prediction,7EWF,0.4699,0.4253
prediction,7F9K,0.4946,0.4996
prediction,7F9M,0.4112,0.4048
prediction,7FHR,0.4227,0.4216
prediction,7JI4,0.4317,0.4664
prediction,7JN9,0.5701,0.5058
prediction,7K3J,0.3975,0.359
prediction,7KQ0,0.3822,0.3983
prediction,7LF4,0.3811,0.4089
refmac,1A0F,0.2174,0.2426
refmac,1A46,0.3193,0.3456
refmac,1A4I,0.3341,0.3791
refmac,1A7V,0.2393,0.3046
refmac,1AJ6,0.329,0.3512
refmac,1AK5,0.2081,0.2266
refmac,1ANU,0.1945,0.2346
refmac,1APX,0.2466,0.2955
refmac,1AQZ,0.2293,0.2647
refmac,1B9K,0.2343,0.2763
refmac,1BIA,0.2865,0.3472
refmac,1BM7,0.2055,0.2468
refmac,1BX0,0.2361,0.2842
refmac,1BXE,0.3094,0.3342
refmac,1BYW,0.2243,0.2289
refmac,1C3F,0.2511,0.3122
refmac,1CI0,0.2352,0.2808
