engine,code,r_work,r_free
ml_noalpha,1M6E,0.222,0.2456
ml_noalpha,1N0L,0.3054,0.3737
ml_noalpha,1N6J,0.3886,0.4341
ml_noalpha,1O4V,0.2014,0.2418
ml_noalpha,1O5T,0.3192,0.3808
ml_noalpha,1O6D,0.2679,0.3048
ml_noalpha,1OBR,0.2061,0.2444
ml_noalpha,1OC0,0.2631,0.3413
ml_noalpha,1OE4,0.2578,0.3008
ml_noalpha,1OMW,0.2737,0.3432
ml_noalpha,1OSC,0.2138,0.2663
ml_noalpha,1OY5,0.3236,0.3649
ml_noalpha,1P3C,0.1899,0.2237
ml_noalpha,1P4X,0.3932,0.4414
ml_noalpha,1PG3,0.2212,0.2849
ml_noalpha,1PJR,0.3407,0.3833
ml_noalpha,1PXZ,0.2182,0.2498
ml_noalpha,1Q15,0.2575,0.3102
ml_noalpha,1QB5,0.1912,0.2411
ml_noalpha,1QD9,0.274,0.3292
ml_noalpha,1QJV,0.2205,0.2765
ml_noalpha,1QZN,0.2457,0.2901
ml_noalpha,1R1K,0.2848,0.3588
ml_noalpha,1R3U,0.2176,0.2666
ml_noalpha,1RFX,0.3414,0.3816
ml_noalpha,1RHC,0.2194,0.2471
ml_noalpha,1RJ1,0.2461,0.284
ml_noalpha,1RJD,0.2406,0.2744
ml_noalpha,1RKG,0.2599,0.3362
ml_noalpha,1RZN,0.2334,0.2764
ml_noalpha,1S1C,0.3096,0.3817
ml_noalpha,1SO2,0.2478,0.2971
ml_noalpha,1SOT,0.3181,0.3594
ml_noalpha,1T3I,0.23,0.2698
ml_noalpha,1TE5,0.3044,0.349
ml_noalpha,1TGS,0.2294,0.2866
ml_noalpha,1TML,0.1732,0.2378
ml_noalpha,1TVL,0.2477,0.2786
ml_noalpha,1U1I,0.2625,0.3316
ml_noalpha,1UEF,0.3719,0.4232
ml_noalpha,1UJK,0.2905,0.3326
ml_noalpha,1UKV,0.3036,0.3497
ml_noalpha,1UTB,0.2308,0.2695
ml_noalpha,1UVQ,0.295,0.3362
ml_noalpha,1V8Q,0.2698,0.35
ml_noalpha,1VB3,0.2421,0.2671
ml_noalpha,1VCE,0.2567,0.3056
ml_noalpha,1VDD,0.2638,0.3284
ml_noalpha,1VER,0.2322,0.2559
ml_noalpha,1VK0,0.2562,0.3102
ml_noalpha,1VLM,0.2721,0.3315
ml_noalpha,1VR4,0.2772,0.3391
ml_noalpha,1W2Y,0.2659,0.2955
ml_noalpha,1W8A,0.2207,0.2711
ml_noalpha,1WD8,0.243,0.3071
ml_noalpha,1WDV,0.2705,0.3134
ml_noalpha,1WLZ,0.2734,0.296
ml_noalpha,1WTJ,0.2511,0.278
ml_noalpha,1WTY,0.2653,0.3173
ml_noalpha,1WU2,0.3198,0.3758
ml_noalpha,1WV8,0.3342,0.4337
ml_noalpha,1WW9,0.267,0.3063
ml_noalpha,1X1Q,0.3903,0.4188
ml_noalpha,1X6O,0.2795,0.2945
ml_noalpha,1XVS,0.2891,0.327
ml_noalpha,1XX1,0.2444,0.2776
ml_noalpha,1Y08,0.2435,0.2946
ml_noalpha,1Y7O,0.3059,0.3589
ml_noalpha,1Y8Q,0.2256,0.2652
ml_noalpha,1Y98,0.2588,0.3313
ml_noalpha,1YEM,0.2484,0.2933
ml_noalpha,1YK3,0.2665,0.3196
ml_noalpha,1YMQ,0.221,0.2543
ml_noalpha,1YRX,0.4855,0.5631
ml_noalpha,1Z05,0.3189,0.352
ml_noalpha,1Z3X,0.2549,0.2829
ml_noalpha,1ZEJ,0.3604,0.3879
ml_noalpha,1ZJ8,0.2475,0.2992
ml_noalpha,1ZKL,0.2444,0.2678
ml_noalpha,1ZZ0,0.2235,0.2493
ml_noalpha,2A25,0.2863,0.3516
ml_noalpha,2A3V,0.466,0.4903
ml_noalpha,2A65,0.2421,0.2641
ml_noalpha,2A9S,0.2221,0.239
ml_noalpha,2ACJ,0.4973,0.5083
ml_noalpha,2AE0,0.4678,0.4967
ml_noalpha,2AG0,0.2272,0.2948
ml_noalpha,2AHR,0.2937,0.3526
ml_noalpha,2AP2,0.551,0.5813
ml_noalpha,2AQ4,0.3196,0.3563
ml_noalpha,2B2N,0.418,0.4248
ml_noalpha,2B3X,0.3893,0.4307
ml_noalpha,2B5E,0.4857,0.4931
ml_noalpha,2B7O,0.27,0.3115
ml_noalpha,2BON,0.269,0.3152
ml_noalpha,2BTY,0.284,0.3595
ml_noalpha,2C8X,0.3606,0.4222
ml_noalpha,2C90,0.3652,0.446
ml_noalpha,2CB4,0.247,0.2979
ml_noalpha,2CCH,0.3168,0.3538
ml_noalpha,2CCM,0.2455,0.2819
ml_noalpha,2CKL,0.2985,0.3338
ml_noalpha,2CZV,0.2499,0.2982
ml_noalpha,2D0T,0.2347,0.2771
ml_noalpha,2D68,0.2837,0.2659
ml_noalpha,2DOB,0.5511,0.5978
ml_noalpha,2DQ6,0.2516,0.2717
ml_noalpha,2DRY,0.3122,0.4193
ml_noalpha,2DX6,0.281,0.361
ml_noalpha,2E1M,0.5287,0.5692
ml_noalpha,2EO4,0.2736,0.3183
ml_noalpha,2EU9,0.2625,0.2965
ml_noalpha,2EXU,0.5258,0.5555
ml_noalpha,2F1F,0.267,0.2993
ml_noalpha,2F2E,0.2773,0.331
ml_noalpha,2F8L,0.2478,0.2768
ml_noalpha,2F9I,0.2368,0.2713
ml_noalpha,2F9Z,0.2599,0.3261
ml_noalpha,2FEX,0.2973,0.3344
ml_noalpha,2FFF,0.2286,0.2968
ml_noalpha,2FH9,0.3568,0.3983
ml_noalpha,2FTX,0.2829,0.3679
ml_noalpha,2G9W,0.3964,0.4298
ml_noalpha,2GA1,0.4552,0.4977
ml_noalpha,2GA9,0.2483,0.3181
ml_noalpha,2GD9,0.3385,0.3786
ml_noalpha,2GT1,0.2819,0.3402
ml_noalpha,2GUH,0.3447,0.3698
ml_noalpha,2HXW,0.2711,0.2993
ml_noalpha,2I53,0.2318,0.2599
ml_noalpha,2I7H,0.2614,0.3109
ml_noalpha,2IJE,0.2585,0.3179
ml_noalpha,2IO7,0.2146,0.286
ml_noalpha,2IUC,0.2248,0.278
ml_noalpha,2IVF,0.331,0.3627
ml_noalpha,2IVM,0.1948,0.2327
ml_noalpha,2JAC,0.2401,0.2943
ml_noalpha,2JBV,0.2456,0.2932
ml_noalpha,2JFN,0.2536,0.2686
ml_noalpha,2JH3,0.2575,0.3009
ml_noalpha,2NLY,0.2191,0.235
ml_noalpha,2NN4,0.253,0.3112
ml_noalpha,2NTX,0.3456,0.3907
ml_noalpha,2NVN,0.2979,0.3423
ml_noalpha,2OD8,0.2744,0.3675
ml_noalpha,2OO2,0.234,0.2727
ml_noalpha,2OO3,0.2073,0.2527
ml_noalpha,2P0U,0.2194,0.2644
ml_noalpha,2P1L,0.2862,0.3492
ml_noalpha,2P38,0.3049,0.3523
ml_noalpha,2P62,0.2525,0.2893
ml_noalpha,2P8J,0.2814,0.3226
ml_noalpha,2P8Q,0.3268,0.3834
ml_noalpha,2PAV,0.2766,0.314
ml_noalpha,2PJS,0.2587,0.3212
ml_noalpha,2PK9,0.3188,0.3899
ml_noalpha,2PN0,0.3582,0.4083
ml_noalpha,2PQN,0.3448,0.3556
ml_noalpha,2PQV,0.2694,0.3071
ml_noalpha,2PY2,0.2536,0.2946
ml_noalpha,2Q1Z,0.4768,0.5138
ml_noalpha,2QCO,0.3109,0.3268
ml_noalpha,2QE9,0.3241,0.3694
ml_noalpha,2QH9,0.2784,0.332
ml_noalpha,2QHL,0.2662,0.2867
ml_noalpha,2QKL,0.3016,0.3979
ml_noalpha,2QL3,0.2632,0.3092
ml_noalpha,2QM7,0.2888,0.3375
ml_noalpha,2QML,0.3146,0.3614
ml_noalpha,2QOS,0.2928,0.3528
ml_noalpha,2QSV,0.2859,0.3533
ml_noalpha,2QYA,0.2914,0.3578
ml_noalpha,2R5F,0.2748,0.3185
ml_noalpha,2R6R,0.2555,0.3142
ml_noalpha,2RCC,0.2908,0.3299
ml_noalpha,2RH3,0.2335,0.2508
ml_noalpha,2UZ8,0.2681,0.323
ml_noalpha,2V62,0.2474,0.2817
ml_noalpha,2VEF,0.2758,0.3241
ml_noalpha,2VUN,0.2236,0.2541
ml_noalpha,2VZB,0.2331,0.2925
ml_noalpha,2W3X,0.2392,0.2764
ml_noalpha,2W9Y,0.2734,0.3138
ml_noalpha,2WDZ,0.2312,0.2801
ml_noalpha,2WNH,0.238,0.2638
ml_noalpha,2WP1,0.4981,0.4801
ml_noalpha,2X1C,0.215,0.2443
ml_noalpha,2X26,0.4095,0.485
ml_noalpha,2XD0,0.4059,0.4597
ml_noalpha,2XDO,0.247,0.3037
ml_noalpha,2XN4,0.3606,0.3979
ml_noalpha,2XPI,0.2371,0.2914
ml_noalpha,2XPL,0.2527,0.3391
ml_noalpha,2XVS,0.3443,0.435
ml_noalpha,2Y9W,0.2677,0.3381
ml_noalpha,2YEU,0.3507,0.3936
ml_noalpha,2YFA,0.3348,0.3674
ml_noalpha,2YGB,0.2689,0.3213
ml_noalpha,2YGK,0.317,0.3739
ml_noalpha,2YJT,0.2144,0.2844
ml_noalpha,2YN0,0.243,0.2757
ml_noalpha,2Z1D,0.2384,0.2838
ml_noalpha,2Z1Z,0.2106,0.2605
ml_noalpha,2Z7E,0.3285,0.3889
ml_noalpha,2ZIU,0.5493,0.5459
ml_noalpha,2ZME,0.3143,0.372
ml_noalpha,2ZON,0.2347,0.2692
ml_noalpha,2ZUL,0.2604,0.293
ml_noalpha,3A58,0.3386,0.3652
ml_noalpha,3ADO,0.2249,0.2604
ml_noalpha,3AJW,0.3791,0.4187
ml_noalpha,3AMH,0.1935,0.2489
ml_noalpha,3AQG,0.2555,0.3096
ml_noalpha,3ATQ,0.2417,0.2864
ml_noalpha,3AV4,0.3373,0.3861
ml_noalpha,3B23,0.4494,0.4905
ml_noalpha,3B2D,0.2744,0.3475
ml_noalpha,3B8I,0.2585,0.3127
ml_noalpha,3BCI,0.2364,0.2936
ml_noalpha,3BGU,0.3176,0.3551
ml_noalpha,3BJ6,0.334,0.3724
ml_noalpha,3BNK,0.2382,0.2893
ml_noalpha,3BVQ,0.3218,0.3798
ml_noalpha,3C7J,0.545,0.6186
ml_noalpha,3CAX,0.2251,0.2337
ml_noalpha,3CB0,0.25,0.277
ml_noalpha,3CB5,0.2652,0.3107
ml_noalpha,3CBM,0.2553,0.2892
ml_noalpha,3CGG,0.2836,0.3444
ml_noalpha,3CMQ,0.2199,0.2687
ml_noalpha,3CQO,0.226,0.2817
ml_noalpha,3CU3,0.352,0.4039
ml_noalpha,3CXM,0.2457,0.2704
ml_noalpha,3D1M,0.2778,0.299
ml_noalpha,3D49,0.3638,0.3767
ml_noalpha,3DEE,0.3444,0.4374
ml_noalpha,3DIW,0.4266,0.4777
ml_noalpha,3DJD,0.2569,0.2988
ml_noalpha,3DJN,0.2275,0.2306
ml_noalpha,3DLA,0.2134,0.2656
ml_noalpha,3DOH,0.2277,0.2795
ml_noalpha,3DXI,0.2934,0.3588
ml_noalpha,3E7P,0.2427,0.2928
ml_noalpha,3E8S,0.2719,0.302
ml_noalpha,3E8V,0.2583,0.28
ml_noalpha,3E98,0.3486,0.4015
ml_noalpha,3E99,0.311,0.324
ml_noalpha,3EC1,0.3549,0.4141
ml_noalpha,3ED4,0.2903,0.3415
ml_noalpha,3EFY,0.288,0.3235
ml_noalpha,3ER7,0.2929,0.3258
ml_noalpha,3EUS,0.2573,0.2954
ml_noalpha,3FBI,0.3278,0.367
ml_noalpha,3FJU,0.2921,0.3186
ml_noalpha,3FKK,0.2296,0.2624
ml_noalpha,3FPR,0.2793,0.3176
ml_noalpha,3FVE,0.27,0.3118
ml_noalpha,3FVV,0.2376,0.2917
ml_noalpha,3G39,0.2316,0.2492
ml_noalpha,3G3O,0.2596,0.3097
ml_noalpha,3G6L,0.2613,0.3151
ml_noalpha,3G85,0.2913,0.3442
ml_noalpha,3GF6,0.2902,0.3484
ml_noalpha,3GLR,0.2924,0.3259
ml_noalpha,3GM5,0.3041,0.3879
ml_noalpha,3GMV,0.312,0.3395
ml_noalpha,3GQU,0.3461,0.3588
ml_noalpha,3GR5,0.2861,0.3277
ml_noalpha,3GXQ,0.3741,0.4149
ml_noalpha,3H1T,0.2626,0.3242
ml_noalpha,3H6E,0.2652,0.3348
ml_noalpha,3H6R,0.2349,0.2816
ml_noalpha,3H7O,0.2263,0.26
ml_noalpha,3HBC,0.2942,0.3496
ml_noalpha,3HHC,0.3764,0.4473
ml_noalpha,3HL0,0.3206,0.3691
ml_noalpha,3HST,0.2345,0.2949
ml_noalpha,3HTK,0.4332,0.4463
ml_noalpha,3HTV,0.2947,0.366
ml_noalpha,3I38,0.3293,0.3787
ml_noalpha,3IC8,0.3356,0.3854
ml_noalpha,3IHU,0.3507,0.4296
ml_noalpha,3IUG,0.2591,0.2987
ml_noalpha,3IVB,0.3884,0.4792
ml_noalpha,3JST,0.2467,0.2873
ml_noalpha,3JWH,0.2814,0.3394
ml_noalpha,3KFW,0.3414,0.4248
ml_noalpha,3KGR,0.2521,0.3081
ml_noalpha,3KKD,0.3607,0.4356
ml_noalpha,3KKE,0.2382,0.2956
ml_noalpha,3KOL,0.3079,0.3657
ml_noalpha,3KXR,0.4197,0.4924
ml_noalpha,3KZP,0.3356,0.3854
ml_noalpha,3L1W,0.245,0.2742
ml_noalpha,3L2H,0.2913,0.3235
ml_noalpha,3L6F,0.3033,0.3436
ml_noalpha,3LLI,0.3135,0.3144
ml_noalpha,3LOC,0.3014,0.3525
ml_noalpha,3LS0,0.2323,0.2433
ml_noalpha,3LW3,0.2563,0.276
ml_noalpha,3M1T,0.3618,0.3795
ml_noalpha,3M91,0.5355,0.5322
ml_noalpha,3MB2,0.486,0.4916
ml_noalpha,3MKR,0.2457,0.286
ml_noalpha,3ML3,0.271,0.3051
ml_noalpha,3MML,0.2666,0.3256
ml_noalpha,3MQ2,0.2951,0.3479
ml_noalpha,3MV2,0.2594,0.3203
ml_noalpha,3MYU,0.2492,0.304
ml_noalpha,3N39,0.2306,0.3001
ml_noalpha,3N55,0.2988,0.3139
ml_noalpha,3N5L,0.275,0.3103
ml_noalpha,3N74,0.2544,0.3008
ml_noalpha,3N9U,0.2519,0.2884
ml_noalpha,3NJE,0.2707,0.2993
ml_noalpha,3NO8,0.2621,0.326
ml_noalpha,3NYY,0.2866,0.3208
ml_noalpha,3OAP,0.252,0.2645
ml_noalpha,3OC7,0.2236,0.2509
ml_noalpha,3OEC,0.2482,0.2962
ml_noalpha,3OFJ,0.2507,0.3215
ml_noalpha,3OOQ,0.2517,0.3071
ml_noalpha,3P86,0.2535,0.3114
ml_noalpha,3PFY,0.3461,0.3784
ml_noalpha,3PPU,0.2268,0.2672
ml_noalpha,3PZ8,0.2919,0.3411
ml_noalpha,3QC1,0.3724,0.417
ml_noalpha,3QDO,0.3424,0.3611
ml_noalpha,3QKL,0.2614,0.3047
ml_noalpha,3QLA,0.3505,0.3811
ml_noalpha,3QNM,0.2787,0.3111
ml_noalpha,3QTA,0.3324,0.3648
ml_noalpha,3QVJ,0.2681,0.324
ml_noalpha,3R0Q,0.2516,0.3268
ml_noalpha,3R6B,0.5433,0.5303
ml_noalpha,3RAZ,0.2721,0.3288
ml_noalpha,3RLE,0.4792,0.5216
ml_noalpha,3RQ4,0.2814,0.3273
ml_noalpha,3RST,0.2169,0.2558
ml_noalpha,3SF5,0.2144,0.3029
ml_noalpha,3SHW,0.2607,0.3059
ml_noalpha,3SOL,0.2859,0.3378
ml_noalpha,3SUZ,0.474,0.5083
ml_noalpha,3T0Q,0.3133,0.3746
ml_noalpha,3T9O,0.2562,0.3164
ml_noalpha,3TCO,0.2332,0.2922
ml_noalpha,3THF,0.2946,0.3145
ml_noalpha,3TIX,0.3634,0.4051
ml_noalpha,3TSZ,0.2749,0.3196
ml_noalpha,3TU7,0.36,0.4609
ml_noalpha,3TVA,0.2555,0.284
ml_noalpha,3U1D,0.3077,0.3528
ml_noalpha,3U2A,0.333,0.3581
ml_noalpha,3U66,0.3214,0.4244
ml_noalpha,3U9L,0.2598,0.3122
ml_noalpha,3UJ6,0.235,0.3038
ml_noalpha,3UN9,0.3401,0.4131
ml_noalpha,3UNG,0.3196,0.3663
ml_noalpha,3UTN,0.236,0.2676
ml_noalpha,3UVO,0.2529,0.3387
ml_noalpha,3V70,0.2372,0.3129
ml_noalpha,3VD8,0.5479,0.6137
ml_noalpha,3VEP,0.5697,0.5886
ml_noalpha,3VFO,0.3234,0.3642
ml_noalpha,3VFP,0.3701,0.3965
ml_noalpha,3VHL,0.3061,0.3727
ml_noalpha,3VPB,0.3665,0.3937
ml_noalpha,3VRJ,0.43,0.467
ml_noalpha,3VSM,0.2319,0.2791
ml_noalpha,3VST,0.2228,0.2545
ml_noalpha,3VUQ,0.3366,0.3664
ml_noalpha,3VYN,0.1997,0.2557
ml_noalpha,3W0L,0.3418,0.4004
ml_noalpha,3W3T,0.2947,0.3554
ml_noalpha,3W3W,0.2534,0.2995
ml_noalpha,3W56,0.2654,0.3078
ml_noalpha,3W8W,0.2642,0.3325
ml_noalpha,3WNV,0.2585,0.3065
ml_noalpha,3WTQ,0.2863,0.3125
ml_noalpha,3WW1,0.2231,0.2723
ml_noalpha,3X0X,0.2197,0.2802
ml_noalpha,3ZH9,0.2524,0.2869
ml_noalpha,3ZIE,0.2531,0.3084
ml_noalpha,4AK1,0.4931,0.5036
ml_noalpha,4ALY,0.2267,0.2672
ml_noalpha,4AOM,0.2606,0.3342
ml_noalpha,4AUP,0.2616,0.3361
ml_noalpha,4B18,0.2376,0.2893
ml_noalpha,4BU1,0.3367,0.4284
ml_noalpha,4BVE,0.2815,0.3261
ml_noalpha,4BX9,0.2771,0.3293
ml_noalpha,4C1S,0.2436,0.2926
ml_noalpha,4C6R,0.3122,0.3569
ml_noalpha,4CE5,0.2362,0.255
ml_noalpha,4CGB,0.5547,0.5601
ml_noalpha,4CH9,0.2377,0.266
ml_noalpha,4CKT,0.3585,0.3457
ml_noalpha,4CLF,0.3029,0.3403
ml_noalpha,4CSO,0.2316,0.3106
ml_noalpha,4D51,0.2682,0.32
ml_noalpha,4DA2,0.2495,0.299
ml_noalpha,4DOV,0.3368,0.3482
ml_noalpha,4EOY,0.4325,0.4918
ml_noalpha,4EWI,0.421,0.4862
ml_noalpha,4EX5,0.2469,0.2934
ml_noalpha,4F0F,0.3016,0.3387
ml_noalpha,4F27,0.2865,0.3418
ml_noalpha,4FC4,0.2143,0.2547
ml_noalpha,4FE9,0.2447,0.2793
ml_noalpha,4FIX,0.2347,0.2848
ml_noalpha,4FYU,0.2611,0.3019
ml_noalpha,4G3H,0.3236,0.3874
ml_noalpha,4GMV,0.2543,0.3274
ml_noalpha,4H9D,0.3426,0.3996
ml_noalpha,4HIA,0.2782,0.3483
ml_noalpha,4HJW,0.253,0.3122
ml_noalpha,4HKA,0.2929,0.3293
ml_noalpha,4HUJ,0.2686,0.3181
ml_noalpha,4ICH,0.2689,0.3266
ml_noalpha,4IDI,0.2828,0.3149
ml_noalpha,4JGX,0.2529,0.3
ml_noalpha,4JHN,0.2117,0.2511
ml_noalpha,4JLX,0.2724,0.3077
ml_noalpha,4JX2,0.4549,0.5029
ml_noalpha,4K36,0.3118,0.3589
ml_noalpha,4KH9,0.2637,0.3122
ml_noalpha,4KYQ,0.2624,0.3314
ml_noalpha,4L7Z,0.2898,0.3441
ml_noalpha,4L9U,0.4862,0.5193
ml_noalpha,4LD7,0.2645,0.3302
ml_noalpha,4LZ2,0.2833,0.3241
ml_noalpha,4MAA,0.2384,0.2838
ml_noalpha,4ME9,0.2654,0.3255
ml_noalpha,4MG5,0.2566,0.302
ml_noalpha,4MG6,0.2452,0.3144
ml_noalpha,4MJG,0.2764,0.3361
ml_noalpha,4N39,0.3098,0.3508
ml_noalpha,4N5X,0.3425,0.4174
ml_noalpha,4NPJ,0.3673,0.3815
ml_noalpha,4NUF,0.4073,0.4683
ml_noalpha,4NWZ,0.2747,0.3274
ml_noalpha,4O62,0.4088,0.4373
ml_noalpha,4O92,0.5226,0.5485
ml_noalpha,4OC8,0.4539,0.4897
ml_noalpha,4OF8,0.2612,0.3046
ml_noalpha,4OFF,0.4364,0.503
ml_noalpha,4OX3,0.2734,0.3262
ml_noalpha,4PDE,0.2505,0.3189
ml_noalpha,4PFS,0.2471,0.3259
ml_noalpha,4PQZ,0.2784,0.3038
ml_noalpha,4PRA,0.3042,0.3547
ml_noalpha,4PSI,0.4005,0.4564
ml_noalpha,4PV4,0.2501,0.282
ml_noalpha,4Q13,0.2935,0.3556
ml_noalpha,4Q63,0.3583,0.4266
ml_noalpha,4QH8,0.2419,0.2925
ml_noalpha,4QKO,0.2896,0.3354
ml_noalpha,4QN8,0.2827,0.334
ml_noalpha,4QQR,0.2537,0.3369
ml_noalpha,4QTP,0.251,0.302
ml_noalpha,4QXA,0.2875,0.3628
ml_noalpha,4R10,0.2337,0.2564
ml_noalpha,4REV,0.342,0.3785
ml_noalpha,4RHO,0.3214,0.395
ml_noalpha,4RK2,0.5165,0.5405
ml_noalpha,4RO5,0.379,0.4233
ml_noalpha,4RQM,0.3265,0.3339
ml_noalpha,4TWL,0.242,0.3026
ml_noalpha,4U7A,0.2365,0.2664
ml_noalpha,4UCI,0.523,0.5199
ml_noalpha,4UDA,0.2554,0.2921
ml_noalpha,4UDP,0.2234,0.275
ml_noalpha,4UWX,0.282,0.3232
ml_noalpha,4UYI,0.295,0.3072
ml_noalpha,4V15,0.2349,0.2632
ml_noalpha,4W2R,0.2632,0.3234
ml_noalpha,4WAL,0.3496,0.3802
ml_noalpha,4WIP,0.2664,0.3279
ml_noalpha,4WWM,0.2631,0.3191
ml_noalpha,4X3E,0.2469,0.2921
ml_noalpha,4XLG,0.2656,0.2898
ml_noalpha,4ZSF,0.4483,0.458
ml_noalpha,4ZV9,0.2652,0.2995
ml_noalpha,5A0T,0.243,0.2757
ml_noalpha,5AA5,0.3014,0.3547
ml_noalpha,5AD0,0.4084,0.4579
ml_noalpha,5B5I,0.4631,0.5274
ml_noalpha,5B5Q,0.2458,0.2892
ml_noalpha,5BOV,0.2391,0.271
ml_noalpha,5BV6,0.3995,0.4521
ml_noalpha,5C5V,0.3844,0.4113
ml_noalpha,5C7F,0.3338,0.3741
ml_noalpha,5C8H,0.3007,0.3503
ml_noalpha,5CVR,0.2804,0.2886
ml_noalpha,5CX2,0.5118,0.5343
ml_noalpha,5D5H,0.2179,0.2677
ml_noalpha,5DAY,0.3459,0.4335
ml_noalpha,5DBE,0.2772,0.3116
ml_noalpha,5DRM,0.2458,0.2856
ml_noalpha,5E15,0.2643,0.3389
ml_noalpha,5EBB,0.2966,0.3584
ml_noalpha,5EG2,0.2493,0.2631
ml_noalpha,5EGE,0.2396,0.291
ml_noalpha,5ETA,0.2796,0.3368
ml_noalpha,5G09,0.2351,0.2793
ml_noalpha,5G23,0.2515,0.2904
ml_noalpha,5G4I,0.243,0.2626
ml_noalpha,5GHR,0.294,0.3572
ml_noalpha,5GJM,0.3136,0.3609
ml_noalpha,5GKV,0.2247,0.2856
ml_noalpha,5GOX,0.5306,0.5755
ml_noalpha,5GZI,0.2545,0.3193
ml_noalpha,5H5Y,0.3104,0.3685
ml_noalpha,5HRJ,0.2939,0.3335
ml_noalpha,5I2H,0.2699,0.2837
ml_noalpha,5I47,0.2624,0.3146
ml_noalpha,5I9E,0.3259,0.3816
ml_noalpha,5IAW,0.3075,0.3726
ml_noalpha,5IQM,0.2994,0.3246
ml_noalpha,5IY4,0.3102,0.3568
ml_noalpha,5IYX,0.2723,0.3395
ml_noalpha,5J0A,0.4443,0.4712
ml_noalpha,5J4A,0.2594,0.3256
ml_noalpha,5J9K,0.3305,0.3758
ml_noalpha,5JD9,0.2517,0.2901
ml_noalpha,5JHO,0.268,0.331
ml_noalpha,5JI5,0.2368,0.3112
ml_noalpha,5JTA,0.2266,0.2754
ml_noalpha,5K2X,0.4378,0.456
ml_noalpha,5K6S,0.2777,0.3164
ml_noalpha,5LTD,0.2572,0.3155
ml_noalpha,5LU2,0.2794,0.3495
ml_noalpha,5LW0,0.2423,0.2764
ml_noalpha,5ME9,0.2821,0.3467
ml_noalpha,5MLK,0.2443,0.2829
ml_noalpha,5MLZ,0.3082,0.3415
ml_noalpha,5MXY,0.3585,0.3824
ml_noalpha,5N6H,0.2516,0.2848
ml_noalpha,5N8R,0.3956,0.4242
ml_noalpha,5NTB,0.2245,0.2359
ml_noalpha,5O51,0.2769,0.341
ml_noalpha,5O6B,0.4582,0.5011
ml_noalpha,5OF1,0.3,0.352
ml_noalpha,5OF9,0.2821,0.3109
ml_noalpha,5OMB,0.4081,0.4554
ml_noalpha,5OU8,0.3942,0.4068
ml_noalpha,5Q1D,0.4123,0.4387
ml_noalpha,5Q1H,0.4162,0.4679
ml_noalpha,5SVE,0.2986,0.3638
ml_noalpha,5T0K,0.3374,0.3813
